,num4black,num4white,0,1,2,3
F5,1.0,10.0,1.0,,,
F5D6,1.0,10.0,2.0,,,
F5D6C3,1.0,10.0,3.0,,,
F5D6C3D3,1.0,10.0,4.0,,,
F5D6C3D3C4,1.0,10.0,5.0,,,
F5D6C3D3C4F4,1.0,10.0,6.0,,,
F5D6C3D3C4F4F6,1.0,10.0,7.0,,,
F5D6C3D3C4F4F6F3,1.0,10.0,8.0,,,
F5D6C3D3C4F4F6F3E6,1.0,10.0,9.0,,,
F5D6C3D3C4F4F6F3E6E7,1.0,10.0,10.0,,,
F5D6C3D3C4F4F6F3E6E7D7,1.0,10.0,11.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6,1.0,10.0,12.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8,1.0,10.0,13.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5,1.0,10.0,14.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6,1.0,10.0,15.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7,1.0,10.0,16.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8,1.0,10.0,17.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8B6,1.0,10.0,18.0,30.0,51.0,72.0
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8B6A5,1.0,4.0,19.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8B6A5B5,1.0,4.0,20.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8B6A5B5B4,1.0,4.0,21.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8B6A5B5B4C2,1.0,4.0,22.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8B6A5B5B4C2G5,1.0,4.0,23.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8B6A5B5B4C2G5A4,1.0,4.0,24.0,45.0,223.0,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8B6A5B5B4C2G5A4A3,4.0,1.0,25.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8B6A5B5B4C2G5A4A3B3,4.0,1.0,26.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8B6A5B5B4C2G5A4A3B3G3,4.0,1.0,27.0,138.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8B6A5B5B4C2G5A4A3B3G3A6,2.0,1.0,28.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8B6A5B5B4C2G5A4A3B3G3A6A7,2.0,1.0,29.0,84.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8B6A5B5B4C2G5A4A3B3G3A6A7H3,1.0,1.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8B6H6,11.0,1.0,31.0,85.0,112.0,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8B6H6F8,8.0,1.0,32.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8B6H6F8E8,8.0,1.0,33.0,141.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8B6H6F8E8B8,7.0,1.0,34.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8B6H6F8E8B8B5,7.0,1.0,35.0,199.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8B6H6F8E8B8B5G5,5.0,1.0,36.0,,,
