,num4black,num4white,0,1,2,3,4
F5,1.0,6.0,1.0,,,,
F5D6,1.0,6.0,2.0,,,,
F5D6C3,1.0,6.0,3.0,,,,
F5D6C3D3,1.0,6.0,4.0,,,,
F5D6C3D3C4,1.0,6.0,5.0,,,,
F5D6C3D3C4F4,1.0,6.0,6.0,,,,
F5D6C3D3C4F4C5,1.0,6.0,7.0,,,,
F5D6C3D3C4F4C5B3,1.0,6.0,8.0,,,,
F5D6C3D3C4F4C5B3C2,1.0,6.0,9.0,,,,
F5D6C3D3C4F4C5B3C2B4,1.0,6.0,10.0,,,,
F5D6C3D3C4F4C5B3C2B4C6,1.0,6.0,11.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2,1.0,6.0,12.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6,1.0,6.0,13.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5,1.0,6.0,14.0,30.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5,1.0,4.0,15.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6,1.0,4.0,16.0,74.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3,1.0,3.0,17.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6,1.0,3.0,18.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4,1.0,3.0,19.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2,1.0,3.0,20.0,301.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3,2.0,2.0,21.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4,2.0,2.0,22.0,353.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3,5.0,1.0,23.0,57.0,178.0,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C7,1.0,5.0,24.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C7D7,1.0,5.0,25.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C7D7E8,1.0,5.0,26.0,96.0,294.0,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C7D7E8E1,3.0,1.0,27.0,137.0,204.0,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C7D7E8E1E7,1.0,1.0,28.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C7D7E8E1E7E3,1.0,1.0,29.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C7D7E8E1E7E3F7,1.0,1.0,,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3,2.0,2.0,31.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3,2.0,2.0,32.0,103.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4,3.0,1.0,33.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6,3.0,1.0,34.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6,3.0,1.0,35.0,46.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5,1.0,9.0,36.0,64.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1,1.0,6.0,37.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7,1.0,6.0,38.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7F6,1.0,6.0,39.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7F6E2,1.0,6.0,40.0,117.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7F6E2H4,2.0,2.0,41.0,142.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7F6E2H4H3,1.0,2.0,42.0,311.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7F6E2H4H3G3,2.0,1.0,43.0,186.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7F6E2H4H3G3C7,1.0,1.0,44.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7F6E2H4H3G3C7C8,1.0,1.0,45.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7F6E2H4H3G3C7C8H5,1.0,1.0,,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6C7,2.0,1.0,47.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6C7A5,2.0,1.0,48.0,147.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6C7A5G5,1.0,4.0,49.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6C7A5G5D7,1.0,4.0,50.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6C7A5G5D7G6,1.0,4.0,51.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6C7A5G5D7G6G3,1.0,4.0,52.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6C7A5G5D7G6G3F6,1.0,4.0,53.0,257.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6C7A5G5D7G6G3F6A4,1.0,2.0,54.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6C7A5G5D7G6G3F6A4C1,1.0,2.0,55.0,315.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6C7A5G5D7G6G3F6A4C1C8,3.0,1.0,56.0,272.0,423.0,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6C7A5G5D7G6G3F6A4C1C8E7,1.0,1.0,,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C1,1.0,3.0,58.0,366.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C1H3,4.0,1.0,59.0,173.0,212.0,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C1H3E7,2.0,3.0,60.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C1H3E7C7,2.0,3.0,61.0,124.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C1H3E7C7F6,1.0,5.0,62.0,94.0,134.0,266.0,424.0
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C1H3E7C7F6E2,2.0,1.0,63.0,320.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C1H3E7C7F6E2E3,1.0,1.0,,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5A3,1.0,3.0,65.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5A3C1,1.0,3.0,66.0,332.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5A3C1A2,2.0,2.0,67.0,127.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5A3C1A2E7,1.0,6.0,68.0,88.0,416.0,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5A3C1A2E7F7,3.0,1.0,69.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5A3C1A2E7F7C7,3.0,1.0,70.0,,,,
