,num4black,num4white,0,1,2,3
F5,6.0,6.0,1.0,,,
F5D6,6.0,6.0,2.0,,,
F5D6C3,6.0,6.0,3.0,,,
F5D6C3D3,6.0,6.0,4.0,,,
F5D6C3D3C4,6.0,6.0,5.0,,,
F5D6C3D3C4F4,6.0,6.0,6.0,,,
F5D6C3D3C4F4C5,6.0,6.0,7.0,,,
F5D6C3D3C4F4C5B3,6.0,6.0,8.0,,,
F5D6C3D3C4F4C5B3C2,6.0,6.0,9.0,,,
F5D6C3D3C4F4C5B3C2E6,6.0,6.0,10.0,,,
F5D6C3D3C4F4C5B3C2E6B4,6.0,6.0,11.0,,,
F5D6C3D3C4F4C5B3C2E6B4F3,6.0,6.0,12.0,,,
F5D6C3D3C4F4C5B3C2E6B4F3E3,6.0,6.0,13.0,,,
F5D6C3D3C4F4C5B3C2E6B4F3E3E2,6.0,6.0,14.0,,,
F5D6C3D3C4F4C5B3C2E6B4F3E3E2G4,6.0,6.0,15.0,,,
F5D6C3D3C4F4C5B3C2E6B4F3E3E2G4D2,6.0,6.0,16.0,30.0,,
F5D6C3D3C4F4C5B3C2E6B4F3E3E2G4D2C1,6.0,3.0,17.0,,,
F5D6C3D3C4F4C5B3C2E6B4F3E3E2G4D2C1F2,6.0,3.0,18.0,,,
F5D6C3D3C4F4C5B3C2E6B4F3E3E2G4D2C1F2G3,6.0,3.0,19.0,108.0,,
F5D6C3D3C4F4C5B3C2E6B4F3E3E2G4D2C1F2G3B6,4.0,3.0,20.0,,,
F5D6C3D3C4F4C5B3C2E6B4F3E3E2G4D2C1F2G3B6F6,4.0,3.0,21.0,,,
F5D6C3D3C4F4C5B3C2E6B4F3E3E2G4D2C1F2G3B6F6D1,4.0,3.0,22.0,88.0,,
F5D6C3D3C4F4C5B3C2E6B4F3E3E2G4D2C1F2G3B6F6D1D7,5.0,2.0,23.0,,,
F5D6C3D3C4F4C5B3C2E6B4F3E3E2G4D2C1F2G3B6F6D1D7A3,5.0,2.0,24.0,82.0,,
F5D6C3D3C4F4C5B3C2E6B4F3E3E2G4D2C1F2G3B6F6D1D7A3F1,5.0,1.0,25.0,,,
F5D6C3D3C4F4C5B3C2E6B4F3E3E2G4D2C1F2G3B6F6D1D7A3F1B1,5.0,1.0,26.0,,,
F5D6C3D3C4F4C5B3C2E6B4F3E3E2G4D2C1F2G3B6F6D1D7A3F1B1C7,5.0,1.0,27.0,170.0,232.0,
F5D6C3D3C4F4C5B3C2E6B4F3E3E2G4D2C1F2G3B6F6D1D7A3F1B1C7E7,3.0,1.0,28.0,,,
F5D6C3D3C4F4C5B3C2E6B4F3E3E2G4D2C1F2G3B6F6D1D7A3F1B1C7E7F7,3.0,1.0,29.0,138.0,283.0,
F5D6C3D3C4F4C5B3C2E6B4F3E3E2G4D2C1F2G3B6F6D1D7A3F1B1C7E7F7B2,1.0,1.0,,,,
F5D6C3D3C4F4C5B3C2E6B4F3E3E2G4D2G3,6.0,3.0,31.0,,,
F5D6C3D3C4F4C5B3C2E6B4F3E3E2G4D2G3F2,6.0,3.0,32.0,,,
F5D6C3D3C4F4C5B3C2E6B4F3E3E2G4D2G3F2C1,6.0,3.0,33.0,44.0,,
F5D6C3D3C4F4C5B3C2E6B4F3E3E2G4D2G3F2C1D1,2.0,5.0,34.0,61.0,,
F5D6C3D3C4F4C5B3C2E6B4F3E3E2G4D2G3F2C1D1C6,2.0,3.0,35.0,,,
F5D6C3D3C4F4C5B3C2E6B4F3E3E2G4D2G3F2C1D1C6B1,2.0,3.0,36.0,,,
F5D6C3D3C4F4C5B3C2E6B4F3E3E2G4D2G3F2C1D1C6B1F7,2.0,3.0,37.0,,,
