,num4black,num4white,0,1,2,3,4,5,6,7
F5,1.0,50.0,1.0,,,,,,,
F5D6,1.0,50.0,2.0,,,,,,,
F5D6C3,1.0,50.0,3.0,,,,,,,
F5D6C3D3,1.0,50.0,4.0,,,,,,,
F5D6C3D3C4,1.0,50.0,5.0,,,,,,,
F5D6C3D3C4F4,1.0,50.0,6.0,,,,,,,
F5D6C3D3C4F4F6,1.0,50.0,7.0,,,,,,,
F5D6C3D3C4F4F6B4,1.0,50.0,8.0,27.0,369.0,,,,,
F5D6C3D3C4F4F6B4C2,25.0,1.0,9.0,153.0,,,,,,
F5D6C3D3C4F4F6B4C2F3,15.0,2.0,10.0,,,,,,,
F5D6C3D3C4F4F6B4C2F3E3,15.0,2.0,11.0,,,,,,,
F5D6C3D3C4F4F6B4C2F3E3E2,15.0,2.0,12.0,,,,,,,
F5D6C3D3C4F4F6B4C2F3E3E2C6,15.0,2.0,13.0,432.0,,,,,,
F5D6C3D3C4F4F6B4C2F3E3E2C6F2,11.0,2.0,14.0,,,,,,,
F5D6C3D3C4F4F6B4C2F3E3E2C6F2C5,11.0,2.0,15.0,393.0,,,,,,
F5D6C3D3C4F4F6B4C2F3E3E2C6F2C5D2,8.0,2.0,16.0,,,,,,,
F5D6C3D3C4F4F6B4C2F3E3E2C6F2C5D2E6,8.0,2.0,17.0,315.0,,,,,,
F5D6C3D3C4F4F6B4C2F3E3E2C6F2C5D2E6B5,3.0,2.0,18.0,345.0,,,,,,
F5D6C3D3C4F4F6B4C2F3E3E2C6F2C5D2E6B5B3,4.0,1.0,19.0,,,,,,,
F5D6C3D3C4F4F6B4C2F3E3E2C6F2C5D2E6B5B3B6,4.0,1.0,20.0,,,,,,,
F5D6C3D3C4F4F6B4C2F3E3E2C6F2C5D2E6B5B3B6A3,4.0,1.0,21.0,1039.0,,,,,,
F5D6C3D3C4F4F6B4C2F3E3E2C6F2C5D2E6B5B3B6A3A5,3.0,1.0,22.0,,,,,,,
F5D6C3D3C4F4F6B4C2F3E3E2C6F2C5D2E6B5B3B6A3A5A6,3.0,1.0,23.0,1139.0,1847.0,,,,,
F5D6C3D3C4F4F6B4C2F3E3E2C6F2C5D2E6B5B3B6A3A5A6D7,1.0,4.0,24.0,3388.0,,,,,,
F5D6C3D3C4F4F6B4C2F3E3E2C6F2C5D2E6B5B3B6A3A5A6D7A4,1.0,1.0,25.0,,,,,,,
F5D6C3D3C4F4F6B4C2F3E3E2C6F2C5D2E6B5B3B6A3A5A6D7A4C7,1.0,1.0,26.0,,,,,,,
F5D6C3D3C4F4F6B4C2F3E3E2C6F2C5D2E6B5B3B6A3A5A6D7A4C7E7,1.0,1.0,,,,,,,,
F5D6C3D3C4F4F6B4F3,1.0,47.0,28.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6,1.0,47.0,29.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3,1.0,47.0,30.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2,1.0,47.0,31.0,200.0,,,,,,
