,num4black,num4white,0,1,2,3,4
F5,7.0,1.0,1.0,,,,
F5D6,7.0,1.0,2.0,,,,
F5D6C3,7.0,1.0,3.0,,,,
F5D6C3D3,7.0,1.0,4.0,,,,
F5D6C3D3C4,7.0,1.0,5.0,,,,
F5D6C3D3C4F4,7.0,1.0,6.0,,,,
F5D6C3D3C4F4F6,7.0,1.0,7.0,,,,
F5D6C3D3C4F4F6F3,7.0,1.0,8.0,,,,
F5D6C3D3C4F4F6F3E3,7.0,1.0,9.0,,,,
F5D6C3D3C4F4F6F3E3B4,7.0,1.0,10.0,,,,
F5D6C3D3C4F4F6F3E3B4B5,7.0,1.0,11.0,,,,
F5D6C3D3C4F4F6F3E3B4B5E6,7.0,1.0,12.0,,,,
F5D6C3D3C4F4F6F3E3B4B5E6E7,7.0,1.0,13.0,69.0,,,
F5D6C3D3C4F4F6F3E3B4B5E6E7G5,3.0,5.0,14.0,,,,
F5D6C3D3C4F4F6F3E3B4B5E6E7G5C5,3.0,5.0,15.0,,,,
F5D6C3D3C4F4F6F3E3B4B5E6E7G5C5C7,3.0,5.0,16.0,47.0,,,
F5D6C3D3C4F4F6F3E3B4B5E6E7G5C5C7D7,3.0,4.0,17.0,30.0,,,
F5D6C3D3C4F4F6F3E3B4B5E6E7G5C5C7D7E8,1.0,7.0,18.0,353.0,,,
F5D6C3D3C4F4F6F3E3B4B5E6E7G5C5C7D7E8D8,2.0,6.0,19.0,92.0,,,
F5D6C3D3C4F4F6F3E3B4B5E6E7G5C5C7D7E8D8C8,1.0,6.0,20.0,,,,
F5D6C3D3C4F4F6F3E3B4B5E6E7G5C5C7D7E8D8C8F7,1.0,6.0,21.0,,,,
F5D6C3D3C4F4F6F3E3B4B5E6E7G5C5C7D7E8D8C8F7E2,1.0,6.0,22.0,,,,
F5D6C3D3C4F4F6F3E3B4B5E6E7G5C5C7D7E8D8C8F7E2G4,1.0,6.0,23.0,,,,
