,num4black,num4white,0,1,2,3,4
F5,25.0,1.0,1.0,,,,
F5D6,25.0,1.0,2.0,,,,
F5D6C3,25.0,1.0,3.0,,,,
F5D6C3D3,25.0,1.0,4.0,,,,
F5D6C3D3C4,25.0,1.0,5.0,,,,
F5D6C3D3C4F4,25.0,1.0,6.0,,,,
F5D6C3D3C4F4F6,25.0,1.0,7.0,,,,
F5D6C3D3C4F4F6F3,25.0,1.0,8.0,,,,
F5D6C3D3C4F4F6F3E6,25.0,1.0,9.0,,,,
F5D6C3D3C4F4F6F3E6E7,25.0,1.0,10.0,,,,
F5D6C3D3C4F4F6F3E6E7C6,25.0,1.0,11.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5,25.0,1.0,12.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6,25.0,1.0,13.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5,25.0,1.0,14.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3,25.0,1.0,15.0,30.0,54.0,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7,1.0,9.0,16.0,89.0,123.0,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5,1.0,4.0,17.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7,1.0,4.0,18.0,74.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F7,8.0,2.0,19.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F7F8,8.0,2.0,20.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F7F8B6,8.0,2.0,21.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F7F8B6B4,8.0,2.0,22.0,216.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F7F8B6B4D8,8.0,1.0,23.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F7F8B6B4D8A5,8.0,1.0,24.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F7F8B6B4D8A5A6,8.0,1.0,25.0,69.0,317.0,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F7F8B6B4D8A5A6E2,2.0,2.0,26.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F7F8B6B4D8A5A6E2F2,2.0,2.0,27.0,86.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F7F8B6B4D8A5A6E2F2D2,1.0,2.0,28.0,155.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F7F8B6B4D8A5A6E2F2D2A3,1.0,1.0,29.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F7F8B6B4D8A5A6E2F2D2A3A4,1.0,1.0,,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3F7,16.0,1.0,31.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3F7B5,16.0,1.0,32.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3F7B5E2,16.0,1.0,33.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3F7B5E2F1,16.0,1.0,34.0,112.0,240.0,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3F7B5E2F1B4,5.0,1.0,35.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3F7B5E2F1B4D7,5.0,1.0,36.0,45.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3F7B5E2F1B4D7C8,2.0,1.0,37.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3F7B5E2F1B4D7C8A3,2.0,1.0,38.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3F7B5E2F1B4D7C8A3D2,2.0,1.0,39.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3F7B5E2F1B4D7C8A3D2E1,2.0,1.0,40.0,440.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3F7B5E2F1B4D7C8A3D2E1C7,1.0,3.0,41.0,235.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3F7B5E2F1B4D7C8A3D2E1C7C2,1.0,2.0,42.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3F7B5E2F1B4D7C8A3D2E1C7C2A5,1.0,2.0,43.0,110.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3F7B5E2F1B4D7C8A3D2E1C7C2A5H5,2.0,1.0,44.0,165.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3F7B5E2F1B4D7C8A3D2E1C7C2A5H5A4,1.0,1.0,,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3F7B5E2F1B4D7D8,3.0,2.0,46.0,137.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3F7B5E2F1B4D7D8H5,7.0,1.0,47.0,224.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3F7B5E2F1B4D7D8H5G4,3.0,1.0,48.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3F7B5E2F1B4D7D8H5G4C7,3.0,1.0,49.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3F7B5E2F1B4D7D8H5G4C7A5,3.0,1.0,50.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3F7B5E2F1B4D7D8H5G4C7A5D2,3.0,1.0,51.0,278.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3F7B5E2F1B4D7D8H5G4C7A5D2F2,1.0,1.0,52.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3F7B5E2F1B4D7D8H5G4C7A5D2F2H4,1.0,1.0,53.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3F7B5E2F1B4D7D8H5G4C7A5D2F2H4B3,1.0,1.0,,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3D7,8.0,2.0,55.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3D7F7,8.0,2.0,56.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3D7F7C7,8.0,2.0,57.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3D7F7C7B5,8.0,2.0,58.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3D7F7C7B5F8,8.0,2.0,59.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3D7F7C7B5F8B6,8.0,2.0,60.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3D7F7C7B5F8B6B4,8.0,2.0,61.0,166.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3D7F7C7B5F8B6B4H6,10.0,1.0,62.0,103.0,182.0,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3D7F7C7B5F8B6B4H6G4,4.0,1.0,63.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3D7F7C7B5F8B6B4H6G4A5,4.0,1.0,64.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3D7F7C7B5F8B6B4H6G4A5A3,4.0,1.0,65.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3D7F7C7B5F8B6B4H6G4A5A3H3,4.0,1.0,66.0,460.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3D7F7C7B5F8B6B4H6G4A5A3H3C2,3.0,1.0,67.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3D7F7C7B5F8B6B4H6G4A5A3H3C2E8,3.0,1.0,68.0,478.0,515.0,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3D7F7C7B5F8B6B4H6G4A5A3H3C2E8A6,1.0,1.0,,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F7F8B6B4D8A5A6C8,3.0,1.0,70.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F7F8B6B4D8A5A6C8E8,3.0,1.0,71.0,251.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F7F8B6B4D8A5A6C8E8E2,2.0,1.0,72.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F7F8B6B4D8A5A6C8E8E2H4,2.0,1.0,73.0,499.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F7F8B6B4D8A5A6C8E8E2H4A7,1.0,1.0,,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F8,1.0,2.0,75.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F8E8,1.0,2.0,76.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F8E8F7,1.0,2.0,77.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F8E8F7H6,1.0,2.0,78.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F8E8F7H6D8,1.0,2.0,79.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F8E8F7H6D8C8,1.0,2.0,80.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F8E8F7H6D8C8B8,1.0,2.0,81.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F8E8F7H6D8C8B8E2,1.0,2.0,82.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F8E8F7H6D8C8B8E2G4,1.0,2.0,83.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F8E8F7H6D8C8B8E2G4B4,1.0,2.0,84.0,315.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F8E8F7H6D8C8B8E2G4B4F2,4.0,1.0,85.0,373.0,406.0,488.0,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F8E8F7H6D8C8B8E2G4B4F2A4,1.0,1.0,,,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6C5E3C7B5D7F7F8B6B4D8A5A6E2F2C2,1.0,3.0,87.0,306.0,367.0,,
