,num4black,num4white,0,1,2,3,4
F5,16.0,3.0,1.0,,,,
F5D6,16.0,3.0,2.0,,,,
F5D6C3,16.0,3.0,3.0,,,,
F5D6C3D3,16.0,3.0,4.0,,,,
F5D6C3D3C4,16.0,3.0,5.0,,,,
F5D6C3D3C4F4,16.0,3.0,6.0,,,,
F5D6C3D3C4F4F6,16.0,3.0,7.0,,,,
F5D6C3D3C4F4F6G5,16.0,3.0,8.0,,,,
F5D6C3D3C4F4F6G5E6,16.0,3.0,9.0,,,,
F5D6C3D3C4F4F6G5E6F7,16.0,3.0,10.0,,,,
F5D6C3D3C4F4F6G5E6F7D7,16.0,3.0,11.0,78.0,129.0,,
F5D6C3D3C4F4F6G5E6F7D7C5,14.0,3.0,12.0,,,,
F5D6C3D3C4F4F6G5E6F7D7C5G3,14.0,3.0,13.0,30.0,107.0,,
F5D6C3D3C4F4F6G5E6F7D7C5G3B5,1.0,11.0,14.0,850.0,,,
F5D6C3D3C4F4F6G5E6F7D7C5G3B5E3,1.0,9.0,15.0,,,,
F5D6C3D3C4F4F6G5E6F7D7C5G3B5E3G4,1.0,9.0,16.0,63.0,,,
F5D6C3D3C4F4F6G5E6F7D7C5G3B5E3G4B3,7.0,1.0,17.0,,,,
F5D6C3D3C4F4F6G5E6F7D7C5G3B5E3G4B3C6,7.0,1.0,18.0,,,,
F5D6C3D3C4F4F6G5E6F7D7C5G3B5E3G4B3C6E7,7.0,1.0,19.0,305.0,,,
F5D6C3D3C4F4F6G5E6F7D7C5G3B5E3G4B3C6E7F8,2.0,2.0,20.0,,,,
F5D6C3D3C4F4F6G5E6F7D7C5G3B5E3G4B3C6E7F8C7,2.0,2.0,21.0,444.0,,,
F5D6C3D3C4F4F6G5E6F7D7C5G3B5E3G4B3C6E7F8C7B6,1.0,2.0,22.0,339.0,,,
F5D6C3D3C4F4F6G5E6F7D7C5G3B5E3G4B3C6E7F8C7B6A4,1.0,1.0,23.0,,,,
F5D6C3D3C4F4F6G5E6F7D7C5G3B5E3G4B3C6E7F8C7B6A4A5,1.0,1.0,24.0,,,,
F5D6C3D3C4F4F6G5E6F7D7C5G3B5E3G4B3C6E7F8C7B6A4A5E8,1.0,1.0,25.0,,,,
F5D6C3D3C4F4F6G5E6F7D7C5G3B5E3G4B3C6E7F8C7B6A4A5E8B4,1.0,1.0,26.0,,,,
F5D6C3D3C4F4F6G5E6F7D7C5G3B5E3G4B3C6E7F8C7B6A4A5E8B4A3,1.0,1.0,27.0,,,,
F5D6C3D3C4F4F6G5E6F7D7C5G3B5E3G4B3C6E7F8C7B6A4A5E8B4A3F2,1.0,1.0,28.0,,,,
F5D6C3D3C4F4F6G5E6F7D7C5G3B5E3G4B3C6E7F8C7B6A4A5E8B4A3F2F3,1.0,1.0,29.0,,,,
F5D6C3D3C4F4F6G5E6F7D7C5G3B5E3G4B3C6E7F8C7B6A4A5E8B4A3F2F3H4,1.0,1.0,,,,,
F5D6C3D3C4F4F6G5E6F7D7C5G3F3,3.0,5.0,31.0,,,,
F5D6C3D3C4F4F6G5E6F7D7C5G3F3C6,3.0,5.0,32.0,,,,
F5D6C3D3C4F4F6G5E6F7D7C5G3F3C6B4,3.0,5.0,33.0,,,,
F5D6C3D3C4F4F6G5E6F7D7C5G3F3C6B4G6,3.0,5.0,34.0,,,,
F5D6C3D3C4F4F6G5E6F7D7C5G3F3C6B4G6B5,3.0,5.0,35.0,,,,
