,num4black,num4white,0,1,2,3,4,5
F5,9.0,3.0,1.0,,,,,
F5D6,9.0,3.0,2.0,,,,,
F5D6C3,9.0,3.0,3.0,,,,,
F5D6C3D3,9.0,3.0,4.0,,,,,
F5D6C3D3C4,9.0,3.0,5.0,,,,,
F5D6C3D3C4F4,9.0,3.0,6.0,,,,,
F5D6C3D3C4F4F6,9.0,3.0,7.0,,,,,
F5D6C3D3C4F4F6G5,9.0,3.0,8.0,,,,,
F5D6C3D3C4F4F6G5E6,9.0,3.0,9.0,,,,,
F5D6C3D3C4F4F6G5E6D7,9.0,3.0,10.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3,9.0,3.0,11.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5,9.0,3.0,12.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3,9.0,3.0,13.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7,9.0,3.0,14.0,43.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5,22.0,1.0,15.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2,22.0,1.0,16.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6,22.0,1.0,17.0,30.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6G3,1.0,16.0,18.0,76.0,287.0,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6G3G4,1.0,10.0,19.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6G3G4H6,1.0,10.0,20.0,253.0,411.0,1122.0,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6G3G4H6H7,1.0,4.0,21.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6G3G4H6H7H4,1.0,4.0,22.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6G3G4H6H7H4H3,1.0,4.0,23.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6G3G4H6H7H4H3B4,1.0,4.0,24.0,547.0,824.0,1055.0,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6G3G4H6H7H4H3B4B6,7.0,1.0,25.0,263.0,375.0,421.0,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6G3G4H6H7H4H3B4B6G6,1.0,3.0,26.0,283.0,948.0,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6G3G4H6H7H4H3B4B6G6B3,1.0,1.0,27.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6G3G4H6H7H4H3B4B6G6B3F2,1.0,1.0,28.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6G3G4H6H7H4H3B4B6G6B3F2F1,1.0,1.0,29.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6G3G4H6H7H4H3B4B6G6B3F2F1D1,1.0,1.0,,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6D2,21.0,1.0,31.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6D2C2,21.0,1.0,32.0,176.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6D2C2G3,10.0,2.0,33.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6D2C2G3D1,10.0,2.0,34.0,67.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6D2C2G3D1H4,5.0,3.0,35.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6D2C2G3D1H4H3,5.0,3.0,36.0,531.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6D2C2G3D1H4H3G4,3.0,3.0,37.0,308.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6D2C2G3D1H4H3G4E1,6.0,1.0,38.0,1178.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6D2C2G3D1H4H3G4E1F2,4.0,1.0,39.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6D2C2G3D1H4H3G4E1F2C7,4.0,1.0,40.0,515.0,1076.0,1545.0,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6D2C2G3D1H4H3G4E1F2C7B5,1.0,3.0,41.0,793.0,890.0,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6D2C2G3D1H4H3G4E1F2C7B5H6,2.0,1.0,42.0,436.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6D2C2G3D1H4H3G4E1F2C7B5H6B4,1.0,1.0,,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7B6,9.0,2.0,44.0,94.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7B6G4,2.0,9.0,45.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7B6G4C6,2.0,9.0,46.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7B6G4C6G3,2.0,9.0,47.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7B6G4C6G3H3,2.0,9.0,48.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7B6G4C6G3H3F2,2.0,9.0,49.0,110.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7B6G4C6G3H3F2H6,2.0,8.0,50.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7B6G4C6G3H3F2H6B5,2.0,8.0,51.0,59.0,449.0,1025.0,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7B6G4C6G3H3F2H6B5H4,3.0,3.0,52.0,146.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7B6G4C6G3H3F2H6B5H4H5,1.0,3.0,53.0,1048.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7B6G4C6G3H3F2H6B5H4H5A6,4.0,2.0,54.0,171.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7B6G4C6G3H3F2H6B5H4H5A6E2,3.0,2.0,55.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7B6G4C6G3H3F2H6B5H4H5A6E2D2,3.0,2.0,56.0,628.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7B6G4C6G3H3F2H6B5H4H5A6E2D2A4,2.0,3.0,57.0,469.0,779.0,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7B6G4C6G3H3F2H6B5H4H5A6E2D2A4G6,2.0,1.0,58.0,1322.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7B6G4C6G3H3F2H6B5H4H5A6E2D2A4G6F7,1.0,1.0,,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7B6G4C6G3H3F2H6B5B4,5.0,3.0,60.0,210.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7B6G4C6G3H3F2H6B5B4E2,3.0,3.0,61.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7B6G4C6G3H3F2H6B5B4E2D2,3.0,3.0,62.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7B6G4C6G3H3F2H6B5B4E2D2B3,3.0,3.0,63.0,589.0,771.0,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7B6G4C6G3H3F2H6B5B4E2D2B3E1,8.0,1.0,64.0,232.0,275.0,631.0,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7B6G4C6G3H3F2H6B5B4E2D2B3E1F1,3.0,1.0,65.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7B6G4C6G3H3F2H6B5B4E2D2B3E1F1C7,3.0,1.0,66.0,109.0,1560.0,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7B6G4C6G3H3F2H6B5B4E2D2B3E1F1C7H5,1.0,1.0,,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6D2C2G3D1B3,5.0,2.0,68.0,195.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6D2C2G3D1B3B4,7.0,1.0,69.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F3E7H5E2C6D2C2G3D1B3B4A4,7.0,1.0,70.0,,,,,
