,num4black,num4white,0,1,2,3,4
F5,1.0,8.0,1.0,,,,
F5D6,1.0,8.0,2.0,,,,
F5D6C3,1.0,8.0,3.0,,,,
F5D6C3D3,1.0,8.0,4.0,,,,
F5D6C3D3C4,1.0,8.0,5.0,,,,
F5D6C3D3C4F4,1.0,8.0,6.0,,,,
F5D6C3D3C4F4F6,1.0,8.0,7.0,,,,
F5D6C3D3C4F4F6F3,1.0,8.0,8.0,,,,
F5D6C3D3C4F4F6F3E6,1.0,8.0,9.0,,,,
F5D6C3D3C4F4F6F3E6E7,1.0,8.0,10.0,,,,
F5D6C3D3C4F4F6F3E6E7D7,1.0,8.0,11.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6,1.0,8.0,12.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5,1.0,8.0,13.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5,1.0,8.0,14.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6,1.0,8.0,15.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6,1.0,8.0,16.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5,1.0,8.0,17.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7,1.0,8.0,18.0,30.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7D2,13.0,1.0,19.0,42.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7D2F7,12.0,1.0,20.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7D2F7G3,12.0,1.0,21.0,80.0,94.0,127.0,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7D2F7G3H4,5.0,1.0,22.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7D2F7G3H4C8,5.0,1.0,23.0,161.0,244.0,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7D2F7G3H4C8G4,3.0,1.0,24.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7D2F7G3H4C8G4D8,3.0,1.0,25.0,152.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7D2F7G3H4C8G4D8H3,2.0,1.0,26.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7D2F7G3H4C8G4D8H3E8,2.0,1.0,27.0,410.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7D2F7G3H4C8G4D8H3E8B3,1.0,2.0,28.0,311.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7D2F7G3H4C8G4D8H3E8B3A3,1.0,1.0,29.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7D2F7G3H4C8G4D8H3E8B3A3A5,1.0,1.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7F8,1.0,7.0,31.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7F8E8,1.0,7.0,32.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7F8E8F7,1.0,7.0,33.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7F8E8F7H6,1.0,7.0,34.0,59.0,67.0,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7F8E8F7H6H4,2.0,2.0,35.0,267.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7F8E8F7H6H4H5,1.0,3.0,36.0,330.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7F8E8F7H6H4H5G3,5.0,1.0,37.0,75.0,89.0,168.0,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7F8E8F7H6H4H5G3G8,1.0,6.0,38.0,55.0,144.0,437.0,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7F8E8F7H6H4H5G3G8B8,2.0,2.0,39.0,237.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7F8E8F7H6H4H5G3G8B8G4,1.0,2.0,40.0,53.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7F8E8F7H6H4H5G3G8B8G4D8,1.0,1.0,41.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7F8E8F7H6H4H5G3G8B8G4D8H3,1.0,1.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7D2H6,1.0,3.0,43.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7D2H6F8,1.0,3.0,44.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7D2H6F8E8,1.0,3.0,45.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7D2H6F8E8F7,1.0,3.0,46.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7D2H6F8E8F7G4,1.0,3.0,47.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7D2H6F8E8F7G4C8,1.0,3.0,48.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7D2H6F8E8F7G4C8B3,1.0,3.0,49.0,157.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7D2H6F8E8F7G4C8B3D8,2.0,1.0,50.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7D2H6F8E8F7G4C8B3D8E3,2.0,1.0,51.0,,,,
