,num4black,num4white,0,1,2,3,4
F5,2.0,8.0,1.0,,,,
F5D6,2.0,8.0,2.0,,,,
F5D6C3,2.0,8.0,3.0,,,,
F5D6C3D3,2.0,8.0,4.0,,,,
F5D6C3D3C4,2.0,8.0,5.0,,,,
F5D6C3D3C4F4,2.0,8.0,6.0,,,,
F5D6C3D3C4F4F6,2.0,8.0,7.0,,,,
F5D6C3D3C4F4F6F3,2.0,8.0,8.0,,,,
F5D6C3D3C4F4F6F3G4,2.0,8.0,9.0,,,,
F5D6C3D3C4F4F6F3G4G3,2.0,8.0,10.0,30.0,,,
F5D6C3D3C4F4F6F3G4G3E6,2.0,6.0,11.0,,,,
F5D6C3D3C4F4F6F3G4G3E6B3,2.0,6.0,12.0,148.0,173.0,,
F5D6C3D3C4F4F6F3G4G3E6B3F2,9.0,1.0,13.0,,,,
F5D6C3D3C4F4F6F3G4G3E6B3F2E3,9.0,1.0,14.0,,,,
F5D6C3D3C4F4F6F3G4G3E6B3F2E3E2,9.0,1.0,15.0,,,,
F5D6C3D3C4F4F6F3G4G3E6B3F2E3E2C5,9.0,1.0,16.0,,,,
F5D6C3D3C4F4F6F3G4G3E6B3F2E3E2C5C6,9.0,1.0,17.0,71.0,,,
F5D6C3D3C4F4F6F3G4G3E6B3F2E3E2C5C6E7,8.0,1.0,18.0,,,,
F5D6C3D3C4F4F6F3G4G3E6B3F2E3E2C5C6E7D7,8.0,1.0,19.0,235.0,,,
F5D6C3D3C4F4F6F3G4G3E6B3F2E3E2C5C6E7D7F7,5.0,1.0,20.0,,,,
F5D6C3D3C4F4F6F3G4G3E6B3F2E3E2C5C6E7D7F7E8,5.0,1.0,21.0,226.0,,,
F5D6C3D3C4F4F6F3G4G3E6B3F2E3E2C5C6E7D7F7E8D2,2.0,1.0,22.0,,,,
F5D6C3D3C4F4F6F3G4G3E6B3F2E3E2C5C6E7D7F7E8D2C1,2.0,1.0,23.0,562.0,,,
F5D6C3D3C4F4F6F3G4G3E6B3F2E3E2C5C6E7D7F7E8D2C1H4,1.0,4.0,24.0,,,,
F5D6C3D3C4F4F6F3G4G3E6B3F2E3E2C5C6E7D7F7E8D2C1H4G5,1.0,4.0,25.0,,,,
F5D6C3D3C4F4F6F3G4G3E6B3F2E3E2C5C6E7D7F7E8D2C1H4G5H5,1.0,4.0,26.0,67.0,,,
F5D6C3D3C4F4F6F3G4G3E6B3F2E3E2C5C6E7D7F7E8D2C1H4G5H5G6,1.0,2.0,27.0,,,,
F5D6C3D3C4F4F6F3G4G3E6B3F2E3E2C5C6E7D7F7E8D2C1H4G5H5G6C8,1.0,2.0,28.0,996.0,,,
F5D6C3D3C4F4F6F3G4G3E6B3F2E3E2C5C6E7D7F7E8D2C1H4G5H5G6C8D8,1.0,1.0,29.0,,,,
F5D6C3D3C4F4F6F3G4G3E6B3F2E3E2C5C6E7D7F7E8D2C1H4G5H5G6C8D8H6,1.0,1.0,,,,,
F5D6C3D3C4F4F6F3G4G3C5,12.0,2.0,31.0,84.0,,,
F5D6C3D3C4F4F6F3G4G3C5G5,4.0,2.0,32.0,,,,
F5D6C3D3C4F4F6F3G4G3C5G5E3,4.0,2.0,33.0,,,,
