,num4black,num4white,0,1,2,3,4
F5,10.0,1.0,1.0,,,,
F5F6,10.0,1.0,2.0,,,,
F5F6E6,10.0,1.0,3.0,,,,
F5F6E6D6,10.0,1.0,4.0,,,,
F5F6E6D6E7,10.0,1.0,5.0,,,,
F5F6E6D6E7F4,10.0,1.0,6.0,,,,
F5F6E6D6E7F4G5,10.0,1.0,7.0,,,,
F5F6E6D6E7F4G5G6,10.0,1.0,8.0,,,,
F5F6E6D6E7F4G5G6C5,10.0,1.0,9.0,,,,
F5F6E6D6E7F4G5G6C5C4,10.0,1.0,10.0,,,,
F5F6E6D6E7F4G5G6C5C4F3,10.0,1.0,11.0,30.0,,,
F5F6E6D6E7F4G5G6C5C4F3H5,7.0,1.0,12.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7,7.0,1.0,13.0,49.0,147.0,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3,1.0,20.0,14.0,98.0,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7,1.0,14.0,15.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3,1.0,14.0,16.0,195.0,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6,2.0,7.0,17.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6H7,2.0,7.0,18.0,125.0,233.0,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6H7H4,3.0,4.0,19.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6H7H4H3,3.0,4.0,20.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6H7H4H3G4,3.0,4.0,21.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6H7H4H3G4F8,3.0,4.0,22.0,492.0,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6H7H4H3G4F8B3,4.0,1.0,23.0,753.0,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6H7H4H3G4F8B3C6,3.0,2.0,24.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6H7H4H3G4F8B3C6B5,3.0,2.0,25.0,363.0,487.0,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6H7H4H3G4F8B3C6B5B6,1.0,3.0,26.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6H7H4H3G4F8B3C6B5B6D3,1.0,3.0,27.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6H7H4H3G4F8B3C6B5B6D3C2,1.0,3.0,28.0,251.0,778.0,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6H7H4H3G4F8B3C6B5B6D3C2D2,2.0,1.0,29.0,588.0,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6H7H4H3G4F8B3C6B5B6D3C2D2C8,1.0,1.0,,,,,
F5F6E6D6E7F4G5G6C5C4F3D8,3.0,6.0,31.0,80.0,,,
F5F6E6D6E7F4G5G6C5C4F3D8C6,3.0,1.0,32.0,948.0,,,
F5F6E6D6E7F4G5G6C5C4F3D8C6E3,1.0,3.0,33.0,109.0,,,
F5F6E6D6E7F4G5G6C5C4F3D8C6E3F8,8.0,1.0,34.0,1039.0,,,
F5F6E6D6E7F4G5G6C5C4F3D8C6E3F8H4,7.0,1.0,35.0,,,,
F5F6E6D6E7F4G5G6C5C4F3D8C6E3F8H4H5,7.0,1.0,36.0,176.0,,,
F5F6E6D6E7F4G5G6C5C4F3D8C6E3F8H4H5E8,3.0,1.0,37.0,,,,
F5F6E6D6E7F4G5G6C5C4F3D8C6E3F8H4H5E8C8,3.0,1.0,38.0,699.0,,,
F5F6E6D6E7F4G5G6C5C4F3D8C6E3F8H4H5E8C8D7,2.0,1.0,39.0,,,,
F5F6E6D6E7F4G5G6C5C4F3D8C6E3F8H4H5E8C8D7H3,2.0,1.0,40.0,897.0,,,
F5F6E6D6E7F4G5G6C5C4F3D8C6E3F8H4H5E8C8D7H3G4,1.0,1.0,41.0,,,,
F5F6E6D6E7F4G5G6C5C4F3D8C6E3F8H4H5E8C8D7H3G4C3,1.0,1.0,42.0,,,,
F5F6E6D6E7F4G5G6C5C4F3D8C6E3F8H4H5E8C8D7H3G4C3G3,1.0,1.0,43.0,,,,
F5F6E6D6E7F4G5G6C5C4F3D8C6E3F8H4H5E8C8D7H3G4C3G3F7,1.0,1.0,44.0,,,,
F5F6E6D6E7F4G5G6C5C4F3D8C6E3F8H4H5E8C8D7H3G4C3G3F7B5,1.0,1.0,45.0,,,,
F5F6E6D6E7F4G5G6C5C4F3D8C6E3F8H4H5E8C8D7H3G4C3G3F7B5B6,1.0,1.0,46.0,,,,
F5F6E6D6E7F4G5G6C5C4F3D8C6E3F8H4H5E8C8D7H3G4C3G3F7B5B6C7,1.0,1.0,47.0,,,,
F5F6E6D6E7F4G5G6C5C4F3D8C6E3F8H4H5E8C8D7H3G4C3G3F7B5B6C7A6,1.0,1.0,48.0,,,,
F5F6E6D6E7F4G5G6C5C4F3D8C6E3F8H4H5E8C8D7H3G4C3G3F7B5B6C7A6B3,1.0,1.0,,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3,1.0,14.0,50.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7,1.0,14.0,51.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3,1.0,14.0,52.0,66.0,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3,1.0,7.0,53.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3C3,1.0,7.0,54.0,253.0,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3C3B4,2.0,3.0,55.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3C3B4F8,2.0,3.0,56.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3C3B4F8H6,2.0,3.0,57.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3C3B4F8H6H7,2.0,3.0,58.0,689.0,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3C3B4F8H6H7G4,2.0,2.0,59.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3C3B4F8H6H7G4B6,2.0,2.0,60.0,189.0,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3C3B4F8H6H7G4B6H4,2.0,1.0,61.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3C3B4F8H6H7G4B6H4H3,2.0,1.0,62.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3C3B4F8H6H7G4B6H4H3B5,2.0,1.0,63.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3C3B4F8H6H7G4B6H4H3B5C8,2.0,1.0,64.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3C3B4F8H6H7G4B6H4H3B5C8C7,2.0,1.0,65.0,826.0,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3C3B4F8H6H7G4B6H4H3B5C8C7C6,1.0,1.0,,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3H6,2.0,7.0,67.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3H6H7,2.0,7.0,68.0,164.0,291.0,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3H6H7E2,3.0,1.0,69.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3H6H7E2D3,3.0,1.0,70.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3H6H7E2D3C3,3.0,1.0,71.0,303.0,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3H6H7E2D3C3F1,2.0,1.0,72.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3H6H7E2D3C3F1G4,2.0,1.0,73.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3H6H7E2D3C3F1G4B6,2.0,1.0,74.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3H6H7E2D3C3F1G4B6H4,2.0,1.0,75.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3H6H7E2D3C3F1G4B6H4H3,2.0,1.0,76.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3H6H7E2D3C3F1G4B6H4H3B4,2.0,1.0,77.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3H6H7E2D3C3F1G4B6H4H3B4C7,2.0,1.0,78.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3H6H7E2D3C3F1G4B6H4H3B4C7C6,2.0,1.0,79.0,921.0,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3H6H7E2D3C3F1G4B6H4H3B4C7C6B3,1.0,1.0,,,,,
F5F6E6D6E7F4G5G6C5C4F3D8F8,4.0,5.0,81.0,530.0,,,
F5F6E6D6E7F4G5G6C5C4F3D8F8D7,3.0,5.0,82.0,,,,
F5F6E6D6E7F4G5G6C5C4F3D8F8D7F7,3.0,5.0,83.0,,,,
F5F6E6D6E7F4G5G6C5C4F3D8F8D7F7C6,3.0,5.0,84.0,,,,
F5F6E6D6E7F4G5G6C5C4F3D8F8D7F7C6C8,3.0,5.0,85.0,,,,
F5F6E6D6E7F4G5G6C5C4F3D8F8D7F7C6C8E8,3.0,5.0,86.0,,,,
F5F6E6D6E7F4G5G6C5C4F3D8F8D7F7C6C8E8C7,3.0,5.0,87.0,,,,
F5F6E6D6E7F4G5G6C5C4F3D8F8D7F7C6C8E8C7H5,3.0,5.0,88.0,137.0,,,
F5F6E6D6E7F4G5G6C5C4F3D8F8D7F7C6C8E8C7H5G4,4.0,2.0,89.0,265.0,,,
