,num4black,num4white,0,1,2,3,4
F5,7.0,1.0,1.0,,,,
F5D6,7.0,1.0,2.0,,,,
F5D6C3,7.0,1.0,3.0,,,,
F5D6C3D3,7.0,1.0,4.0,,,,
F5D6C3D3C4,7.0,1.0,5.0,,,,
F5D6C3D3C4B3,7.0,1.0,6.0,,,,
F5D6C3D3C4B3C6,7.0,1.0,7.0,,,,
F5D6C3D3C4B3C6F4,7.0,1.0,8.0,,,,
F5D6C3D3C4B3C6F4E6,7.0,1.0,9.0,,,,
F5D6C3D3C4B3C6F4E6C5,7.0,1.0,10.0,,,,
F5D6C3D3C4B3C6F4E6C5B5,7.0,1.0,11.0,91.0,,,
F5D6C3D3C4B3C6F4E6C5B5B6,1.0,13.0,12.0,,,,
F5D6C3D3C4B3C6F4E6C5B5B6B4,1.0,13.0,13.0,,,,
F5D6C3D3C4B3C6F4E6C5B5B6B4A4,1.0,13.0,14.0,40.0,,,
F5D6C3D3C4B3C6F4E6C5B5B6B4A4A3,1.0,12.0,15.0,,,,
F5D6C3D3C4B3C6F4E6C5B5B6B4A4A3A6,1.0,12.0,16.0,,,,
F5D6C3D3C4B3C6F4E6C5B5B6B4A4A3A6A5,1.0,12.0,17.0,,,,
F5D6C3D3C4B3C6F4E6C5B5B6B4A4A3A6A5A2,1.0,12.0,18.0,,,,
F5D6C3D3C4B3C6F4E6C5B5B6B4A4A3A6A5A2E3,1.0,12.0,19.0,,,,
F5D6C3D3C4B3C6F4E6C5B5B6B4A4A3A6A5A2E3F2,1.0,12.0,20.0,,,,
F5D6C3D3C4B3C6F4E6C5B5B6B4A4A3A6A5A2E3F2F3,1.0,12.0,21.0,,,,
F5D6C3D3C4B3C6F4E6C5B5B6B4A4A3A6A5A2E3F2F3G3,1.0,12.0,22.0,73.0,,,
F5D6C3D3C4B3C6F4E6C5B5B6B4A4A3A6A5A2E3F2F3G3E2,1.0,8.0,23.0,,,,
