,num4black,num4white,0,1,2,3,4
F5,1.0,6.0,1.0,,,,
F5D6,1.0,6.0,2.0,,,,
F5D6C3,1.0,6.0,3.0,,,,
F5D6C3D3,1.0,6.0,4.0,,,,
F5D6C3D3C4,1.0,6.0,5.0,,,,
F5D6C3D3C4F4,1.0,6.0,6.0,,,,
F5D6C3D3C4F4C5,1.0,6.0,7.0,,,,
F5D6C3D3C4F4C5B3,1.0,6.0,8.0,,,,
F5D6C3D3C4F4C5B3C2,1.0,6.0,9.0,,,,
F5D6C3D3C4F4C5B3C2B4,1.0,6.0,10.0,,,,
F5D6C3D3C4F4C5B3C2B4C6,1.0,6.0,11.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2,1.0,6.0,12.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6,1.0,6.0,13.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5,1.0,6.0,14.0,34.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3,2.0,2.0,15.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3,2.0,2.0,16.0,181.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4,3.0,1.0,17.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6,3.0,1.0,18.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6,3.0,1.0,19.0,109.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5,1.0,9.0,20.0,63.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1,1.0,6.0,21.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7,1.0,6.0,22.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7F6,1.0,6.0,23.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7F6E2,1.0,6.0,24.0,57.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7F6E2G3,1.0,4.0,25.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7F6E2G3C7,1.0,4.0,26.0,30.0,171.0,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7F6E2G3C7A4,1.0,2.0,27.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7F6E2G3C7A4E7,1.0,2.0,28.0,293.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7F6E2G3C7A4E7H6,1.0,1.0,29.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7F6E2G3C7A4E7H6A5,1.0,1.0,,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7F6E2G3C7A5,2.0,1.0,31.0,200.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7F6E2G3C7A5A4,1.0,1.0,32.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7F6E2G3C7A5A4H4,1.0,1.0,33.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7F6E2G3C7A5A4H4H6,1.0,1.0,,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5,1.0,4.0,35.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6,1.0,4.0,36.0,135.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3,1.0,3.0,37.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6,1.0,3.0,38.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4,1.0,3.0,39.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2,1.0,3.0,40.0,305.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3,2.0,2.0,41.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4,2.0,2.0,42.0,382.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3,5.0,1.0,43.0,50.0,77.0,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C1,1.0,3.0,44.0,162.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C1H3,4.0,1.0,45.0,120.0,436.0,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C1H3E7,2.0,3.0,46.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C1H3E7C7,2.0,3.0,47.0,90.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C1H3E7C7F6,1.0,5.0,48.0,73.0,284.0,316.0,336.0
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C1H3E7C7F6E8,2.0,1.0,49.0,291.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C1H3E7C7F6E8F7,1.0,1.0,,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C7,1.0,5.0,51.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C7D7,1.0,5.0,52.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C7D7E8,1.0,5.0,53.0,105.0,277.0,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C7D7E8E1,3.0,1.0,54.0,271.0,367.0,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C7D7E8E1E2,1.0,1.0,55.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C7D7E8E1E2D8,1.0,1.0,56.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5A5A6A3B6A4A2G3G4F3C7D7E8E1E2D8F7,1.0,1.0,,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7F6E2H4,2.0,2.0,58.0,362.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7F6E2H4C7,1.0,4.0,59.0,152.0,376.0,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7F6E2H4C7D8,1.0,2.0,60.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7F6E2H4C7D8D7,1.0,2.0,61.0,75.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7F6E2H4C7D8D7G6,1.0,1.0,62.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5D1F7F6E2H4C7D8D7G6H3,1.0,1.0,,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5A3,1.0,3.0,64.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5A3C1,1.0,3.0,65.0,232.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5A3C1A2,2.0,2.0,66.0,98.0,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5A3C1A2E7,1.0,6.0,67.0,84.0,129.0,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5A3C1A2E7F6,2.0,4.0,68.0,,,,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5A3C1A2E7F6F7,2.0,4.0,69.0,203.0,216.0,241.0,
F5D6C3D3C4F4C5B3C2B4C6D2E6B5E3F3G4B6A6G5A3C1A2E7F6F7E1,3.0,1.0,70.0,197.0,,,
