,num4black,num4white,0,1,2,3
F5,18.0,2.0,1.0,,,
F5D6,18.0,2.0,2.0,,,
F5D6C3,18.0,2.0,3.0,,,
F5D6C3D3,18.0,2.0,4.0,,,
F5D6C3D3C4,18.0,2.0,5.0,,,
F5D6C3D3C4F4,18.0,2.0,6.0,,,
F5D6C3D3C4F4C5,18.0,2.0,7.0,,,
F5D6C3D3C4F4C5B3,18.0,2.0,8.0,,,
F5D6C3D3C4F4C5B3C2,18.0,2.0,9.0,,,
F5D6C3D3C4F4C5B3C2B4,18.0,2.0,10.0,,,
F5D6C3D3C4F4C5B3C2B4E3,18.0,2.0,11.0,,,
F5D6C3D3C4F4C5B3C2B4E3E6,18.0,2.0,12.0,,,
F5D6C3D3C4F4C5B3C2B4E3E6B6,18.0,2.0,13.0,,,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6,18.0,2.0,14.0,,,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5,18.0,2.0,15.0,36.0,107.0,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5F6,8.0,2.0,16.0,,,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5F6A5,8.0,2.0,17.0,,,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5F6A5A6,8.0,2.0,18.0,,,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5F6A5A6D7,8.0,2.0,19.0,,,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5F6A5A6D7F2,8.0,2.0,20.0,85.0,,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5F6A5A6D7F2E7,17.0,1.0,21.0,73.0,174.0,203.0
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5F6A5A6D7F2E7D2,9.0,1.0,22.0,,,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5F6A5A6D7F2E7D2A4,9.0,1.0,23.0,233.0,,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5F6A5A6D7F2E7D2A4C1,3.0,7.0,24.0,30.0,51.0,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5F6A5A6D7F2E7D2A4C1C7,5.0,1.0,25.0,143.0,,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5F6A5A6D7F2E7D2A4C1C7A3,3.0,1.0,26.0,,,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5F6A5A6D7F2E7D2A4C1C7A3G5,3.0,1.0,27.0,573.0,,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5F6A5A6D7F2E7D2A4C1C7A3G5H6,2.0,2.0,28.0,396.0,,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5F6A5A6D7F2E7D2A4C1C7A3G5H6H4,3.0,1.0,29.0,218.0,543.0,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5F6A5A6D7F2E7D2A4C1C7A3G5H6H4C8,1.0,1.0,,,,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5F6A5A6D7F2E7D2A4C1G3,4.0,3.0,31.0,66.0,,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5F6A5A6D7F2E7D2A4C1G3G5,2.0,4.0,32.0,183.0,229.0,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5F6A5A6D7F2E7D2A4C1G3G5H4,3.0,1.0,33.0,82.0,453.0,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5F6A5A6D7F2E7D2A4C1G3G5H4H6,1.0,1.0,34.0,,,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5F6A5A6D7F2E7D2A4C1G3G5H4H6G6,1.0,1.0,35.0,,,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5F6A5A6D7F2E7D2A4C1G3G5H4H6G6F7,1.0,1.0,,,,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5A6,8.0,2.0,37.0,,,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5A6A5,8.0,2.0,38.0,,,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5A6A5F6,8.0,2.0,39.0,,,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5A6A5F6D7,8.0,2.0,40.0,,,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5A6A5F6D7F2,8.0,2.0,41.0,151.0,,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5A6A5F6D7F2E7,17.0,1.0,42.0,57.0,95.0,127.0
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5A6A5F6D7F2E7D2,9.0,1.0,43.0,,,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5A6A5F6D7F2E7D2A4,9.0,1.0,44.0,167.0,,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5A6A5F6D7F2E7D2A4C1,3.0,7.0,45.0,212.0,318.0,
F5D6C3D3C4F4C5B3C2B4E3E6B6C6B5A6A5F6D7F2E7D2A4C1G3,4.0,3.0,46.0,122.0,,
