,num4black,num4white,0,1,2,3,4
F5,11.0,1.0,1.0,,,,
F5D6,11.0,1.0,2.0,,,,
F5D6C3,11.0,1.0,3.0,,,,
F5D6C3D3,11.0,1.0,4.0,,,,
F5D6C3D3C4,11.0,1.0,5.0,,,,
F5D6C3D3C4F4,11.0,1.0,6.0,,,,
F5D6C3D3C4F4C5,11.0,1.0,7.0,,,,
F5D6C3D3C4F4C5B3,11.0,1.0,8.0,,,,
F5D6C3D3C4F4C5B3C2,11.0,1.0,9.0,,,,
F5D6C3D3C4F4C5B3C2B4,11.0,1.0,10.0,,,,
F5D6C3D3C4F4C5B3C2B4E3,11.0,1.0,11.0,,,,
F5D6C3D3C4F4C5B3C2B4E3E6,11.0,1.0,12.0,,,,
F5D6C3D3C4F4C5B3C2B4E3E6C6,11.0,1.0,13.0,,,,
F5D6C3D3C4F4C5B3C2B4E3E6C6F6,11.0,1.0,14.0,,,,
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7,11.0,1.0,15.0,,,,
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7B5,11.0,1.0,16.0,,,,
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7B5E7,11.0,1.0,17.0,,,,
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7B5E7C7,11.0,1.0,18.0,,,,
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7B5E7C7B6,11.0,1.0,19.0,,,,
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7B5E7C7B6F8,11.0,1.0,20.0,,,,
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7B5E7C7B6F8A6,11.0,1.0,21.0,63.0,542.0,,
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7B5E7C7B6F8A6D8,1.0,11.0,22.0,,,,
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7B5E7C7B6F8A6D8A5,1.0,11.0,23.0,,,,
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7B5E7C7B6F8A6D8A5F7,1.0,11.0,24.0,168.0,,,
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7B5E7C7B6F8A6D8A5F7A4,4.0,5.0,25.0,,,,
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7B5E7C7B6F8A6D8A5F7A4F3,4.0,5.0,26.0,,,,
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7B5E7C7B6F8A6D8A5F7A4F3G3,4.0,5.0,27.0,,,,
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7B5E7C7B6F8A6D8A5F7A4F3G3E2,4.0,5.0,28.0,40.0,,,
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7B5E7C7B6F8A6D8A5F7A4F3G3E2G5,4.0,4.0,29.0,327.0,,,
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7B5E7C7B6F8A6D8A5F7A4F3G3E2G5F2,3.0,4.0,30.0,142.0,,,
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7B5E7C7B6F8A6D8A5F7A4F3G3E2G5F2G4,3.0,2.0,31.0,,,,
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7B5E7C7B6F8A6D8A5F7A4F3G3E2G5F2G4D2,3.0,2.0,32.0,,,,
