,num4black,num4white,0,1,2,3
F5,14.0,1.0,1.0,,,
F5D6,14.0,1.0,2.0,,,
F5D6C3,14.0,1.0,3.0,,,
F5D6C3D3,14.0,1.0,4.0,,,
F5D6C3D3C4,14.0,1.0,5.0,,,
F5D6C3D3C4F4,14.0,1.0,6.0,,,
F5D6C3D3C4F4C5,14.0,1.0,7.0,,,
F5D6C3D3C4F4C5B3,14.0,1.0,8.0,,,
F5D6C3D3C4F4C5B3C2,14.0,1.0,9.0,,,
F5D6C3D3C4F4C5B3C2D2,14.0,1.0,10.0,,,
F5D6C3D3C4F4C5B3C2D2E6,14.0,1.0,11.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4,14.0,1.0,12.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4,14.0,1.0,13.0,30.0,47.0,64.0
F5D6C3D3C4F4C5B3C2D2E6B4G4C1,1.0,6.0,14.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4C1C6,1.0,6.0,15.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4C1C6F6,1.0,6.0,16.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4C1C6F6F7,1.0,6.0,17.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4C1C6F6F7D7,1.0,6.0,18.0,229.0,,
F5D6C3D3C4F4C5B3C2D2E6B4G4C1C6F6F7D7B5,1.0,5.0,19.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4C1C6F6F7D7B5C7,1.0,5.0,20.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4C1C6F6F7D7B5C7B6,1.0,5.0,21.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4C1C6F6F7D7B5C7B6A6,1.0,5.0,22.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4C1C6F6F7D7B5C7B6A6E8,1.0,5.0,23.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4C1C6F6F7D7B5C7B6A6E8G5,1.0,5.0,24.0,194.0,,
F5D6C3D3C4F4C5B3C2D2E6B4G4C1C6F6F7D7B5C7B6A6E8G5D8,1.0,3.0,25.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4C1C6F6F7D7B5C7B6A6E8G5D8F8,1.0,3.0,26.0,898.0,,
F5D6C3D3C4F4C5B3C2D2E6B4G4C1C6F6F7D7B5C7B6A6E8G5D8F8E3,1.0,2.0,27.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4C1C6F6F7D7B5C7B6A6E8G5D8F8E3E7,1.0,2.0,28.0,565.0,,
F5D6C3D3C4F4C5B3C2D2E6B4G4C1C6F6F7D7B5C7B6A6E8G5D8F8E3E7H6,1.0,1.0,29.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4C1C6F6F7D7B5C7B6A6E8G5D8F8E3E7H6H5,1.0,1.0,,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4G3,1.0,20.0,31.0,260.0,,
F5D6C3D3C4F4C5B3C2D2E6B4G4G3F3,1.0,14.0,32.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4G3F3E3,1.0,14.0,33.0,200.0,,
F5D6C3D3C4F4C5B3C2D2E6B4G4G3F3E3D1,1.0,13.0,34.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4G3F3E3D1G6,1.0,13.0,35.0,148.0,690.0,
F5D6C3D3C4F4C5B3C2D2E6B4G4G3F3E3D1G6E2,1.0,3.0,36.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4G3F3E3D1G6E2C1,1.0,3.0,37.0,634.0,,
F5D6C3D3C4F4C5B3C2D2E6B4G4G3F3E3D1G6E2C1F6,1.0,2.0,38.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4G3F3E3D1G6E2C1F6E1,1.0,2.0,39.0,928.0,,
F5D6C3D3C4F4C5B3C2D2E6B4G4G3F3E3D1G6E2C1F6E1C6,6.0,1.0,40.0,390.0,,
F5D6C3D3C4F4C5B3C2D2E6B4G4G3F3E3D1G6E2C1F6E1C6D7,5.0,1.0,41.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4G3F3E3D1G6E2C1F6E1C6D7C7,5.0,1.0,42.0,165.0,,
F5D6C3D3C4F4C5B3C2D2E6B4G4G3F3E3D1G6E2C1F6E1C6D7C7F1,3.0,1.0,43.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4G3F3E3D1G6E2C1F6E1C6D7C7F1E7,3.0,1.0,44.0,511.0,976.0,
F5D6C3D3C4F4C5B3C2D2E6B4G4G3F3E3D1G6E2C1F6E1C6D7C7F1E7F8,1.0,1.0,45.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4G3F3E3D1G6E2C1F6E1C6D7C7F1E7F8F7,1.0,1.0,46.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4G3F3E3D1G6E2C1F6E1C6D7C7F1E7F8F7B6,1.0,1.0,,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F7,4.0,2.0,48.0,115.0,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F7D7,6.0,1.0,49.0,364.0,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F7D7F6,5.0,1.0,50.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F7D7F6E7,5.0,1.0,51.0,81.0,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F7D7F6E7F8,1.0,4.0,52.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F7D7F6E7F8G6,1.0,4.0,53.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F7D7F6E7F8G6E3,1.0,4.0,54.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F7D7F6E7F8G6E3C7,1.0,4.0,55.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F7D7F6E7F8G6E3C7C6,1.0,4.0,56.0,356.0,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F7D7F6E7F8G6E3C7C6D8,1.0,3.0,57.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F7D7F6E7F8G6E3C7C6D8H6,1.0,3.0,58.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F7D7F6E7F8G6E3C7C6D8H6G5,1.0,3.0,59.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F7D7F6E7F8G6E3C7C6D8H6G5H3,1.0,3.0,60.0,160.0,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F7D7F6E7F8G6E3C7C6D8H6G5H3B6,1.0,1.0,61.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F7D7F6E7F8G6E3C7C6D8H6G5H3B6F3,1.0,1.0,62.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F7D7F6E7F8G6E3C7C6D8H6G5H3B6F3B5,1.0,1.0,63.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F7D7F6E7F8G6E3C7C6D8H6G5H3B6F3B5A5,1.0,1.0,,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F6,8.0,1.0,65.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F6E7,8.0,1.0,66.0,94.0,214.0,
F5D6C3D3C4F4C5B3C2D2E6B4G4F6E7F8,2.0,4.0,67.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F6E7F8G6,2.0,4.0,68.0,170.0,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F6E7F8G6F7,1.0,4.0,69.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F6E7F8G6F7D7,1.0,4.0,70.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F6E7F8G6F7D7E3,1.0,4.0,71.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F6E7F8G6F7D7E3C7,1.0,4.0,72.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F6E7F8G6F7D7E3C7C6,1.0,4.0,73.0,131.0,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F6E7F8G6F7D7E3C7C6D8,1.0,3.0,74.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F6E7F8G6F7D7E3C7C6D8H6,1.0,3.0,75.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F6E7F8G6F7D7E3C7C6D8H6G5,1.0,3.0,76.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F6E7F8G6F7D7E3C7C6D8H6G5H3,1.0,3.0,77.0,567.0,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F6E7F8G6F7D7E3C7C6D8H6G5H3B6,1.0,1.0,78.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F6E7F8G6F7D7E3C7C6D8H6G5H3B6F3,1.0,1.0,79.0,,,
F5D6C3D3C4F4C5B3C2D2E6B4G4F6E7F8G6F7D7E3C7C6D8H6G5H3B6F3B5,1.0,1.0,80.0,,,
