,num4black,num4white,0,1,2,3,4,5
F5,20.0,1.0,1.0,,,,,
F5D6,20.0,1.0,2.0,,,,,
F5D6C3,20.0,1.0,3.0,,,,,
F5D6C3D3,20.0,1.0,4.0,,,,,
F5D6C3D3C4,20.0,1.0,5.0,,,,,
F5D6C3D3C4F4,20.0,1.0,6.0,,,,,
F5D6C3D3C4F4C5,20.0,1.0,7.0,,,,,
F5D6C3D3C4F4C5B3,20.0,1.0,8.0,,,,,
F5D6C3D3C4F4C5B3C2,20.0,1.0,9.0,,,,,
F5D6C3D3C4F4C5B3C2E3,20.0,1.0,10.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2,20.0,1.0,11.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6,20.0,1.0,12.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4,20.0,1.0,13.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3,20.0,1.0,14.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3,20.0,1.0,15.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4,20.0,1.0,16.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3,20.0,1.0,17.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1,20.0,1.0,18.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5,20.0,1.0,19.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4,20.0,1.0,20.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6,20.0,1.0,21.0,1704.0,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1,18.0,1.0,22.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2,18.0,1.0,23.0,163.0,482.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2,16.0,1.0,24.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1,16.0,1.0,25.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6,16.0,1.0,26.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6,16.0,1.0,27.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6,16.0,1.0,28.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1,16.0,1.0,29.0,145.0,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5,15.0,1.0,30.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4,15.0,1.0,31.0,76.0,119.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1,5.0,1.0,32.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1,5.0,1.0,33.0,64.0,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7,2.0,2.0,34.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6,2.0,2.0,35.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5,2.0,2.0,36.0,43.0,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5A2,2.0,1.0,37.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5A2H5,2.0,1.0,38.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5A2H5F8,2.0,1.0,39.0,41.0,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5A2H5F8G7,1.0,1.0,40.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5A2H5F8G7H3,1.0,1.0,,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5A2H5F8E8,1.0,1.0,42.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5A2H5F8E8D8,1.0,1.0,,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8,6.0,1.0,44.0,48.0,54.0,58.0,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8H3,1.0,1.0,45.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8H3H5,1.0,1.0,46.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8H3H5A7,1.0,1.0,47.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8H3H5A7B2,1.0,1.0,,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8H5,2.0,1.0,49.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8H5D7,2.0,1.0,50.0,52.0,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8H5D7H3,1.0,1.0,51.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8H5D7H3H2,1.0,1.0,,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8H5D7G7,1.0,1.0,53.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8H5D7G7E7,1.0,1.0,,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8G7,1.0,1.0,55.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8G7H5,1.0,1.0,56.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8G7H5A7,1.0,1.0,57.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8G7H5A7E7,1.0,1.0,,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8A7,2.0,1.0,59.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8A7H5,2.0,1.0,60.0,62.0,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8A7H5G2,1.0,1.0,61.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8A7H5G2B2,1.0,1.0,,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8A7H5G7,1.0,1.0,63.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8A7H5G7E7,1.0,1.0,,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1D7,3.0,1.0,65.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1D7H6,3.0,1.0,66.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1D7H6A5,3.0,1.0,67.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1D7H6A5A2,3.0,1.0,68.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1D7H6A5A2H5,3.0,1.0,69.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1D7H6A5A2H5D8,3.0,1.0,70.0,72.0,74.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1D7H6A5A2H5D8H3,1.0,1.0,71.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1D7H6A5A2H5D8H3C7,1.0,1.0,,,,,,
