,num4black,num4white,0,1,2,3
F5,1.0,4.0,1.0,,,
F5D6,1.0,4.0,2.0,,,
F5D6C3,1.0,4.0,3.0,,,
F5D6C3D3,1.0,4.0,4.0,,,
F5D6C3D3C4,1.0,4.0,5.0,,,
F5D6C3D3C4F4,1.0,4.0,6.0,,,
F5D6C3D3C4F4C5,1.0,4.0,7.0,,,
F5D6C3D3C4F4C5B3,1.0,4.0,8.0,,,
F5D6C3D3C4F4C5B3C2,1.0,4.0,9.0,,,
F5D6C3D3C4F4C5B3C2E3,1.0,4.0,10.0,,,
F5D6C3D3C4F4C5B3C2E3D2,1.0,4.0,11.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6,1.0,4.0,12.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2,1.0,4.0,13.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6,1.0,4.0,14.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4,1.0,4.0,15.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6,1.0,4.0,16.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5,1.0,4.0,17.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5,1.0,4.0,18.0,79.0,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5,6.0,1.0,19.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3,6.0,1.0,20.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6,6.0,1.0,21.0,38.0,63.0,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6H4,1.0,5.0,22.0,30.0,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6H4C7,1.0,3.0,23.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6H4C7A6,1.0,3.0,24.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6H4C7A6D7,1.0,3.0,25.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6H4C7A6D7C8,1.0,3.0,26.0,199.0,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6H4C7A6D7C8A3,1.0,2.0,27.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6H4C7A6D7C8A3D8,1.0,2.0,28.0,111.0,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6H4C7A6D7C8A3D8E7,1.0,1.0,29.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6H4C7A6D7C8A3D8E7F7,1.0,1.0,,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6H4D7,3.0,2.0,31.0,72.0,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6H4D7A4,2.0,2.0,32.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6H4D7A4F3,2.0,2.0,33.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6H4D7A4F3E7,2.0,2.0,34.0,157.0,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6H4D7A4F3E7G4,5.0,1.0,35.0,54.0,182.0,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6H4D7A4F3E7G4F7,2.0,1.0,36.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6H4D7A4F3E7G4F7E8,2.0,1.0,37.0,145.0,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6H4D7A4F3E7G4F7E8A6,1.0,1.0,,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A6,4.0,1.0,39.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A6C7,4.0,1.0,40.0,47.0,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A6C7F3,3.0,1.0,41.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A6C7F3A4,3.0,1.0,42.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A6C7F3A4D1,3.0,1.0,43.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A6C7F3A4D1D7,3.0,1.0,44.0,131.0,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A6C7F3A4D1D7E1,1.0,1.0,45.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A6C7F3A4D1D7E1E7,1.0,1.0,46.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A6C7F3A4D1D7E1E7F7,1.0,1.0,,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A6C7D8,1.0,7.0,48.0,57.0,135.0,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A6C7D8C8,1.0,2.0,49.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A6C7D8C8B8,1.0,2.0,50.0,91.0,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A6C7D8C8B8D7,2.0,1.0,51.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A6C7D8C8B8D7A4,2.0,1.0,52.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A6C7D8C8B8D7A4F7,2.0,1.0,53.0,123.0,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A6C7D8C8B8D7A4F7H4,1.0,1.0,,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6H4D7A4F3E7G4D8,2.0,2.0,55.0,178.0,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6H4D7A4F3E7G4D8F7,3.0,1.0,56.0,95.0,189.0,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6H4D7A4F3E7G4D8F7G6,1.0,1.0,,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A6C7D8D7,1.0,3.0,58.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A6C7D8D7C8,1.0,3.0,59.0,153.0,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A6C7D8D7C8A3,1.0,2.0,60.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A6C7D8D7C8A3H4,1.0,2.0,61.0,172.0,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A6C7D8D7C8A3H4G4,2.0,1.0,62.0,207.0,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A6C7D8D7C8A3H4G4H3,1.0,1.0,,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A3,1.0,6.0,64.0,103.0,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A3A4,2.0,4.0,65.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A3A4C7,2.0,4.0,66.0,97.0,113.0,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A3A4C7H4,2.0,1.0,67.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A3A4C7H4H5,2.0,1.0,68.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A3A4C7H4H5G4,2.0,1.0,69.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A3A4C7H4H5G4H3,2.0,1.0,70.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A3A4C7H4H5G4H3D7,2.0,1.0,71.0,96.0,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6A3A4C7H4H5G4H3D7C8,1.0,1.0,,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6H4D7C8,1.0,2.0,73.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6F2E6B4F6B5A5G5G3B6H4D7C8A3,1.0,2.0,74.0,,,
