,num4black,num4white,0,1,2,3,4
F5,1.0,27.0,1.0,,,,
F5D6,1.0,27.0,2.0,,,,
F5D6C3,1.0,27.0,3.0,,,,
F5D6C3D3,1.0,27.0,4.0,,,,
F5D6C3D3C4,1.0,27.0,5.0,,,,
F5D6C3D3C4F4,1.0,27.0,6.0,,,,
F5D6C3D3C4F4C5,1.0,27.0,7.0,,,,
F5D6C3D3C4F4C5B3,1.0,27.0,8.0,,,,
F5D6C3D3C4F4C5B3C2,1.0,27.0,9.0,,,,
F5D6C3D3C4F4C5B3C2E3,1.0,27.0,10.0,,,,
F5D6C3D3C4F4C5B3C2E3D2,1.0,27.0,11.0,,,,
F5D6C3D3C4F4C5B3C2E3D2E1,1.0,27.0,12.0,,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1,1.0,27.0,13.0,,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1,1.0,27.0,14.0,,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4,1.0,27.0,15.0,,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4C6,1.0,27.0,16.0,,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4C6B4,1.0,27.0,17.0,,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4C6B4F3,1.0,27.0,18.0,,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4C6B4F3E6,1.0,27.0,19.0,,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4C6B4F3E6A4,1.0,27.0,20.0,47.0,200.0,232.0,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4C6B4F3E6A4F2,3.0,5.0,21.0,83.0,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4C6B4F3E6A4F2F6,1.0,5.0,22.0,119.0,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4C6B4F3E6A4F2F6B5,1.0,4.0,23.0,,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4C6B4F3E6A4F2F6B5A5,1.0,4.0,24.0,,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4C6B4F3E6A4F2F6B5A5A6,1.0,4.0,25.0,,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4C6B4F3E6A4F2F6B5A5A6B6,1.0,4.0,26.0,,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4C6B4F3E6A4F2F6B5A5A6B6A3,1.0,4.0,27.0,,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4C6B4F3E6A4F2F6B5A5A6B6A3E2,1.0,4.0,28.0,102.0,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4C6B4F3E6A4F2F6B5A5A6B6A3E2E7,12.0,1.0,29.0,174.0,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4C6B4F3E6A4F2F6B5A5A6B6A3E2E7G5,8.0,1.0,30.0,,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4C6B4F3E6A4F2F6B5A5A6B6A3E2E7G5F1,8.0,1.0,31.0,,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4C6B4F3E6A4F2F6B5A5A6B6A3E2E7G5F1D7,8.0,1.0,32.0,,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4C6B4F3E6A4F2F6B5A5A6B6A3E2E7G5F1D7H5,8.0,1.0,33.0,40.0,112.0,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4C6B4F3E6A4F2F6B5A5A6B6A3E2E7G5F1D7H5G1,2.0,1.0,34.0,,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4C6B4F3E6A4F2F6B5A5A6B6A3E2E7G5F1D7H5G1G3,2.0,1.0,35.0,,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4C6B4F3E6A4F2F6B5A5A6B6A3E2E7G5F1D7H5G1G3G6,2.0,1.0,36.0,,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4C6B4F3E6A4F2F6B5A5A6B6A3E2E7G5F1D7H5G1G3G6C8,2.0,1.0,37.0,433.0,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4C6B4F3E6A4F2F6B5A5A6B6A3E2E7G5F1D7H5G1G3G6C8H3,1.0,1.0,38.0,,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4C6B4F3E6A4F2F6B5A5A6B6A3E2E7G5F1D7H5G1G3G6C8H3A7,1.0,1.0,39.0,,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4C6B4F3E6A4F2F6B5A5A6B6A3E2E7G5F1D7H5G1G3G6C8H3A7F8,1.0,1.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4C6B4F3E6A4F2F6B5A5A6B6A3E2E7G5F1D7H5F7,3.0,1.0,41.0,,,,
F5D6C3D3C4F4C5B3C2E3D2E1D1C1G4C6B4F3E6A4F2F6B5A5A6B6A3E2E7G5F1D7H5F7G3,3.0,1.0,42.0,676.0,,,
