,num4black,num4white,0,1,2,3,4
F5,2.0,5.0,1.0,,,,
F5D6,2.0,5.0,2.0,,,,
F5D6C3,2.0,5.0,3.0,,,,
F5D6C3D3,2.0,5.0,4.0,,,,
F5D6C3D3C4,2.0,5.0,5.0,,,,
F5D6C3D3C4F4,2.0,5.0,6.0,,,,
F5D6C3D3C4F4C5,2.0,5.0,7.0,,,,
F5D6C3D3C4F4C5B3,2.0,5.0,8.0,,,,
F5D6C3D3C4F4C5B3C2,2.0,5.0,9.0,,,,
F5D6C3D3C4F4C5B3C2E6,2.0,5.0,10.0,,,,
F5D6C3D3C4F4C5B3C2E6C6,2.0,5.0,11.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4,2.0,5.0,12.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5,2.0,5.0,13.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2,2.0,5.0,14.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3,2.0,5.0,15.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6,2.0,5.0,16.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1,2.0,5.0,17.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6,2.0,5.0,18.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3,2.0,5.0,19.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6,2.0,5.0,20.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7,2.0,5.0,21.0,1791.0,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2,1.0,5.0,22.0,653.0,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7,13.0,2.0,23.0,432.0,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1,10.0,2.0,24.0,228.0,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7,10.0,1.0,25.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1,10.0,1.0,26.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7,10.0,1.0,27.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8,10.0,1.0,28.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4,10.0,1.0,29.0,101.0,171.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3,5.0,1.0,30.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8,5.0,1.0,31.0,61.0,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5,3.0,1.0,32.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8,3.0,1.0,33.0,46.0,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8F8,1.0,3.0,34.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8F8F1,1.0,3.0,35.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8F8F1G3,1.0,3.0,36.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8F8F1G3F2,1.0,3.0,37.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8F8F1G3F2G6,1.0,3.0,38.0,41.0,43.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8F8F1G3F2G6E8,1.0,1.0,39.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8F8F1G3F2G6E8A8,1.0,1.0,40.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8F8F1G3F2G6E8A8H4,1.0,1.0,,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8F8F1G3F2G6H4,1.0,1.0,42.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8F8F1G3F2G6H4G5,1.0,1.0,,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8F8F1G3F2G6H6,1.0,1.0,44.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8F8F1G3F2G6H6G8,1.0,1.0,45.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8F8F1G3F2G6H6G8G4,1.0,1.0,,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8G4,2.0,1.0,47.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8G4G2,2.0,1.0,48.0,54.0,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8G4G2F2,1.0,1.0,49.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8G4G2F2H3,1.0,1.0,50.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8G4G2F2H3H5,1.0,1.0,51.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8G4G2F2H3H5H4,1.0,1.0,52.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8G4G2F2H3H5H4H1,1.0,1.0,53.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8G4G2F2H3H5H4H1E1,1.0,1.0,,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8G4G2G5,1.0,2.0,55.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8G4G2G5G6,1.0,2.0,56.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8G4G2G5G6F8,1.0,2.0,57.0,59.0,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8G4G2G5G6F8H5,1.0,1.0,58.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8G4G2G5G6F8H5F2,1.0,1.0,,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8G4G2G5G6F8H3,1.0,1.0,60.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A5D8G4G2G5G6F8H3E8,1.0,1.0,,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A8,2.0,2.0,62.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A8A5,2.0,2.0,63.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A8A5D8,2.0,2.0,64.0,76.0,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A8A5D8F2,2.0,1.0,65.0,71.0,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A8A5D8F2E8,1.0,1.0,66.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A8A5D8F2E8F1,1.0,1.0,67.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A8A5D8F2E8F1G3,1.0,1.0,68.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A8A5D8F2E8F1G3E1,1.0,1.0,69.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A8A5D8F2E8F1G3E1G1,1.0,1.0,70.0,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A8A5D8F2E8F1G3E1G1G5,1.0,1.0,,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1B6F3F6F7E2E7D1D7B1C7C8A4A3B8A8A5D8F2G1,1.0,1.0,72.0,,,,
