,num4black,num4white,0,1,2,3,4,5
F5,19.0,2.0,1.0,,,,,
F5D6,19.0,2.0,2.0,,,,,
F5D6C3,19.0,2.0,3.0,,,,,
F5D6C3D3,19.0,2.0,4.0,,,,,
F5D6C3D3C4,19.0,2.0,5.0,,,,,
F5D6C3D3C4F4,19.0,2.0,6.0,,,,,
F5D6C3D3C4F4C5,19.0,2.0,7.0,,,,,
F5D6C3D3C4F4C5B3,19.0,2.0,8.0,,,,,
F5D6C3D3C4F4C5B3C2,19.0,2.0,9.0,,,,,
F5D6C3D3C4F4C5B3C2E6,19.0,2.0,10.0,,,,,
F5D6C3D3C4F4C5B3C2E6C6,19.0,2.0,11.0,,,,,
F5D6C3D3C4F4C5B3C2E6C6B4,19.0,2.0,12.0,,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5,19.0,2.0,13.0,,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2,19.0,2.0,14.0,,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3,19.0,2.0,15.0,,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6,19.0,2.0,16.0,,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1,19.0,2.0,17.0,,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1D7,19.0,2.0,18.0,,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1D7E7,19.0,2.0,19.0,,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1D7E7F6,19.0,2.0,20.0,,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1D7E7F6A4,19.0,2.0,21.0,,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1D7E7F6A4E2,19.0,2.0,22.0,,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1D7E7F6A4E2A5,19.0,2.0,23.0,,,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5D2E3A6C1D7E7F6A4E2A5D1,19.0,2.0,24.0,,,,,
