,num4black,num4white,0,1,2
F5,8.0,1.0,1.0,,
F5D6,8.0,1.0,2.0,,
F5D6C3,8.0,1.0,3.0,,
F5D6C3D3,8.0,1.0,4.0,,
F5D6C3D3C4,8.0,1.0,5.0,,
F5D6C3D3C4F4,8.0,1.0,6.0,,
F5D6C3D3C4F4C5,8.0,1.0,7.0,,
F5D6C3D3C4F4C5B3,8.0,1.0,8.0,,
F5D6C3D3C4F4C5B3C2,8.0,1.0,9.0,,
F5D6C3D3C4F4C5B3C2E6,8.0,1.0,10.0,,
F5D6C3D3C4F4C5B3C2E6C6,8.0,1.0,11.0,,
F5D6C3D3C4F4C5B3C2E6C6B4,8.0,1.0,12.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5,8.0,1.0,13.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6,8.0,1.0,14.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5,8.0,1.0,15.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2,8.0,1.0,16.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3,8.0,1.0,17.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4,8.0,1.0,18.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3,8.0,1.0,19.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6,8.0,1.0,20.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3,8.0,1.0,21.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2,8.0,1.0,22.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2C1,8.0,1.0,23.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2C1E2,8.0,1.0,24.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2C1E2B6,8.0,1.0,25.0,65.0,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2C1E2B6D7,4.0,1.0,26.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2C1E2B6D7G4,4.0,1.0,27.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2C1E2B6D7G4E1,4.0,1.0,28.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2C1E2B6D7G4E1F1,4.0,1.0,29.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2C1E2B6D7G4E1F1D1,4.0,1.0,30.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2C1E2B6D7G4E1F1D1F2,4.0,1.0,31.0,40.0,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2C1E2B6D7G4E1F1D1F2G5,3.0,2.0,32.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2C1E2B6D7G4E1F1D1F2G5E7,3.0,2.0,33.0,49.0,56.0
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2C1E2B6D7G4E1F1D1F2G5E7H3,1.0,2.0,34.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2C1E2B6D7G4E1F1D1F2G5E7H3G3,1.0,2.0,35.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2C1E2B6D7G4E1F1D1F2G5E7H3G3H4,1.0,2.0,36.0,113.0,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2C1E2B6D7G4E1F1D1F2G5E7H3G3H4F7,1.0,1.0,37.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2C1E2B6D7G4E1F1D1F2G5E7H3G3H4F7G6,1.0,1.0,38.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2C1E2B6D7G4E1F1D1F2G5E7H3G3H4F7G6D8,1.0,1.0,39.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2C1E2B6D7G4E1F1D1F2G5E7H3G3H4F7G6D8C8,1.0,1.0,,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2C1E2B6D7G4E1F1D1F2H4,1.0,1.0,41.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2C1E2B6D7G4E1F1D1F2H4C7,1.0,1.0,42.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2C1E2B6D7G4E1F1D1F2H4C7A7,1.0,1.0,43.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2C1E2B6D7G4E1F1D1F2H4C7A7G5,1.0,1.0,44.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2C1E2B6D7G4E1F1D1F2H4C7A7G5D8,1.0,1.0,45.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2C1E2B6D7G4E1F1D1F2H4C7A7G5D8H3,1.0,1.0,46.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2C1E2B6D7G4E1F1D1F2H4C7A7G5D8H3H2,1.0,1.0,47.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2C1E2B6D7G4E1F1D1F2H4C7A7G5D8H3H2F7,1.0,1.0,48.0,,
F5D6C3D3C4F4C5B3C2E6C6B4B5F6A5D2E3A4F3A6A3A2C1E2B6D7G4E1F1D1F2H4C7A7G5D8H3H2F7E7,1.0,1.0,,,
