,num4black,num4white,0,1,2,3
F5,2.0,8.0,1.0,,,
F5D6,2.0,8.0,2.0,,,
F5D6C3,2.0,8.0,3.0,,,
F5D6C3D3,2.0,8.0,4.0,,,
F5D6C3D3C4,2.0,8.0,5.0,,,
F5D6C3D3C4F4,2.0,8.0,6.0,,,
F5D6C3D3C4F4C5,2.0,8.0,7.0,,,
F5D6C3D3C4F4C5B3,2.0,8.0,8.0,,,
F5D6C3D3C4F4C5B3C2,2.0,8.0,9.0,,,
F5D6C3D3C4F4C5B3C2F6,2.0,8.0,10.0,,,
F5D6C3D3C4F4C5B3C2F6A3,2.0,8.0,11.0,,,
F5D6C3D3C4F4C5B3C2F6A3B5,2.0,8.0,12.0,,,
F5D6C3D3C4F4C5B3C2F6A3B5B6,2.0,8.0,13.0,,,
F5D6C3D3C4F4C5B3C2F6A3B5B6E3,2.0,8.0,14.0,,,
F5D6C3D3C4F4C5B3C2F6A3B5B6E3F2,2.0,8.0,15.0,,,
F5D6C3D3C4F4C5B3C2F6A3B5B6E3F2B2,2.0,8.0,16.0,62.0,,
F5D6C3D3C4F4C5B3C2F6A3B5B6E3F2B2E6,2.0,7.0,17.0,,,
F5D6C3D3C4F4C5B3C2F6A3B5B6E3F2B2E6C6,2.0,7.0,18.0,30.0,,
F5D6C3D3C4F4C5B3C2F6A3B5B6E3F2B2E6C6G3,4.0,2.0,19.0,,,
F5D6C3D3C4F4C5B3C2F6A3B5B6E3F2B2E6C6G3E2,4.0,2.0,20.0,,,
F5D6C3D3C4F4C5B3C2F6A3B5B6E3F2B2E6C6G3E2G5,4.0,2.0,21.0,,,
F5D6C3D3C4F4C5B3C2F6A3B5B6E3F2B2E6C6G3E2G5F7,4.0,2.0,22.0,,,
F5D6C3D3C4F4C5B3C2F6A3B5B6E3F2B2E6C6G3E2G5F7D7,4.0,2.0,23.0,,,
F5D6C3D3C4F4C5B3C2F6A3B5B6E3F2B2E6C6G3E2G5F7D7H4,4.0,2.0,24.0,42.0,,
F5D6C3D3C4F4C5B3C2F6A3B5B6E3F2B2E6C6G3E2G5F7D7H4H6,4.0,1.0,25.0,,,
F5D6C3D3C4F4C5B3C2F6A3B5B6E3F2B2E6C6G3E2G5F7D7H4H6E7,4.0,1.0,26.0,,,
F5D6C3D3C4F4C5B3C2F6A3B5B6E3F2B2E6C6G3E2G5F7D7H4H6E7A4,4.0,1.0,27.0,85.0,173.0,210.0
F5D6C3D3C4F4C5B3C2F6A3B5B6E3F2B2E6C6G3E2G5F7D7H4H6E7A4C8,1.0,1.0,28.0,,,
F5D6C3D3C4F4C5B3C2F6A3B5B6E3F2B2E6C6G3E2G5F7D7H4H6E7A4C8C7,1.0,1.0,29.0,,,
F5D6C3D3C4F4C5B3C2F6A3B5B6E3F2B2E6C6G3E2G5F7D7H4H6E7A4C8C7G6,1.0,1.0,,,,
F5D6C3D3C4F4C5B3C2F6A3B5B6E3F2B2E6C6B4,2.0,5.0,31.0,,,
F5D6C3D3C4F4C5B3C2F6A3B5B6E3F2B2E6C6B4F3,2.0,5.0,32.0,100.0,,
