,num4black,num4white,0,1,2,3,4,5
F5,2.0,27.0,1.0,,,,,
F5D6,2.0,27.0,2.0,,,,,
F5D6C3,2.0,27.0,3.0,,,,,
F5D6C3D3,2.0,27.0,4.0,,,,,
F5D6C3D3C4,2.0,27.0,5.0,,,,,
F5D6C3D3C4F4,2.0,27.0,6.0,,,,,
F5D6C3D3C4F4C5,2.0,27.0,7.0,,,,,
F5D6C3D3C4F4C5B3,2.0,27.0,8.0,,,,,
F5D6C3D3C4F4C5B3E2,2.0,27.0,9.0,30.0,,,,
F5D6C3D3C4F4C5B3E2C6,1.0,28.0,10.0,78.0,392.0,,,
F5D6C3D3C4F4C5B3E2C6B4,1.0,19.0,11.0,,,,,
F5D6C3D3C4F4C5B3E2C6B4E3,1.0,19.0,12.0,138.0,377.0,497.0,,
F5D6C3D3C4F4C5B3E2C6B4E3B5,1.0,12.0,13.0,,,,,
F5D6C3D3C4F4C5B3E2C6B4E3B5A6,1.0,12.0,14.0,,,,,
F5D6C3D3C4F4C5B3E2C6B4E3B5A6F3,1.0,12.0,15.0,,,,,
F5D6C3D3C4F4C5B3E2C6B4E3B5A6F3A3,1.0,12.0,16.0,280.0,,,,
F5D6C3D3C4F4C5B3E2C6B4E3B5A6F3A3C7,1.0,7.0,17.0,,,,,
F5D6C3D3C4F4C5B3E2C6B4E3B5A6F3A3C7E7,1.0,7.0,18.0,217.0,,,,
F5D6C3D3C4F4C5B3E2C6B4E3B5A6F3A3C7E7A4,2.0,2.0,19.0,,,,,
F5D6C3D3C4F4C5B3E2C6B4E3B5A6F3A3C7E7A4A5,2.0,2.0,20.0,,,,,
F5D6C3D3C4F4C5B3E2C6B4E3B5A6F3A3C7E7A4A5D7,2.0,2.0,21.0,,,,,
F5D6C3D3C4F4C5B3E2C6B4E3B5A6F3A3C7E7A4A5D7G4,2.0,2.0,22.0,,,,,
F5D6C3D3C4F4C5B3E2C6B4E3B5A6F3A3C7E7A4A5D7G4G3,2.0,2.0,23.0,,,,,
F5D6C3D3C4F4C5B3E2C6B4E3B5A6F3A3C7E7A4A5D7G4G3D8,2.0,2.0,24.0,,,,,
F5D6C3D3C4F4C5B3E2C6B4E3B5A6F3A3C7E7A4A5D7G4G3D8D2,2.0,2.0,25.0,319.0,,,,
F5D6C3D3C4F4C5B3E2C6B4E3B5A6F3A3C7E7A4A5D7G4G3D8D2C8,1.0,2.0,26.0,1353.0,,,,
F5D6C3D3C4F4C5B3E2C6B4E3B5A6F3A3C7E7A4A5D7G4G3D8D2C8C2,1.0,1.0,27.0,,,,,
F5D6C3D3C4F4C5B3E2C6B4E3B5A6F3A3C7E7A4A5D7G4G3D8D2C8C2C1,1.0,1.0,28.0,,,,,
F5D6C3D3C4F4C5B3E2C6B4E3B5A6F3A3C7E7A4A5D7G4G3D8D2C8C2C1B6,1.0,1.0,29.0,,,,,
F5D6C3D3C4F4C5B3E2C6B4E3B5A6F3A3C7E7A4A5D7G4G3D8D2C8C2C1B6F6,1.0,1.0,,,,,,
F5D6C3D3C4F4C5B3E2E3,1.0,27.0,31.0,,,,,
F5D6C3D3C4F4C5B3E2E3C2,1.0,27.0,32.0,,,,,
F5D6C3D3C4F4C5B3E2E3C2B6,1.0,27.0,33.0,54.0,,,,
F5D6C3D3C4F4C5B3E2E3C2B6B5,2.0,9.0,34.0,,,,,
F5D6C3D3C4F4C5B3E2E3C2B6B5E6,2.0,9.0,35.0,98.0,,,,
F5D6C3D3C4F4C5B3E2E3C2B6B5E6F2,4.0,3.0,36.0,151.0,,,,
F5D6C3D3C4F4C5B3E2E3C2B6B5E6F2F6,2.0,3.0,37.0,,,,,
F5D6C3D3C4F4C5B3E2E3C2B6B5E6F2F6B4,2.0,3.0,38.0,,,,,
F5D6C3D3C4F4C5B3E2E3C2B6B5E6F2F6B4A4,2.0,3.0,39.0,571.0,593.0,,,
F5D6C3D3C4F4C5B3E2E3C2B6B5E6F2F6B4A4A5,7.0,1.0,40.0,,,,,
F5D6C3D3C4F4C5B3E2E3C2B6B5E6F2F6B4A4A5A6,7.0,1.0,41.0,,,,,
F5D6C3D3C4F4C5B3E2E3C2B6B5E6F2F6B4A4A5A6A3,7.0,1.0,42.0,,,,,
F5D6C3D3C4F4C5B3E2E3C2B6B5E6F2F6B4A4A5A6A3C6,7.0,1.0,43.0,,,,,
F5D6C3D3C4F4C5B3E2E3C2B6B5E6F2F6B4A4A5A6A3C6A7,7.0,1.0,44.0,272.0,,,,
F5D6C3D3C4F4C5B3E2E3C2B6B5E6F2F6B4A4A5A6A3C6A7B2,2.0,2.0,45.0,993.0,,,,
F5D6C3D3C4F4C5B3E2E3C2B6B5E6F2F6B4A4A5A6A3C6A7B2E7,4.0,1.0,46.0,666.0,,,,
F5D6C3D3C4F4C5B3E2E3C2B6B5E6F2F6B4A4A5A6A3C6A7B2E7D8,1.0,4.0,47.0,422.0,529.0,,,
F5D6C3D3C4F4C5B3E2E3C2B6B5E6F2F6B4A4A5A6A3C6A7B2E7D8E8,4.0,2.0,48.0,51.0,468.0,904.0,,
F5D6C3D3C4F4C5B3E2E3C2B6B5E6F2F6B4A4A5A6A3C6A7B2E7D8E8F3,1.0,3.0,49.0,763.0,1087.0,,,
F5D6C3D3C4F4C5B3E2E3C2B6B5E6F2F6B4A4A5A6A3C6A7B2E7D8E8F3A1,1.0,1.0,50.0,,,,,
F5D6C3D3C4F4C5B3E2E3C2B6B5E6F2F6B4A4A5A6A3C6A7B2E7D8E8F3A1F7,1.0,1.0,,,,,,
F5D6C3D3C4F4C5B3E2E3C2B6B5E6F2F6B4A4A5A6A3C6A7B2E7D8E8F7,1.0,2.0,52.0,1181.0,,,,
F5D6C3D3C4F4C5B3E2E3C2B6B5E6F2F6B4A4A5A6A3C6A7B2E7D8E8F7D2,1.0,1.0,53.0,,,,,
F5D6C3D3C4F4C5B3E2E3C2B6B5E6F2F6B4A4A5A6A3C6A7B2E7D8E8F7D2F3,1.0,1.0,,,,,,
F5D6C3D3C4F4C5B3E2E3C2B6C6,1.0,18.0,55.0,,,,,
F5D6C3D3C4F4C5B3E2E3C2B6C6D2,1.0,18.0,56.0,,,,,
F5D6C3D3C4F4C5B3E2E3C2B6C6D2D1,1.0,18.0,57.0,,,,,
