,num4black,num4white,0,1,2,3,4
F5,21.0,1.0,1.0,,,,
F5D6,21.0,1.0,2.0,,,,
F5D6C3,21.0,1.0,3.0,,,,
F5D6C3D3,21.0,1.0,4.0,,,,
F5D6C3D3C4,21.0,1.0,5.0,,,,
F5D6C3D3C4F4,21.0,1.0,6.0,,,,
F5D6C3D3C4F4C5,21.0,1.0,7.0,,,,
F5D6C3D3C4F4C5B4,21.0,1.0,8.0,,,,
F5D6C3D3C4F4C5B4B3,21.0,1.0,9.0,55.0,198.0,,
F5D6C3D3C4F4C5B4B3C2,11.0,2.0,10.0,,,,
F5D6C3D3C4F4C5B4B3C2D7,11.0,2.0,11.0,76.0,,,
F5D6C3D3C4F4C5B4B3C2D7F6,1.0,17.0,12.0,30.0,317.0,,
F5D6C3D3C4F4C5B4B3C2D7F6E3,3.0,5.0,13.0,108.0,,,
F5D6C3D3C4F4C5B4B3C2D7F6E3D2,2.0,8.0,14.0,125.0,,,
F5D6C3D3C4F4C5B4B3C2D7F6E3D2F3,2.0,7.0,15.0,,,,
F5D6C3D3C4F4C5B4B3C2D7F6E3D2F3E6,2.0,7.0,16.0,,,,
F5D6C3D3C4F4C5B4B3C2D7F6E3D2F3E6B6,2.0,7.0,17.0,,,,
F5D6C3D3C4F4C5B4B3C2D7F6E3D2F3E6B6B5,2.0,7.0,18.0,610.0,650.0,,
F5D6C3D3C4F4C5B4B3C2D7F6E3D2F3E6B6B5A3,2.0,5.0,19.0,,,,
F5D6C3D3C4F4C5B4B3C2D7F6E3D2F3E6B6B5A3C6,2.0,5.0,20.0,,,,
F5D6C3D3C4F4C5B4B3C2D7F6E3D2F3E6B6B5A3C6A6,2.0,5.0,21.0,,,,
F5D6C3D3C4F4C5B4B3C2D7F6E3D2F3E6B6B5A3C6A6A5,2.0,5.0,22.0,,,,
F5D6C3D3C4F4C5B4B3C2D7F6E3D2F3E6B6B5A3C6A6A5A4,2.0,5.0,23.0,48.0,,,
F5D6C3D3C4F4C5B4B3C2D7F6E3D2F3E6B6B5A3C6A6A5A4E2,1.0,5.0,24.0,1039.0,,,
F5D6C3D3C4F4C5B4B3C2D7F6E3D2F3E6B6B5A3C6A6A5A4E2E7,1.0,3.0,25.0,,,,
F5D6C3D3C4F4C5B4B3C2D7F6E3D2F3E6B6B5A3C6A6A5A4E2E7C7,1.0,3.0,26.0,,,,
F5D6C3D3C4F4C5B4B3C2D7F6E3D2F3E6B6B5A3C6A6A5A4E2E7C7F2,1.0,3.0,27.0,,,,
F5D6C3D3C4F4C5B4B3C2D7F6E3D2F3E6B6B5A3C6A6A5A4E2E7C7F2C8,1.0,3.0,28.0,194.0,660.0,,
F5D6C3D3C4F4C5B4B3C2D7F6E3D2F3E6B6B5A3C6A6A5A4E2E7C7F2C8F1,2.0,1.0,29.0,366.0,,,
F5D6C3D3C4F4C5B4B3C2D7F6E3D2F3E6B6B5A3C6A6A5A4E2E7C7F2C8F1G3,1.0,1.0,,,,,
F5D6C3D3C4F4C5B4B3C2D7F6A3,14.0,1.0,31.0,1470.0,,,
F5D6C3D3C4F4C5B4B3C2D7F6A3E6,13.0,1.0,32.0,,,,
F5D6C3D3C4F4C5B4B3C2D7F6A3E6E3,13.0,1.0,33.0,,,,
F5D6C3D3C4F4C5B4B3C2D7F6A3E6E3D2,13.0,1.0,34.0,,,,
F5D6C3D3C4F4C5B4B3C2D7F6A3E6E3D2F3,13.0,1.0,35.0,95.0,418.0,,
F5D6C3D3C4F4C5B4B3C2D7F6A3E6E3D2F3C6,2.0,5.0,36.0,,,,
F5D6C3D3C4F4C5B4B3C2D7F6A3E6E3D2F3C6B6,2.0,5.0,37.0,,,,
F5D6C3D3C4F4C5B4B3C2D7F6A3E6E3D2F3C6B6B5,2.0,5.0,38.0,,,,
F5D6C3D3C4F4C5B4B3C2D7F6A3E6E3D2F3C6B6B5A6,2.0,5.0,39.0,,,,
F5D6C3D3C4F4C5B4B3C2D7F6A3E6E3D2F3C6B6B5A6A5,2.0,5.0,40.0,,,,
F5D6C3D3C4F4C5B4B3C2D7F6A3E6E3D2F3C6B6B5A6A5A4,2.0,5.0,41.0,180.0,,,
F5D6C3D3C4F4C5B4B3C2D7F6A3E6E3D2F3C6B6B5A6A5A4E2,1.0,5.0,42.0,668.0,,,
