,num4black,num4white,0,1,2,3
F5,1.0,28.0,1.0,,,
F5D6,1.0,28.0,2.0,,,
F5D6C3,1.0,28.0,3.0,,,
F5D6C3D3,1.0,28.0,4.0,,,
F5D6C3D3C4,1.0,28.0,5.0,,,
F5D6C3D3C4F4,1.0,28.0,6.0,,,
F5D6C3D3C4F4C5,1.0,28.0,7.0,,,
F5D6C3D3C4F4C5B4,1.0,28.0,8.0,,,
F5D6C3D3C4F4C5B4C6,1.0,28.0,9.0,,,
F5D6C3D3C4F4C5B4C6E6,1.0,28.0,10.0,160.0,214.0,
F5D6C3D3C4F4C5B4C6E6F6,8.0,4.0,11.0,28.0,77.0,253.0
F5D6C3D3C4F4C5B4C6E6F6B5,3.0,5.0,12.0,110.0,,
F5D6C3D3C4F4C5B4C6E6F6B5B3,3.0,4.0,13.0,,,
F5D6C3D3C4F4C5B4C6E6F6B5B3G5,3.0,4.0,14.0,,,
F5D6C3D3C4F4C5B4C6E6F6B5B3G5A3,3.0,4.0,15.0,,,
F5D6C3D3C4F4C5B4C6E6F6B5B3G5A3A4,3.0,4.0,16.0,,,
F5D6C3D3C4F4C5B4C6E6F6B5B3G5A3A4D2,3.0,4.0,17.0,1042.0,,
F5D6C3D3C4F4C5B4C6E6F6B5B3G5A3A4D2F7,2.0,4.0,18.0,206.0,300.0,
F5D6C3D3C4F4C5B4C6E6F6B5B3G5A3A4D2F7A6,3.0,2.0,19.0,,,
F5D6C3D3C4F4C5B4C6E6F6B5B3G5A3A4D2F7A6A5,3.0,2.0,20.0,,,
F5D6C3D3C4F4C5B4C6E6F6B5B3G5A3A4D2F7A6A5B6,3.0,2.0,21.0,,,
F5D6C3D3C4F4C5B4C6E6F6B5B3G5A3A4D2F7A6A5B6C7,3.0,2.0,22.0,,,
F5D6C3D3C4F4C5B4C6E6F6B5B3G5A3A4D2F7A6A5B6C7F3,3.0,2.0,23.0,1341.0,,
F5D6C3D3C4F4C5B4C6E6F6B5B3G5A3A4D2F7A6A5B6C7F3E3,1.0,3.0,24.0,1481.0,,
F5D6C3D3C4F4C5B4C6E6F6B5B3G5A3A4D2F7A6A5B6C7F3E3E7,1.0,2.0,25.0,,,
F5D6C3D3C4F4C5B4C6E6F6B5B3G5A3A4D2F7A6A5B6C7F3E3E7G3,1.0,2.0,26.0,838.0,,
F5D6C3D3C4F4C5B4C6E6F6B5B3G5A3A4D2F7A6A5B6C7F3E3E7G3G4,2.0,1.0,27.0,1993.0,,
F5D6C3D3C4F4C5B4C6E6F6B5B3G5A3A4D2F7A6A5B6C7F3E3E7G3G4H4,1.0,1.0,,,,
F5D6C3D3C4F4C5B4C6E6F6D2,1.0,10.0,29.0,54.0,,
F5D6C3D3C4F4C5B4C6E6F6D2E3,8.0,1.0,30.0,702.0,,
F5D6C3D3C4F4C5B4C6E6F6D2E3F3,3.0,2.0,31.0,,,
F5D6C3D3C4F4C5B4C6E6F6D2E3F3E2,3.0,2.0,32.0,,,
F5D6C3D3C4F4C5B4C6E6F6D2E3F3E2D7,3.0,2.0,33.0,1320.0,,
F5D6C3D3C4F4C5B4C6E6F6D2E3F3E2D7C1,3.0,1.0,34.0,855.0,,
F5D6C3D3C4F4C5B4C6E6F6D2E3F3E2D7C1E1,2.0,1.0,35.0,,,
F5D6C3D3C4F4C5B4C6E6F6D2E3F3E2D7C1E1E7,2.0,1.0,36.0,,,
