,num4black,num4white,0,1,2,3
F5,1.0,21.0,1.0,,,
F5D6,1.0,21.0,2.0,,,
F5D6C3,1.0,21.0,3.0,,,
F5D6C3D3,1.0,21.0,4.0,,,
F5D6C3D3C4,1.0,21.0,5.0,,,
F5D6C3D3C4F4,1.0,21.0,6.0,,,
F5D6C3D3C4F4C5,1.0,21.0,7.0,,,
F5D6C3D3C4F4C5B4,1.0,21.0,8.0,,,
F5D6C3D3C4F4C5B4C6,1.0,21.0,9.0,,,
F5D6C3D3C4F4C5B4C6E6,1.0,21.0,10.0,,,
F5D6C3D3C4F4C5B4C6E6A3,1.0,21.0,11.0,,,
F5D6C3D3C4F4C5B4C6E6A3B5,1.0,21.0,12.0,,,
F5D6C3D3C4F4C5B4C6E6A3B5E3,1.0,21.0,13.0,,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2,1.0,21.0,14.0,,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3,1.0,21.0,15.0,,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4,1.0,21.0,16.0,,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3,1.0,21.0,17.0,,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5,1.0,21.0,18.0,29.0,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5G6,1.0,16.0,19.0,,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5G6G3,1.0,16.0,20.0,69.0,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5G6G3F6,1.0,10.0,21.0,,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5G6G3F6D7,1.0,10.0,22.0,250.0,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5G6G3F6D7H4,1.0,5.0,23.0,,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5G6G3F6D7H4G4,1.0,5.0,24.0,346.0,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5G6G3F6D7H4G4H3,1.0,4.0,25.0,,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5G6G3F6D7H4G4H3F7,1.0,4.0,26.0,,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5G6G3F6D7H4G4H3F7E7,1.0,4.0,27.0,,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5G6G3F6D7H4G4H3F7E7C7,1.0,4.0,28.0,97.0,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5G6G3F6D7H4G4H3F7E7C7H5,1.0,1.0,,,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5D7,2.0,5.0,30.0,,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5D7E7,2.0,5.0,31.0,51.0,100.0,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5D7E7G4,3.0,2.0,32.0,,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5D7E7G4F6,3.0,2.0,33.0,200.0,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5D7E7G4F6E2,9.0,1.0,34.0,,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5D7E7G4F6E2E1,9.0,1.0,35.0,,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5D7E7G4F6E2E1H5,9.0,1.0,36.0,,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5D7E7G4F6E2E1H5G6,9.0,1.0,37.0,,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5D7E7G4F6E2E1H5G6G3,9.0,1.0,38.0,,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5D7E7G4F6E2E1H5G6G3H6,9.0,1.0,39.0,,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5D7E7G4F6E2E1H5G6G3H6A6,9.0,1.0,40.0,,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5D7E7G4F6E2E1H5G6G3H6A6A5,9.0,1.0,41.0,,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5D7E7G4F6E2E1H5G6G3H6A6A5B6,9.0,1.0,42.0,120.0,145.0,232.0
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5D7E7G4F6E2E1H5G6G3H6A6A5B6B7,4.0,1.0,43.0,,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5D7E7G4F6E2E1H5G6G3H6A6A5B6B7C7,4.0,1.0,44.0,331.0,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5D7E7G4F6E2E1H5G6G3H6A6A5B6B7C7C8,3.0,1.0,45.0,,,
F5D6C3D3C4F4C5B4C6E6A3B5E3F2F3A4B3G5D7E7G4F6E2E1H5G6G3H6A6A5B6B7C7C8E8,3.0,1.0,46.0,,,
