,num4black,num4white,0,1,2,3,4,5
F5,2.0,21.0,1.0,,,,,
F5D6,2.0,21.0,2.0,,,,,
F5D6C3,2.0,21.0,3.0,,,,,
F5D6C3D3,2.0,21.0,4.0,,,,,
F5D6C3D3C4,2.0,21.0,5.0,,,,,
F5D6C3D3C4F4,2.0,21.0,6.0,,,,,
F5D6C3D3C4F4E6,2.0,21.0,7.0,,,,,
F5D6C3D3C4F4E6B3,2.0,21.0,8.0,,,,,
F5D6C3D3C4F4E6B3E2,2.0,21.0,9.0,,,,,
F5D6C3D3C4F4E6B3E2C5,2.0,21.0,10.0,55.0,124.0,,,
F5D6C3D3C4F4E6B3E2C5C6,2.0,17.0,11.0,,,,,
F5D6C3D3C4F4E6B3E2C5C6E3,2.0,17.0,12.0,,,,,
F5D6C3D3C4F4E6B3E2C5C6E3D2,2.0,17.0,13.0,,,,,
F5D6C3D3C4F4E6B3E2C5C6E3D2F6,2.0,17.0,14.0,93.0,,,,
F5D6C3D3C4F4E6B3E2C5C6E3D2F6F3,2.0,9.0,15.0,,,,,
F5D6C3D3C4F4E6B3E2C5C6E3D2F6F3C2,2.0,9.0,16.0,30.0,441.0,481.0,,
F5D6C3D3C4F4E6B3E2C5C6E3D2F6F3C2G6,4.0,2.0,17.0,585.0,,,,
F5D6C3D3C4F4E6B3E2C5C6E3D2F6F3C2G6D1,3.0,2.0,18.0,,,,,
F5D6C3D3C4F4E6B3E2C5C6E3D2F6F3C2G6D1B6,3.0,2.0,19.0,44.0,,,,
F5D6C3D3C4F4E6B3E2C5C6E3D2F6F3C2G6D1B6B5,1.0,2.0,20.0,,,,,
F5D6C3D3C4F4E6B3E2C5C6E3D2F6F3C2G6D1B6B5G5,1.0,2.0,21.0,,,,,
F5D6C3D3C4F4E6B3E2C5C6E3D2F6F3C2G6D1B6B5G5F1,1.0,2.0,22.0,1964.0,,,,
F5D6C3D3C4F4E6B3E2C5C6E3D2F6F3C2G6D1B6B5G5F1A4,1.0,1.0,23.0,,,,,
F5D6C3D3C4F4E6B3E2C5C6E3D2F6F3C2G6D1B6B5G5F1A4A6,1.0,1.0,24.0,,,,,
