,num4black,num4white,0,1,2,3,4,5
F5,4.0,4.0,1.0,,,,,
F5D6,4.0,4.0,2.0,,,,,
F5D6C3,4.0,4.0,3.0,,,,,
F5D6C3D3,4.0,4.0,4.0,,,,,
F5D6C3D3C4,4.0,4.0,5.0,,,,,
F5D6C3D3C4F4,4.0,4.0,6.0,,,,,
F5D6C3D3C4F4E6,4.0,4.0,7.0,,,,,
F5D6C3D3C4F4E6F6,4.0,4.0,8.0,,,,,
F5D6C3D3C4F4E6F6E3,4.0,4.0,9.0,,,,,
F5D6C3D3C4F4E6F6E3C5,4.0,4.0,10.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6,4.0,4.0,11.0,26.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B5,3.0,4.0,12.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7,3.0,4.0,13.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7,3.0,4.0,14.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6,3.0,4.0,15.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3,3.0,4.0,16.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8,3.0,4.0,17.0,49.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C8,1.0,21.0,18.0,236.0,321.0,353.0,502.0,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C8D8,1.0,15.0,19.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C8D8D2,1.0,15.0,20.0,72.0,76.0,248.0,381.0,691.0
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C8D8D2A3,1.0,7.0,21.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C8D8D2A3C7,1.0,7.0,22.0,84.0,104.0,192.0,727.0,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C8D8D2A3C7F2,2.0,1.0,23.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C8D8D2A3C7F2B4,2.0,1.0,24.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C8D8D2A3C7F2B4F7,2.0,1.0,25.0,461.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C8D8D2A3C7F2B4F7A6,1.0,1.0,,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6,1.0,11.0,27.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7,1.0,11.0,28.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5,1.0,11.0,29.0,282.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7,1.0,10.0,30.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7,1.0,10.0,31.0,112.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7,1.0,9.0,32.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3,1.0,9.0,33.0,38.0,333.0,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3D8,3.0,1.0,34.0,441.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3D8F2,1.0,16.0,35.0,93.0,210.0,398.0,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3D8F2E2,1.0,4.0,36.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3D8F2E2C8,1.0,4.0,37.0,143.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3D8F2E2C8G3,1.0,1.0,,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3C8,2.0,3.0,39.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3C8B4,2.0,3.0,40.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3C8B4B3,2.0,3.0,41.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3C8B4B3F2,2.0,3.0,42.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3C8B4B3F2E2,2.0,3.0,43.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3C8B4B3F2E2D1,2.0,3.0,44.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3C8B4B3F2E2D1A3,2.0,3.0,45.0,251.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3C8B4B3F2E2D1A3D2,1.0,5.0,46.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3C8B4B3F2E2D1A3D2C2,1.0,5.0,47.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3C8B4B3F2E2D1A3D2C2A5,1.0,5.0,48.0,229.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3C8B4B3F2E2D1A3D2C2A5E1,1.0,1.0,,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7,2.0,4.0,50.0,463.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4,2.0,3.0,51.0,162.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8,1.0,9.0,52.0,133.0,197.0,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8,2.0,2.0,53.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7,2.0,2.0,54.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4,2.0,2.0,55.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6,2.0,2.0,56.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8,2.0,2.0,57.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8,2.0,2.0,58.0,653.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7,8.0,1.0,59.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3,8.0,1.0,60.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3,8.0,1.0,61.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5,8.0,1.0,62.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2,8.0,1.0,63.0,89.0,178.0,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2D1,2.0,4.0,64.0,154.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2D1E2,2.0,3.0,65.0,206.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2D1E2F2,1.0,4.0,66.0,78.0,217.0,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2D1E2F2G4,1.0,1.0,67.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2D1E2F2G4H5,1.0,1.0,68.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2D1E2F2G4H5C1,1.0,1.0,69.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2D1E2F2G4H5C1C2,1.0,1.0,70.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2D1E2F2G4H5C1C2B8,1.0,1.0,71.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2D1E2F2G4H5C1C2B8A8,1.0,1.0,,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C8D8D2D1,1.0,3.0,73.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C8D8D2D1C1,1.0,3.0,74.0,242.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C8D8D2D1C1E2,1.0,1.0,75.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C8D8D2D1C1E2B4,1.0,1.0,,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C8D8D2F2,1.0,1.0,77.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C8D8D2F2B4,1.0,1.0,,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2D1E2F2H5,1.0,2.0,79.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2D1E2F2H5G4,1.0,2.0,80.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2D1E2F2H5G4G6,1.0,2.0,81.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2D1E2F2H5G4G6H4,1.0,2.0,82.0,583.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2D1E2F2H5G4G6H4E1,1.0,1.0,83.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2D1E2F2H5G4G6H4E1C1,1.0,1.0,,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C8D8D2A3C7A4,2.0,2.0,85.0,299.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C8D8D2A3C7A4C2,1.0,2.0,86.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C8D8D2A3C7A4C2B4,1.0,2.0,87.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C8D8D2A3C7A4C2B4F3,1.0,2.0,88.0,795.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C8D8D2A3C7A4C2B4F3E2,1.0,1.0,,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2A8,2.0,5.0,90.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2A8G4,2.0,5.0,91.0,105.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2A8G4C1,1.0,5.0,92.0,315.0,435.0,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2A8G4C1B8,1.0,1.0,,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3D8F2G4,2.0,1.0,94.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3D8F2G4G5,2.0,1.0,95.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3D8F2G4G5B4,2.0,1.0,96.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3D8F2G4G5B4D2,2.0,1.0,97.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3D8F2G4G5B4D2C2,2.0,1.0,98.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3D8F2G4G5B4D2C2E2,2.0,1.0,99.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3D8F2G4G5B4D2C2E2B3,2.0,1.0,100.0,681.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3D8F2G4G5B4D2C2E2B3C1,1.0,2.0,101.0,419.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3D8F2G4G5B4D2C2E2B3C1A4,1.0,1.0,102.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3D8F2G4G5B4D2C2E2B3C1A4A6,1.0,1.0,103.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3D8F2G4G5B4D2C2E2B3C1A4A6A5,1.0,1.0,,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C8D8D2A3C7E1,1.0,1.0,,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2A8G4C2,1.0,7.0,106.0,327.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2A8G4C2C1,1.0,4.0,107.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2A8G4C2C1B2,1.0,4.0,108.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2A8G4C2C1B2B8,1.0,4.0,109.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2A8G4C2C1B2B8A7,1.0,4.0,110.0,556.0,707.0,806.0,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2A8G4C2C1B2B8A7H6,1.0,1.0,111.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2A8G4C2C1B2B8A7H6A5,1.0,1.0,,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7B4,2.0,1.0,113.0,735.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7B4F3,1.0,5.0,114.0,385.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7B4F3F7,1.0,4.0,115.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7B4F3F7F8,1.0,4.0,116.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7B4F3F7F8C8,1.0,4.0,117.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7B4F3F7F8C8F2,1.0,4.0,118.0,281.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7B4F3F7F8C8F2E2,1.0,3.0,119.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7B4F3F7F8C8F2E2A3,1.0,3.0,120.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7B4F3F7F8C8F2E2A3G6,1.0,3.0,121.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7B4F3F7F8C8F2E2A3G6G5,1.0,3.0,122.0,620.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7B4F3F7F8C8F2E2A3G6G5H4,1.0,2.0,123.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7B4F3F7F8C8F2E2A3G6G5H4H5,1.0,2.0,124.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7B4F3F7F8C8F2E2A3G6G5H4H5G3,1.0,2.0,125.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7B4F3F7F8C8F2E2A3G6G5H4H5G3G4,1.0,2.0,126.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7B4F3F7F8C8F2E2A3G6G5H4H5G3G4H3,1.0,2.0,127.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7B4F3F7F8C8F2E2A3G6G5H4H5G3G4H3B3,1.0,2.0,128.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7B4F3F7F8C8F2E2A3G6G5H4H5G3G4H3B3F1,1.0,2.0,129.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7B4F3F7F8C8F2E2A3G6G5H4H5G3G4H3B3F1E8,1.0,2.0,130.0,587.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7B4F3F7F8C8F2E2A3G6G5H4H5G3G4H3B3F1E8H6,1.0,1.0,131.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7B4F3F7F8C8F2E2A3G6G5H4H5G3G4H3B3F1E8H6G2,1.0,1.0,132.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7B4F3F7F8C8F2E2A3G6G5H4H5G3G4H3B3F1E8H6G2D8,1.0,1.0,,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8B4,1.0,5.0,134.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8B4D8,1.0,5.0,135.0,262.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8B4D8G3,2.0,2.0,136.0,218.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8B4D8G3D2,1.0,4.0,137.0,187.0,748.0,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8B4D8G3D2E2,2.0,1.0,138.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8B4D8G3D2E2A6,2.0,1.0,139.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8B4D8G3D2E2A6A3,2.0,1.0,140.0,786.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8B4D8G3D2E2A6A3F3,1.0,2.0,141.0,175.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8B4D8G3D2E2A6A3F3G4,1.0,1.0,142.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8B4D8G3D2E2A6A3F3G4C2,1.0,1.0,,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3D8F2E2C8B4,1.0,3.0,144.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3D8F2E2C8B4F8,1.0,3.0,145.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3D8F2E2C8B4F8G4,1.0,3.0,146.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3D8F2E2C8B4F8G4E8,1.0,3.0,147.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3D8F2E2C8B4F8G4E8A5,1.0,3.0,148.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3D8F2E2C8B4F8G4E8A5H3,1.0,3.0,149.0,599.0,720.0,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3D8F2E2C8B4F8G4E8A5H3H5,2.0,1.0,150.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3D8F2E2C8B4F8G4E8A5H3H5A3,2.0,1.0,151.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3D8F2E2C8B4F8G4E8A5H3H5A3A7,2.0,1.0,152.0,522.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3D8F2E2C8B4F8G4E8A5H3H5A3A7A6,1.0,1.0,153.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B6C7B5E7D7F7F3D8F2E2C8B4F8G4E8A5H3H5A3A7A6A4,1.0,1.0,,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2D1G4,4.0,1.0,155.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2D1G4H5,4.0,1.0,156.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2D1G4H5E2,4.0,1.0,157.0,302.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2D1G4H5E2F2,1.0,1.0,158.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2D1G4H5E2F2C1,1.0,1.0,159.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2D1G4H5E2F2C1C2,1.0,1.0,160.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2D1G4H5E2F2C1C2B8,1.0,1.0,161.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4C8E8F7B4A6D8G8B7F3G3G5D2D1G4H5E2F2C1C2B8A8,1.0,1.0,,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4E8,1.0,3.0,163.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4E8D8,1.0,3.0,164.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4E8D8F2,1.0,3.0,165.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4E8D8F2F3,1.0,3.0,166.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4E8D8F2F3A5,1.0,3.0,167.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4E8D8F2F3A5A3,1.0,3.0,168.0,,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4E8D8F2F3A5A3A6,1.0,3.0,169.0,375.0,,,,
F5D6C3D3C4F4E6F6E3C5C6B5D7E7B6B3F8C7A4E8D8F2F3A5A3A6B4,1.0,2.0,170.0,,,,,
