,num4black,num4white,0,1,2,3,4
F5,2.0,8.0,1.0,,,,
F5D6,2.0,8.0,2.0,,,,
F5D6C3,2.0,8.0,3.0,,,,
F5D6C3D3,2.0,8.0,4.0,,,,
F5D6C3D3C4,2.0,8.0,5.0,,,,
F5D6C3D3C4F4,2.0,8.0,6.0,,,,
F5D6C3D3C4F4F6,2.0,8.0,7.0,,,,
F5D6C3D3C4F4F6B4,2.0,8.0,8.0,,,,
F5D6C3D3C4F4F6B4F3,2.0,8.0,9.0,,,,
F5D6C3D3C4F4F6B4F3E6,2.0,8.0,10.0,,,,
F5D6C3D3C4F4F6B4F3E6E3,2.0,8.0,11.0,,,,
F5D6C3D3C4F4F6B4F3E6E3F2,2.0,8.0,12.0,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2,2.0,8.0,13.0,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5,2.0,8.0,14.0,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6,2.0,8.0,15.0,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4,2.0,8.0,16.0,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4,2.0,8.0,17.0,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5,2.0,8.0,18.0,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5H6,2.0,8.0,19.0,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5H6G3,2.0,8.0,20.0,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5H6G3F1,2.0,8.0,21.0,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5H6G3F1C2,2.0,8.0,22.0,90.0,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5H6G3F1C2C5,10.0,2.0,23.0,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5H6G3F1C2C5D1,10.0,2.0,24.0,65.0,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5H6G3F1C2C5D1H3,19.0,1.0,25.0,47.0,216.0,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5H6G3F1C2C5D1H3C6,9.0,1.0,26.0,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5H6G3F1C2C5D1H3C6E7,9.0,1.0,27.0,37.0,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5H6G3F1C2C5D1H3C6E7E2,1.0,5.0,28.0,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5H6G3F1C2C5D1H3C6E7E2D7,1.0,5.0,29.0,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5H6G3F1C2C5D1H3C6E7E2D7G1,1.0,5.0,30.0,336.0,853.0,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5H6G3F1C2C5D1H3C6E7E2D7G1E1,3.0,1.0,31.0,143.0,,,
