,num4black,num4white,0,1,2
F5,3.0,3.0,1.0,,
F5D6,3.0,3.0,2.0,,
F5D6C3,3.0,3.0,3.0,,
F5D6C3D3,3.0,3.0,4.0,,
F5D6C3D3C4,3.0,3.0,5.0,,
F5D6C3D3C4F4,3.0,3.0,6.0,,
F5D6C3D3C4F4F6,3.0,3.0,7.0,,
F5D6C3D3C4F4F6B4,3.0,3.0,8.0,,
F5D6C3D3C4F4F6B4F3,3.0,3.0,9.0,,
F5D6C3D3C4F4F6B4F3E6,3.0,3.0,10.0,,
F5D6C3D3C4F4F6B4F3E6E3,3.0,3.0,11.0,,
F5D6C3D3C4F4F6B4F3E6E3F2,3.0,3.0,12.0,,
F5D6C3D3C4F4F6B4F3E6E3F2D2,3.0,3.0,13.0,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5,3.0,3.0,14.0,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6,3.0,3.0,15.0,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4,3.0,3.0,16.0,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4,3.0,3.0,17.0,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5,3.0,3.0,18.0,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5H6,3.0,3.0,19.0,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5H6G3,3.0,3.0,20.0,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5H6G3F1,3.0,3.0,21.0,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5H6G3F1C1,3.0,3.0,22.0,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5H6G3F1C1D1,3.0,3.0,23.0,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5H6G3F1C1D1C2,3.0,3.0,24.0,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5H6G3F1C1D1C2C5,3.0,3.0,25.0,31.0,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5H6G3F1C1D1C2C5F7,2.0,3.0,26.0,47.0,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5H6G3F1C1D1C2C5F7C6,2.0,1.0,27.0,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5H6G3F1C1D1C2C5F7C6B5,2.0,1.0,28.0,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5H6G3F1C1D1C2C5F7C6B5B6,2.0,1.0,29.0,82.0,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5H6G3F1C1D1C2C5F7C6B5B6E7,1.0,1.0,30.0,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H4H5H6G3F1C1D1C2C5F7C6B5B6E7F8,1.0,1.0,,,
