,num4black,num4white,0,1,2,3
F5,4.0,2.0,1.0,,,
F5D6,4.0,2.0,2.0,,,
F5D6C3,4.0,2.0,3.0,,,
F5D6C3D3,4.0,2.0,4.0,,,
F5D6C3D3C4,4.0,2.0,5.0,,,
F5D6C3D3C4F4,4.0,2.0,6.0,,,
F5D6C3D3C4F4F6,4.0,2.0,7.0,,,
F5D6C3D3C4F4F6B4,4.0,2.0,8.0,,,
F5D6C3D3C4F4F6B4F3,4.0,2.0,9.0,,,
F5D6C3D3C4F4F6B4F3E6,4.0,2.0,10.0,,,
F5D6C3D3C4F4F6B4F3E6E3,4.0,2.0,11.0,,,
F5D6C3D3C4F4F6B4F3E6E3G5,4.0,2.0,12.0,,,
F5D6C3D3C4F4F6B4F3E6E3G5G6,4.0,2.0,13.0,,,
F5D6C3D3C4F4F6B4F3E6E3G5G6G4,4.0,2.0,14.0,,,
F5D6C3D3C4F4F6B4F3E6E3G5G6G4H4,4.0,2.0,15.0,,,
F5D6C3D3C4F4F6B4F3E6E3G5G6G4H4H5,4.0,2.0,16.0,,,
F5D6C3D3C4F4F6B4F3E6E3G5G6G4H4H5H6,4.0,2.0,17.0,,,
F5D6C3D3C4F4F6B4F3E6E3G5G6G4H4H5H6G3,4.0,2.0,18.0,,,
F5D6C3D3C4F4F6B4F3E6E3G5G6G4H4H5H6G3H3,4.0,2.0,19.0,,,
F5D6C3D3C4F4F6B4F3E6E3G5G6G4H4H5H6G3H3F7,4.0,2.0,20.0,49.0,,
F5D6C3D3C4F4F6B4F3E6E3G5G6G4H4H5H6G3H3F7E8,15.0,1.0,21.0,,,
F5D6C3D3C4F4F6B4F3E6E3G5G6G4H4H5H6G3H3F7E8C2,15.0,1.0,22.0,,,
F5D6C3D3C4F4F6B4F3E6E3G5G6G4H4H5H6G3H3F7E8C2C5,15.0,1.0,23.0,30.0,42.0,
F5D6C3D3C4F4F6B4F3E6E3G5G6G4H4H5H6G3H3F7E8C2C5F8,5.0,2.0,24.0,71.0,,
F5D6C3D3C4F4F6B4F3E6E3G5G6G4H4H5H6G3H3F7E8C2C5F8D7,5.0,1.0,25.0,63.0,116.0,
F5D6C3D3C4F4F6B4F3E6E3G5G6G4H4H5H6G3H3F7E8C2C5F8D7C7,3.0,1.0,26.0,,,
F5D6C3D3C4F4F6B4F3E6E3G5G6G4H4H5H6G3H3F7E8C2C5F8D7C7E7,3.0,1.0,27.0,,,
F5D6C3D3C4F4F6B4F3E6E3G5G6G4H4H5H6G3H3F7E8C2C5F8D7C7E7D2,3.0,1.0,28.0,,,
F5D6C3D3C4F4F6B4F3E6E3G5G6G4H4H5H6G3H3F7E8C2C5F8D7C7E7D2G8,3.0,1.0,29.0,137.0,193.0,
F5D6C3D3C4F4F6B4F3E6E3G5G6G4H4H5H6G3H3F7E8C2C5F8D7C7E7D2G8B6,1.0,1.0,,,,
F5D6C3D3C4F4F6B4F3E6E3G5G6G4H4H5H6G3H3F7E8C2C5D2,9.0,1.0,31.0,,,
F5D6C3D3C4F4F6B4F3E6E3G5G6G4H4H5H6G3H3F7E8C2C5D2E2,9.0,1.0,32.0,37.0,83.0,108.0
F5D6C3D3C4F4F6B4F3E6E3G5G6G4H4H5H6G3H3F7E8C2C5D2E2E1,1.0,3.0,33.0,,,
