,num4black,num4white,0,1,2,3,4
F5,3.0,14.0,1.0,,,,
F5D6,3.0,14.0,2.0,,,,
F5D6C3,3.0,14.0,3.0,,,,
F5D6C3D3,3.0,14.0,4.0,,,,
F5D6C3D3C4,3.0,14.0,5.0,,,,
F5D6C3D3C4F4,3.0,14.0,6.0,,,,
F5D6C3D3C4F4F6,3.0,14.0,7.0,,,,
F5D6C3D3C4F4F6F3,3.0,14.0,8.0,,,,
F5D6C3D3C4F4F6F3E3,3.0,14.0,9.0,,,,
F5D6C3D3C4F4F6F3E3B4,3.0,14.0,10.0,,,,
F5D6C3D3C4F4F6F3E3B4G5,3.0,14.0,11.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4,3.0,14.0,12.0,277.0,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5,3.0,12.0,13.0,30.0,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2,1.0,26.0,14.0,47.0,74.0,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2E6,2.0,8.0,15.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2E6E2,2.0,8.0,16.0,161.0,497.0,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2E6E2A5,2.0,6.0,17.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2E6E2A5B3,2.0,6.0,18.0,90.0,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2E6E2A5B3C6,2.0,3.0,19.0,192.0,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2E6E2A5B3C6H6,1.0,10.0,20.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2E6E2A5B3C6H6G3,1.0,10.0,21.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2E6E2A5B3C6H6G3A4,1.0,10.0,22.0,511.0,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2E6E2A5B3C6H6G3A4H5,1.0,4.0,23.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2E6E2A5B3C6H6G3A4H5H4,1.0,4.0,24.0,595.0,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2E6E2A5B3C6H6G3A4H5H4F2,1.0,3.0,25.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2E6E2A5B3C6H6G3A4H5H4F2G6,1.0,3.0,26.0,683.0,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2E6E2A5B3C6H6G3A4H5H4F2G6H3,1.0,2.0,27.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2E6E2A5B3C6H6G3A4H5H4F2G6H3C5,1.0,2.0,28.0,337.0,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2E6E2A5B3C6H6G3A4H5H4F2G6H3C5H7,3.0,1.0,29.0,675.0,844.0,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2E6E2A5B3C6H6G3A4H5H4F2G6H3C5H7C7,1.0,1.0,,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2,2.0,12.0,31.0,114.0,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2E6,2.0,8.0,32.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2E6C2,2.0,8.0,33.0,440.0,466.0,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2E6C2A5,2.0,6.0,34.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2E6C2A5B3,2.0,6.0,35.0,130.0,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2E6C2A5B3C6,2.0,3.0,36.0,63.0,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2E6C2A5B3C6H6,1.0,10.0,37.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2E6C2A5B3C6H6G3,1.0,10.0,38.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2E6C2A5B3C6H6G3A4,1.0,10.0,39.0,352.0,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2E6C2A5B3C6H6G3A4H5,1.0,4.0,40.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2E6C2A5B3C6H6G3A4H5H4,1.0,4.0,41.0,203.0,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2E6C2A5B3C6H6G3A4H5H4F2,1.0,3.0,42.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2E6C2A5B3C6H6G3A4H5H4F2G6,1.0,3.0,43.0,689.0,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2E6C2A5B3C6H6G3A4H5H4F2G6H3,1.0,2.0,44.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2E6C2A5B3C6H6G3A4H5H4F2G6H3C5,1.0,2.0,45.0,411.0,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2E6C2A5B3C6H6G3A4H5H4F2G6H3C5H7,3.0,1.0,46.0,627.0,1093.0,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2E6C2A5B3C6H6G3A4H5H4F2G6H3C5H7G1,1.0,1.0,,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2C5,2.0,2.0,48.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2C5E2,2.0,2.0,49.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2C5E2D2,2.0,2.0,50.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2C5E2D2B3,2.0,2.0,51.0,221.0,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2C5E2D2B3C1,2.0,1.0,52.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2C5E2D2B3C1A6,2.0,1.0,53.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2C5E2D2B3C1A6E1,2.0,1.0,54.0,1102.0,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2C5E2D2B3C1A6E1E6,1.0,6.0,55.0,342.0,421.0,1025.0,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2C5E2D2B3C1A6E1E6D7,4.0,2.0,56.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2C5E2D2B3C1A6E1E6D7F7,4.0,2.0,57.0,142.0,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2C5E2D2B3C1A6E1E6D7F7H4,4.0,1.0,58.0,458.0,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2C5E2D2B3C1A6E1E6D7F7H4C6,1.0,3.0,59.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2C5E2D2B3C1A6E1E6D7F7H4C6F2,1.0,3.0,60.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2C5E2D2B3C1A6E1E6D7F7H4C6F2H5,1.0,3.0,61.0,877.0,1100.0,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2C5E2D2B3C1A6E1E6D7F7H4C6F2H5B6,2.0,1.0,62.0,894.0,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2C5E2D2B3C1A6E1E6D7F7H4C6F2H5B6D8,1.0,1.0,,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2E6C2A5B3C6C5,1.0,3.0,64.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2E6C2A5B3C6C5H3,1.0,3.0,65.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2E6C2A5B3C6C5H3H6,1.0,3.0,66.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2E6C2A5B3C6C5H3H6H5,1.0,3.0,67.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2E6C2A5B3C6C5H3H6H5G6,1.0,3.0,68.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2E6C2A5B3C6C5H3H6H5G6G3,1.0,3.0,69.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2E6C2A5B3C6C5H3H6H5G6G3E7,1.0,3.0,70.0,1041.0,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2E6C2A5B3C6C5H3H6H5G6G3E7C7,2.0,1.0,71.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2E6C2A5B3C6C5H3H6H5G6G3E7C7D7,2.0,1.0,72.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2E6C2A5B3C6C5H3H6H5G6G3E7C7D7F2,2.0,1.0,73.0,723.0,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5E2E6C2A5B3C6C5H3H6H5G6G3E7C7D7F2F7,1.0,1.0,,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2E2,1.0,16.0,75.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2E2F2,1.0,16.0,76.0,175.0,257.0,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2E2F2D2,3.0,3.0,77.0,,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2E2F2D2C5,3.0,3.0,78.0,209.0,,,
F5D6C3D3C4F4F6F3E3B4G5G4B5C2E2F2D2C5H4,6.0,1.0,79.0,,,,
