,num4black,num4white,0,1,2,3
F5,3.0,6.0,1.0,,,
F5D6,3.0,6.0,2.0,,,
F5D6C3,3.0,6.0,3.0,,,
F5D6C3D3,3.0,6.0,4.0,,,
F5D6C3D3C4,3.0,6.0,5.0,,,
F5D6C3D3C4F4,3.0,6.0,6.0,,,
F5D6C3D3C4F4F6,3.0,6.0,7.0,,,
F5D6C3D3C4F4F6F3,3.0,6.0,8.0,,,
F5D6C3D3C4F4F6F3E6,3.0,6.0,9.0,,,
F5D6C3D3C4F4F6F3E6E7,3.0,6.0,10.0,,,
F5D6C3D3C4F4F6F3E6E7C6,3.0,6.0,11.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5,3.0,6.0,12.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5E2,3.0,6.0,13.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7,3.0,6.0,14.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8,3.0,6.0,15.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5,3.0,6.0,16.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3,3.0,6.0,17.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2,3.0,6.0,18.0,54.0,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8,6.0,3.0,19.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7,6.0,3.0,20.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6,6.0,3.0,21.0,223.0,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1,4.0,3.0,22.0,114.0,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4,17.0,1.0,23.0,37.0,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4H6,5.0,1.0,24.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4H6H5,5.0,1.0,25.0,168.0,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4H6H5D8,3.0,1.0,26.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4H6H5D8H7,3.0,1.0,27.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4H6H5D8H7E8,3.0,1.0,28.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4H6H5D8H7E8G4,3.0,1.0,29.0,1077.0,1713.0,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4H6H5D8H7E8G4D2,1.0,3.0,30.0,1166.0,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4H6H5D8H7E8G4D2B5,1.0,2.0,31.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4H6H5D8H7E8G4D2B5G3,1.0,2.0,32.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4H6H5D8H7E8G4D2B5G3H3,1.0,2.0,33.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4H6H5D8H7E8G4D2B5G3H3B6,1.0,2.0,34.0,946.0,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4H6H5D8H7E8G4D2B5G3H3B6B4,1.0,1.0,35.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4H6H5D8H7E8G4D2B5G3H3B6B4C7,1.0,1.0,36.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4H6H5D8H7E8G4D2B5G3H3B6B4C7F1,1.0,1.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4D2,12.0,2.0,38.0,73.0,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4D2C2,12.0,1.0,39.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4D2C2B5,12.0,1.0,40.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4D2C2B5G4,12.0,1.0,41.0,180.0,210.0,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4D2C2B5G4D8,7.0,1.0,42.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4D2C2B5G4D8E8,7.0,1.0,43.0,299.0,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4D2C2B5G4D8E8B3,1.0,5.0,44.0,89.0,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4D2C2B5G4D8E8B3C7,1.0,2.0,45.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4D2C2B5G4D8E8B3C7D1,1.0,2.0,46.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4D2C2B5G4D8E8B3C7D1A5,1.0,2.0,47.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4D2C2B5G4D8E8B3C7D1A5B6,1.0,2.0,48.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4D2C2B5G4D8E8B3C7D1A5B6A6,1.0,2.0,49.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4D2C2B5G4D8E8B3C7D1A5B6A6B7,1.0,2.0,50.0,1889.0,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4D2C2B5G4D8E8B3C7D1A5B6A6B7C1,2.0,1.0,51.0,1074.0,,
F5D6C3D3C4F4F6F3E6E7C6G5E2D7F8C5E3F2C8F7G6E1H4D2C2B5G4D8E8B3C7D1A5B6A6B7C1H5,1.0,1.0,52.0,,,
