,num4black,num4white,0,1,2,3
F5,2.0,17.0,1.0,,,
F5D6,2.0,17.0,2.0,,,
F5D6C3,2.0,17.0,3.0,,,
F5D6C3D3,2.0,17.0,4.0,,,
F5D6C3D3C4,2.0,17.0,5.0,,,
F5D6C3D3C4F4,2.0,17.0,6.0,,,
F5D6C3D3C4F4F6,2.0,17.0,7.0,,,
F5D6C3D3C4F4F6F3,2.0,17.0,8.0,,,
F5D6C3D3C4F4F6F3E6,2.0,17.0,9.0,,,
F5D6C3D3C4F4F6F3E6E7,2.0,17.0,10.0,,,
F5D6C3D3C4F4F6F3E6E7C6,2.0,17.0,11.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5,2.0,17.0,12.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6,2.0,17.0,13.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7,2.0,17.0,14.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5,2.0,17.0,15.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7,2.0,17.0,16.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7E2,2.0,17.0,17.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7E2B6,2.0,17.0,18.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7E2B6E3,2.0,17.0,19.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7E2B6E3G3,2.0,17.0,20.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7E2B6E3G3F8,2.0,17.0,21.0,1456.0,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7E2B6E3G3F8C5,1.0,26.0,22.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7E2B6E3G3F8C5E8,1.0,26.0,23.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7E2B6E3G3F8C5E8F2,1.0,26.0,24.0,603.0,630.0,1426.0
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7E2B6E3G3F8C5E8F2G4,3.0,7.0,25.0,,,
