,num4black,num4white,0,1,2,3
F5,12.0,2.0,1.0,,,
F5D6,12.0,2.0,2.0,,,
F5D6C3,12.0,2.0,3.0,,,
F5D6C3D3,12.0,2.0,4.0,,,
F5D6C3D3C4,12.0,2.0,5.0,,,
F5D6C3D3C4F4,12.0,2.0,6.0,,,
F5D6C3D3C4F4F6,12.0,2.0,7.0,,,
F5D6C3D3C4F4F6F3,12.0,2.0,8.0,,,
F5D6C3D3C4F4F6F3E6,12.0,2.0,9.0,,,
F5D6C3D3C4F4F6F3E6E7,12.0,2.0,10.0,,,
F5D6C3D3C4F4F6F3E6E7C6,12.0,2.0,11.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5,12.0,2.0,12.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6,12.0,2.0,13.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7,12.0,2.0,14.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5,12.0,2.0,15.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7,12.0,2.0,16.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7E2,12.0,2.0,17.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7E2B6,12.0,2.0,18.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7E2B6E3,12.0,2.0,19.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7E2B6E3H6,12.0,2.0,20.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7E2B6E3H6H7,12.0,2.0,21.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7E2B6E3H6H7G3,12.0,2.0,22.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7E2B6E3H6H7G3F2,12.0,2.0,23.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7E2B6E3H6H7G3F2C5,12.0,2.0,24.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7E2B6E3H6H7G3F2C5F8,12.0,2.0,25.0,132.0,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7E2B6E3H6H7G3F2C5F8D2,11.0,2.0,26.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7E2B6E3H6H7G3F2C5F8D2E8,11.0,2.0,27.0,40.0,59.0,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7E2B6E3H6H7G3F2C5F8D2E8C2,1.0,5.0,28.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7E2B6E3H6H7G3F2C5F8D2E8C2C1,1.0,5.0,29.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7E2B6E3H6H7G3F2C5F8D2E8C2C1G7,1.0,5.0,30.0,257.0,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7E2B6E3H6H7G3F2C5F8D2E8C2C1G7H4,1.0,4.0,31.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7E2B6E3H6H7G3F2C5F8D2E8C2C1G7H4H3,1.0,4.0,32.0,,,
