,num4black,num4white,0,1,2,3
F5,5.0,1.0,1.0,,,
F5D6,5.0,1.0,2.0,,,
F5D6C3,5.0,1.0,3.0,,,
F5D6C3D3,5.0,1.0,4.0,,,
F5D6C3D3C4,5.0,1.0,5.0,,,
F5D6C3D3C4F4,5.0,1.0,6.0,,,
F5D6C3D3C4F4F6,5.0,1.0,7.0,,,
F5D6C3D3C4F4F6F3,5.0,1.0,8.0,,,
F5D6C3D3C4F4F6F3E6,5.0,1.0,9.0,,,
F5D6C3D3C4F4F6F3E6E7,5.0,1.0,10.0,,,
F5D6C3D3C4F4F6F3E6E7C6,5.0,1.0,11.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5,5.0,1.0,12.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6,5.0,1.0,13.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7,5.0,1.0,14.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5,5.0,1.0,15.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7,5.0,1.0,16.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7F8,5.0,1.0,17.0,32.0,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7F8B6,4.0,1.0,18.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7F8B6E8,4.0,1.0,19.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7F8B6E8C5,4.0,1.0,20.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7F8B6E8C5B5,4.0,1.0,21.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7F8B6E8C5B5E3,4.0,1.0,22.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7F8B6E8C5B5E3D7,4.0,1.0,23.0,86.0,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7F8B6E8C5B5E3D7A5,2.0,2.0,24.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7F8B6E8C5B5E3D7A5G4,2.0,2.0,25.0,62.0,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7F8B6E8C5B5E3D7A5G4G3,1.0,2.0,26.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7F8B6E8C5B5E3D7A5G4G3B4,1.0,2.0,27.0,,,
F5D6C3D3C4F4F6F3E6E7C6G5G6F7H5C7F8B6E8C5B5E3D7A5G4G3B4D8,1.0,2.0,28.0,30.0,,
