,num4black,num4white,0,1,2,3,4,5
F5,61.0,1.0,1.0,,,,,
F5D6,61.0,1.0,2.0,,,,,
F5D6C3,61.0,1.0,3.0,,,,,
F5D6C3D3,61.0,1.0,4.0,,,,,
F5D6C3D3C4,61.0,1.0,5.0,,,,,
F5D6C3D3C4F4,61.0,1.0,6.0,,,,,
F5D6C3D3C4F4F6,61.0,1.0,7.0,,,,,
F5D6C3D3C4F4F6F3,61.0,1.0,8.0,,,,,
F5D6C3D3C4F4F6F3E6,61.0,1.0,9.0,,,,,
F5D6C3D3C4F4F6F3E6E7,61.0,1.0,10.0,,,,,
F5D6C3D3C4F4F6F3E6E7C6,61.0,1.0,11.0,,,,,
F5D6C3D3C4F4F6F3E6E7C6G6,61.0,1.0,12.0,,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8,61.0,1.0,13.0,,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7,61.0,1.0,14.0,,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6,61.0,1.0,15.0,,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5,61.0,1.0,16.0,,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6,61.0,1.0,17.0,,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6B4,61.0,1.0,18.0,,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6B4G5,61.0,1.0,19.0,158.0,201.0,868.0,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6B4G5B3,51.0,1.0,20.0,,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6B4G5B3E3,51.0,1.0,21.0,61.0,98.0,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6B4G5B3E3G4,35.0,1.0,22.0,,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6B4G5B3E3G4H3,35.0,1.0,23.0,37.0,124.0,402.0,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6B4G5B3E3G4H3G7,17.0,1.0,24.0,,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6B4G5B3E3G4H3G7E8,17.0,1.0,25.0,,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6B4G5B3E3G4H3G7E8B5,17.0,1.0,26.0,,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6B4G5B3E3G4H3G7E8B5A5,17.0,1.0,27.0,51.0,1477.0,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6B4G5B3E3G4H3G7E8B5A5D8,6.0,1.0,28.0,,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6B4G5B3E3G4H3G7E8B5A5D8C8,6.0,1.0,29.0,380.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6B4G5B3E3G4H3G7E8B5A5D8C8D7,5.0,1.0,30.0,,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6B4G5B3E3G4H3G7E8B5A5D8C8D7C7,5.0,1.0,31.0,239.0,565.0,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6B4G5B3E3G4H3G7E8B5A5D8C8D7C7H4,1.0,3.0,32.0,,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6B4G5B3E3G4H3G7E8B5A5D8C8D7C7H4H5,1.0,3.0,33.0,,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6B4G5B3E3G4H3G7E8B5A5D8C8D7C7H4H5G8,1.0,3.0,34.0,1273.0,2446.0,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6B4G5B3E3G4H3G7E8B5A5D8C8D7C7H4H5G8G3,2.0,1.0,35.0,2633.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6B4G5B3E3G4H3G7E8B5A5D8C8D7C7H4H5G8G3B8,1.0,1.0,36.0,,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6B4G5B3E3G4H3G7E8B5A5D8C8D7C7H4H5G8G3B8H8,1.0,1.0,,,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6B4G5B3E3G4H3E2,2.0,5.0,38.0,219.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6B4G5B3E3G4H3E2G3,7.0,1.0,39.0,1615.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6B4G5B3E3G4H3E2G3C7,2.0,10.0,40.0,788.0,,,,
