,num4black,num4white,0,1,2,3,4
F5,2.0,18.0,1.0,,,,
F5D6,2.0,18.0,2.0,,,,
F5D6C3,2.0,18.0,3.0,,,,
F5D6C3D3,2.0,18.0,4.0,,,,
F5D6C3D3C4,2.0,18.0,5.0,,,,
F5D6C3D3C4F4,2.0,18.0,6.0,,,,
F5D6C3D3C4F4F6,2.0,18.0,7.0,,,,
F5D6C3D3C4F4F6F3,2.0,18.0,8.0,,,,
F5D6C3D3C4F4F6F3E6,2.0,18.0,9.0,,,,
F5D6C3D3C4F4F6F3E6E7,2.0,18.0,10.0,,,,
F5D6C3D3C4F4F6F3E6E7C6,2.0,18.0,11.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G6,2.0,18.0,12.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8,2.0,18.0,13.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7,2.0,18.0,14.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6,2.0,18.0,15.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5,2.0,18.0,16.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6,2.0,18.0,17.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6D7,2.0,18.0,18.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6D7G5,2.0,18.0,19.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6D7G5G4,2.0,18.0,20.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6D7G5G4G3,2.0,18.0,21.0,62.0,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6D7G5G4G3B5,1.0,18.0,22.0,120.0,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6D7G5G4G3B5E8,1.0,14.0,23.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6D7G5G4G3B5E8E3,1.0,14.0,24.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6D7G5G4G3B5E8E3D8,1.0,14.0,25.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6D7G5G4G3B5E8E3D8H4,1.0,14.0,26.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6D7G5G4G3B5E8E3D8H4E2,1.0,14.0,27.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6D7G5G4G3B5E8E3D8H4E2D1,1.0,14.0,28.0,40.0,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6D7G5G4G3B5E8E3D8H4E2D1H3,1.0,13.0,29.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6D7G5G4G3B5E8E3D8H4E2D1H3H5,1.0,13.0,30.0,52.0,164.0,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6D7G5G4G3B5E8E3D8H4E2D1H3H5B3,7.0,2.0,31.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6D7G5G4G3B5E8E3D8H4E2D1H3H5B3B4,7.0,2.0,32.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6D7G5G4G3B5E8E3D8H4E2D1H3H5B3B4C2,7.0,2.0,33.0,352.0,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6D7G5G4G3B5E8E3D8H4E2D1H3H5B3B4C2D2,5.0,2.0,34.0,,,,
F5D6C3D3C4F4F6F3E6E7C6G6F8F7H6C5B6D7G5G4G3B5E8E3D8H4E2D1H3H5B3B4C2D2A5,5.0,2.0,35.0,346.0,1100.0,,
