,num4black,num4white,0,1,2,3,4,5
F5,29.0,1.0,1.0,,,,,
F5D6,29.0,1.0,2.0,,,,,
F5D6C3,29.0,1.0,3.0,,,,,
F5D6C3D3,29.0,1.0,4.0,,,,,
F5D6C3D3C4,29.0,1.0,5.0,,,,,
F5D6C3D3C4F4,29.0,1.0,6.0,,,,,
F5D6C3D3C4F4F6,29.0,1.0,7.0,,,,,
F5D6C3D3C4F4F6F3,29.0,1.0,8.0,,,,,
F5D6C3D3C4F4F6F3E6,29.0,1.0,9.0,,,,,
F5D6C3D3C4F4F6F3E6E7,29.0,1.0,10.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7,29.0,1.0,11.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7B3,29.0,1.0,12.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7B3E3,29.0,1.0,13.0,58.0,172.0,288.0,,
F5D6C3D3C4F4F6F3E6E7D7B3E3E2,11.0,2.0,14.0,103.0,,,,
F5D6C3D3C4F4F6F3E6E7D7B3E3E2G4,18.0,1.0,15.0,43.0,,,,
F5D6C3D3C4F4F6F3E6E7D7B3E3E2G4G3,16.0,1.0,16.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7B3E3E2G4G3D2,16.0,1.0,17.0,30.0,,,,
F5D6C3D3C4F4F6F3E6E7D7B3E3E2G4G3D2E1,9.0,1.0,18.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7B3E3E2G4G3D2E1F2,9.0,1.0,19.0,264.0,677.0,,,
F5D6C3D3C4F4F6F3E6E7D7B3E3E2G4G3D2E1F2B5,3.0,2.0,20.0,305.0,,,,
F5D6C3D3C4F4F6F3E6E7D7B3E3E2G4G3D2E1F2B5F8,17.0,1.0,21.0,766.0,,,,
F5D6C3D3C4F4F6F3E6E7D7B3E3E2G4G3D2E1F2B5F8G6,12.0,1.0,22.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7B3E3E2G4G3D2E1F2B5F8G6G5,12.0,1.0,23.0,96.0,247.0,,,
