,num4black,num4white,0,1,2,3,4
F5,36.0,1.0,1.0,,,,
F5D6,36.0,1.0,2.0,,,,
F5D6C3,36.0,1.0,3.0,,,,
F5D6C3D3,36.0,1.0,4.0,,,,
F5D6C3D3C4,36.0,1.0,5.0,,,,
F5D6C3D3C4F4,36.0,1.0,6.0,,,,
F5D6C3D3C4F4F6,36.0,1.0,7.0,,,,
F5D6C3D3C4F4F6F3,36.0,1.0,8.0,,,,
F5D6C3D3C4F4F6F3E6,36.0,1.0,9.0,,,,
F5D6C3D3C4F4F6F3E6E7,36.0,1.0,10.0,,,,
F5D6C3D3C4F4F6F3E6E7D7,36.0,1.0,11.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6,36.0,1.0,12.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8,36.0,1.0,13.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5,36.0,1.0,14.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6,36.0,1.0,15.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7,36.0,1.0,16.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8,36.0,1.0,17.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8F7,36.0,1.0,18.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8F7G8,36.0,1.0,19.0,260.0,824.0,1348.0,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8F7G8B6,3.0,4.0,20.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8F7G8B6A5,3.0,4.0,21.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8F7G8B6A5B3,3.0,4.0,22.0,198.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8F7G8B6A5B3B5,3.0,3.0,23.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8F7G8B6A5B3B5B7,3.0,3.0,24.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8F7G8B6A5B3B5B7H6,3.0,3.0,25.0,74.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8F7G8B6A5B3B5B7H6A4,2.0,3.0,26.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8F7G8B6A5B3B5B7H6A4B4,2.0,3.0,27.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8F7G8B6A5B3B5B7H6A4B4A3,2.0,3.0,28.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8F7G8B6A5B3B5B7H6A4B4A3G5,2.0,3.0,29.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8F7G8B6A5B3B5B7H6A4B4A3G5A6,2.0,3.0,30.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8F7G8B6A5B3B5B7H6A4B4A3G5A6E3,2.0,3.0,31.0,58.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8F7G8B6A5B3B5B7H6A4B4A3G5A6E3F2,1.0,3.0,32.0,37.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8F7G8B6A5B3B5B7H6A4B4A3G5A6E3F2F1,1.0,1.0,33.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8F7G8B6A5B3B5B7H6A4B4A3G5A6E3F2F1E8,1.0,1.0,34.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8F7G8B6A5B3B5B7H6A4B4A3G5A6E3F2F1E8F8,1.0,1.0,35.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8F7G8B6A5B3B5B7H6A4B4A3G5A6E3F2F1E8F8G3,1.0,1.0,36.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8F7G8B6A5B3B5B7H6A4B4A3G5A6E3F2F1E8F8G3H4,1.0,1.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8F7G8B6A5B3B5B7H6A4B4A3G5A6E3F2E2,3.0,2.0,38.0,51.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8F7G8B6A5B3B5B7H6A4B4A3G5A6E3F2E2F1,2.0,2.0,39.0,44.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8C5C6C7C8F7G8B6A5B3B5B7H6A4B4A3G5A6E3F2E2F1G3,2.0,1.0,40.0,42.0,,,
