,num4black,num4white,0,1,2,3
F5,1.0,18.0,1.0,,,
F5D6,1.0,18.0,2.0,,,
F5D6C3,1.0,18.0,3.0,,,
F5D6C3D3,1.0,18.0,4.0,,,
F5D6C3D3C4,1.0,18.0,5.0,,,
F5D6C3D3C4F4,1.0,18.0,6.0,,,
F5D6C3D3C4F4F6,1.0,18.0,7.0,,,
F5D6C3D3C4F4F6F3,1.0,18.0,8.0,,,
F5D6C3D3C4F4F6F3E6,1.0,18.0,9.0,,,
F5D6C3D3C4F4F6F3E6E7,1.0,18.0,10.0,,,
F5D6C3D3C4F4F6F3E6E7D7,1.0,18.0,11.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6,1.0,18.0,12.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8,1.0,18.0,13.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7,1.0,18.0,14.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2,1.0,18.0,15.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4,1.0,18.0,16.0,30.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5,1.0,14.0,17.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8,1.0,14.0,18.0,44.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8B8,1.0,4.0,19.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8B8C7,1.0,4.0,20.0,79.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8B8C7G8,2.0,2.0,21.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8B8C7G8C6,2.0,2.0,22.0,173.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8B8C7G8C6A3,4.0,1.0,23.0,284.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8B8C7G8C6A3B3,3.0,1.0,24.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8B8C7G8C6A3B3B5,3.0,1.0,25.0,306.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8B8C7G8C6A3B3B5A5,2.0,1.0,26.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8B8C7G8C6A3B3B5A5E3,2.0,1.0,27.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8B8C7G8C6A3B3B5A5E3C2,2.0,1.0,28.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8B8C7G8C6A3B3B5A5E3C2G4,2.0,1.0,29.0,233.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8B8C7G8C6A3B3B5A5E3C2G4G5,1.0,1.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4B3,1.0,4.0,31.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4B3C5,1.0,4.0,32.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4B3C5C6,1.0,4.0,33.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4B3C5C6C8,1.0,4.0,34.0,145.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4B3C5C6C8B8,2.0,2.0,35.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4B3C5C6C8B8F8,2.0,2.0,36.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4B3C5C6C8B8F8A4,2.0,2.0,37.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4B3C5C6C8B8F8A4B6,2.0,2.0,38.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4B3C5C6C8B8F8A4B6C7,2.0,2.0,39.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4B3C5C6C8B8F8A4B6C7B5,2.0,2.0,40.0,69.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4B3C5C6C8B8F8A4B6C7B5B7,4.0,1.0,41.0,103.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4B3C5C6C8B8F8A4B6C7B5B7A6,1.0,1.0,42.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4B3C5C6C8B8F8A4B6C7B5B7A6A5,1.0,1.0,43.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4B3C5C6C8B8F8A4B6C7B5B7A6A5A3,1.0,1.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7,2.0,10.0,45.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8,2.0,10.0,46.0,106.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3,2.0,8.0,47.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8,2.0,8.0,48.0,89.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2,3.0,5.0,49.0,62.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2B3,2.0,5.0,50.0,56.0,97.0,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2B3G5,2.0,3.0,51.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2B3G5C2,2.0,3.0,52.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2B3G5C2E3,2.0,3.0,53.0,206.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2B3G5C2E3C6,1.0,3.0,54.0,138.0,243.0,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2B3G5C2E3C6B5,1.0,1.0,55.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2B3G5C2E3C6B5A6,1.0,1.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2B3G4,3.0,1.0,57.0,250.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2B3G4C2,1.0,2.0,58.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2B3G4C2E3,1.0,2.0,59.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2B3G4C2E3D1,1.0,2.0,60.0,255.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2B3G4C2E3D1C6,1.0,1.0,61.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2B3G4C2E3D1C6B5,1.0,1.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2G4,1.0,6.0,63.0,73.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2G4E3,1.0,5.0,64.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2G4E3B3,1.0,5.0,65.0,202.0,212.0,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2G4E3B3C6,2.0,1.0,66.0,181.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2G4E3B3C6F1,1.0,2.0,67.0,231.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2G4E3B3C6F1H3,1.0,1.0,68.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2G4E3B3C6F1H3H5,1.0,1.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4B3C5C6C8B8F8A4B6C7B5A6,2.0,1.0,70.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4B3C5C6C8B8F8A4B6C7B5A6A3,2.0,1.0,71.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4B3C5C6C8B8F8A4B6C7B5A6A3G3,2.0,1.0,72.0,242.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4B3C5C6C8B8F8A4B6C7B5A6A3G3G4,1.0,1.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2G4C6,9.0,1.0,74.0,116.0,140.0,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2G4C6E2,1.0,2.0,75.0,126.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2G4C6E2E3,1.0,1.0,76.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2G4C6E2E3C1,1.0,1.0,77.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2G4C6E2E3C1F1,1.0,1.0,78.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2G4C6E2E3C1F1D1,1.0,1.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8B8C7C6,1.0,2.0,80.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8B8C7C6F8,1.0,2.0,81.0,158.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8B8C7C6F8A5,6.0,1.0,82.0,186.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8B8C7C6F8A5B5,5.0,1.0,83.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8B8C7C6F8A5B5G3,5.0,1.0,84.0,197.0,218.0,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8B8C7C6F8A5B5G3E2,3.0,1.0,85.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8B8C7C6F8A5B5G3E2F2,3.0,1.0,86.0,257.0,272.0,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8B8C7C6F8A5B5G3E2F2D1,1.0,2.0,87.0,184.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8B8C7C6F8A5B5G3E2F2D1E3,2.0,1.0,88.0,313.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8B8C7C6F8A5B5G3E2F2D1E3A4,1.0,1.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8G5,2.0,3.0,90.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8G5B3,2.0,3.0,91.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8G5B3F2,2.0,3.0,92.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8G5B3F2C2,2.0,3.0,93.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8G5B3F2C2E3,2.0,3.0,94.0,133.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8G5B3F2C2E3D1,1.0,3.0,95.0,236.0,269.0,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8G5B3F2C2E3D1C6,1.0,1.0,96.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8G5B3F2C2E3D1C6E2,1.0,1.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2B3E3,2.0,1.0,98.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2B3E3G4,2.0,1.0,99.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2B3E3G4C6,2.0,1.0,100.0,155.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2B3E3G4C6F1,1.0,2.0,101.0,121.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2B3E3G4C6F1E1,3.0,1.0,102.0,166.0,271.0,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8G3E8F2B3E3G4C6F1E1B5,1.0,1.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4B3C5C6C8B8F8A4B6C7B5B7C2,3.0,1.0,104.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4B3C5C6C8B8F8A4B6C7B5B7C2E3,3.0,1.0,105.0,136.0,283.0,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4B3C5C6C8B8F8A4B6C7B5B7C2E3A8,1.0,1.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8C6,2.0,2.0,107.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8C6B5,2.0,2.0,108.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8C6B5G3,2.0,2.0,109.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8C6B5G3E8,2.0,2.0,110.0,225.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8C6B5G3E8A4,3.0,1.0,111.0,168.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8C6B5G3E8A4A3,1.0,2.0,112.0,291.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8C6B5G3E8A4A3A2,2.0,1.0,113.0,123.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8C6B5G3E8A4A3A2B3,1.0,2.0,114.0,311.0,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8C6B5G3E8A4A3A2B3E3,1.0,1.0,115.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6D8F7D2B4C5C8C7F8C6B5G3E8A4A3A2B3E3G4,1.0,1.0,,,,
