,num4black,num4white,0,1,2,3,4
F5,3.0,3.0,1.0,,,,
F5D6,3.0,3.0,2.0,,,,
F5D6C3,3.0,3.0,3.0,,,,
F5D6C3D3,3.0,3.0,4.0,,,,
F5D6C3D3C4,3.0,3.0,5.0,,,,
F5D6C3D3C4F4,3.0,3.0,6.0,,,,
F5D6C3D3C4F4F6,3.0,3.0,7.0,,,,
F5D6C3D3C4F4F6F3,3.0,3.0,8.0,,,,
F5D6C3D3C4F4F6F3E6,3.0,3.0,9.0,,,,
F5D6C3D3C4F4F6F3E6E7,3.0,3.0,10.0,,,,
F5D6C3D3C4F4F6F3E6E7D7,3.0,3.0,11.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6,3.0,3.0,12.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8,3.0,3.0,13.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7,3.0,3.0,14.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7E2,3.0,3.0,15.0,30.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7E2D8,2.0,3.0,16.0,101.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7E2D8E3,2.0,2.0,17.0,64.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7E2D8E3C8,1.0,2.0,18.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7E2D8E3C8G3,1.0,2.0,19.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7E2D8E3C8G3C6,1.0,2.0,20.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7E2D8E3C8G3C6G5,1.0,2.0,21.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7E2D8E3C8G3C6G5G4,1.0,2.0,22.0,405.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7E2D8E3C8G3C6G5G4E8,3.0,1.0,23.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7E2D8E3C8G3C6G5G4E8G8,3.0,1.0,24.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7E2D8E3C8G3C6G5G4E8G8C5,3.0,1.0,25.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7E2D8E3C8G3C6G5G4E8G8C5F2,3.0,1.0,26.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7E2D8E3C8G3C6G5G4E8G8C5F2H3,3.0,1.0,27.0,51.0,186.0,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7E2D8E3C8G3C6G5G4E8G8C5F2H3E1,1.0,3.0,28.0,157.0,437.0,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7E2D8E3C8G3C6G5G4E8G8C5F2H3E1B7,3.0,1.0,29.0,356.0,506.0,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7E2D8E3C8G3C6G5G4E8G8C5F2H3E1B7C7,1.0,1.0,,,,,
