,num4black,num4white,0,1,2,3,4,5
F5,15.0,1.0,1.0,,,,,
F5D6,15.0,1.0,2.0,,,,,
F5D6C3,15.0,1.0,3.0,,,,,
F5D6C3D3,15.0,1.0,4.0,,,,,
F5D6C3D3C4,15.0,1.0,5.0,,,,,
F5D6C3D3C4F4,15.0,1.0,6.0,,,,,
F5D6C3D3C4F4F6,15.0,1.0,7.0,,,,,
F5D6C3D3C4F4F6F3,15.0,1.0,8.0,,,,,
F5D6C3D3C4F4F6F3E6,15.0,1.0,9.0,,,,,
F5D6C3D3C4F4F6F3E6E7,15.0,1.0,10.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7,15.0,1.0,11.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6,15.0,1.0,12.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8,15.0,1.0,13.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7,15.0,1.0,14.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7G5,15.0,1.0,15.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7G5G4,15.0,1.0,16.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7G5G4H3,15.0,1.0,17.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7G5G4H3H5,15.0,1.0,18.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7G5G4H3H5D2,15.0,1.0,19.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7G5G4H3H5D2D8,15.0,1.0,20.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7G5G4H3H5D2D8E3,15.0,1.0,21.0,1528.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7G5G4H3H5D2D8E3E2,14.0,1.0,22.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7G5G4H3H5D2D8E3E2H4,14.0,1.0,23.0,780.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7G5G4H3H5D2D8E3E2H4H2,9.0,1.0,24.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7G5G4H3H5D2D8E3E2H4H2G3,9.0,1.0,25.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7G5G4H3H5D2D8E3E2H4H2G3C8,9.0,1.0,26.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7G5G4H3H5D2D8E3E2H4H2G3C8H7,9.0,1.0,27.0,349.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7G5G4H3H5D2D8E3E2H4H2G3C8H7G2,7.0,1.0,28.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7G5G4H3H5D2D8E3E2H4H2G3C8H7G2G8,7.0,1.0,29.0,68.0,201.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7G5G4H3H5D2D8E3E2H4H2G3C8H7G2G8H6,1.0,6.0,30.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7G5G4H3H5D2D8E3E2H4H2G3C8H7G2G8H6H1,1.0,6.0,31.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7G5G4H3H5D2D8E3E2H4H2G3C8H7G2G8H6H1E8,1.0,6.0,32.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7G5G4H3H5D2D8E3E2H4H2G3C8H7G2G8H6H1E8B8,1.0,6.0,33.0,,,,,
