,num4black,num4white,0,1,2,3,4,5,6
F5,12.0,2.0,1.0,,,,,,
F5D6,12.0,2.0,2.0,,,,,,
F5D6C3,12.0,2.0,3.0,,,,,,
F5D6C3D3,12.0,2.0,4.0,,,,,,
F5D6C3D3C4,12.0,2.0,5.0,,,,,,
F5D6C3D3C4F4,12.0,2.0,6.0,,,,,,
F5D6C3D3C4F4F6,12.0,2.0,7.0,,,,,,
F5D6C3D3C4F4F6F3,12.0,2.0,8.0,,,,,,
F5D6C3D3C4F4F6F3E6,12.0,2.0,9.0,,,,,,
F5D6C3D3C4F4F6F3E6E7,12.0,2.0,10.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7,12.0,2.0,11.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6,12.0,2.0,12.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8,12.0,2.0,13.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7,12.0,2.0,14.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6,12.0,2.0,15.0,30.0,75.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5,9.0,2.0,16.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6,9.0,2.0,17.0,62.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6D8,7.0,2.0,18.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6D8E3,7.0,2.0,19.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6D8E3B6,7.0,2.0,20.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6D8E3B6G4,7.0,2.0,21.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6D8E3B6G4B4,7.0,2.0,22.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6D8E3B6G4B4B5,7.0,2.0,23.0,164.0,211.0,498.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6D8E3B6G4B4B5H3,4.0,2.0,24.0,175.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6D8E3B6G4B4B5H3H4,4.0,1.0,25.0,110.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6D8E3B6G4B4B5H3H4G3,3.0,1.0,26.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6D8E3B6G4B4B5H3H4G3G5,3.0,1.0,27.0,587.0,893.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6D8E3B6G4B4B5H3H4G3G5F2,1.0,2.0,28.0,313.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6D8E3B6G4B4B5H3H4G3G5F2E2,2.0,1.0,29.0,575.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6D8E3B6G4B4B5H3H4G3G5F2E2E8,1.0,1.0,,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6,1.0,16.0,31.0,218.0,,,,,
