,num4black,num4white,0,1,2,3,4
F5,1.0,9.0,1.0,,,,
F5D6,1.0,9.0,2.0,,,,
F5D6C3,1.0,9.0,3.0,,,,
F5D6C3D3,1.0,9.0,4.0,,,,
F5D6C3D3C4,1.0,9.0,5.0,,,,
F5D6C3D3C4F4,1.0,9.0,6.0,,,,
F5D6C3D3C4F4F6,1.0,9.0,7.0,,,,
F5D6C3D3C4F4F6F3,1.0,9.0,8.0,,,,
F5D6C3D3C4F4F6F3E6,1.0,9.0,9.0,,,,
F5D6C3D3C4F4F6F3E6E7,1.0,9.0,10.0,,,,
F5D6C3D3C4F4F6F3E6E7D7,1.0,9.0,11.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6,1.0,9.0,12.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5,1.0,9.0,13.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5,1.0,9.0,14.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6,1.0,9.0,15.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6,1.0,9.0,16.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5,1.0,9.0,17.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7,1.0,9.0,18.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7F8,1.0,9.0,19.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7F8E8,1.0,9.0,20.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7F8E8F7,1.0,9.0,21.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7F8E8F7H6,1.0,9.0,22.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7F8E8F7H6G3,1.0,9.0,23.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7F8E8F7H6G3H3,1.0,9.0,24.0,40.0,64.0,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7F8E8F7H6G3H3D2,1.0,6.0,25.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7F8E8F7H6G3H3D2E3,1.0,6.0,26.0,186.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7F8E8F7H6G3H3D2E3C8,4.0,2.0,27.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7F8E8F7H6G3H3D2E3C8G8,4.0,2.0,28.0,107.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7F8E8F7H6G3H3D2E3C8G8G4,4.0,1.0,29.0,383.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7F8E8F7H6G3H3D2E3C8G8G4B4,1.0,4.0,30.0,460.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7F8E8F7H6G3H3D2E3C8G8G4B4E2,3.0,2.0,31.0,344.0,501.0,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7F8E8F7H6G3H3D2E3C8G8G4B4E2F2,1.0,7.0,32.0,56.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5C5B6C6B5C7F8E8F7H6G3H3D2E3C8G8G4B4E2F2A5,2.0,3.0,33.0,312.0,,,
