,num4black,num4white,0,1,2,3,4
F5,34.0,1.0,1.0,,,,
F5D6,34.0,1.0,2.0,,,,
F5D6C3,34.0,1.0,3.0,,,,
F5D6C3D3,34.0,1.0,4.0,,,,
F5D6C3D3C4,34.0,1.0,5.0,,,,
F5D6C3D3C4F4,34.0,1.0,6.0,,,,
F5D6C3D3C4F4F6,34.0,1.0,7.0,,,,
F5D6C3D3C4F4F6F3,34.0,1.0,8.0,,,,
F5D6C3D3C4F4F6F3E6,34.0,1.0,9.0,,,,
F5D6C3D3C4F4F6F3E6E7,34.0,1.0,10.0,,,,
F5D6C3D3C4F4F6F3E6E7D7,34.0,1.0,11.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6,34.0,1.0,12.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5,34.0,1.0,13.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5F7,34.0,1.0,14.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5F7E2,34.0,1.0,15.0,1387.0,1480.0,,
F5D6C3D3C4F4F6F3E6E7D7G6G5F7E2C5,28.0,1.0,16.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5F7E2C5E3,28.0,1.0,17.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5F7E2C5E3G3,28.0,1.0,18.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5F7E2C5E3G3G4,28.0,1.0,19.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5F7E2C5E3G3G4H5,28.0,1.0,20.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5F7E2C5E3G3G4H5F8,28.0,1.0,21.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5F7E2C5E3G3G4H5F8D2,28.0,1.0,22.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5F7E2C5E3G3G4H5F8D2H3,28.0,1.0,23.0,990.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5F7E2C5E3G3G4H5F8D2H3H4,27.0,1.0,24.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5F7E2C5E3G3G4H5F8D2H3H4C7,27.0,1.0,25.0,650.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5F7E2C5E3G3G4H5F8D2H3H4C7H2,25.0,1.0,26.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5F7E2C5E3G3G4H5F8D2H3H4C7H2B4,25.0,1.0,27.0,231.0,263.0,324.0,
F5D6C3D3C4F4F6F3E6E7D7G6G5F7E2C5E3G3G4H5F8D2H3H4C7H2B4B6,14.0,1.0,28.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5F7E2C5E3G3G4H5F8D2H3H4C7H2B4B6B5,14.0,1.0,29.0,54.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5F7E2C5E3G3G4H5F8D2H3H4C7H2B4B6B5F1,2.0,1.0,30.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6G5F7E2C5E3G3G4H5F8D2H3H4C7H2B4B6B5F1F2,2.0,1.0,31.0,,,,
