,num4black,num4white,0,1,2,3,4,5
F5,1.0,28.0,1.0,,,,,
F5D6,1.0,28.0,2.0,,,,,
F5D6C3,1.0,28.0,3.0,,,,,
F5D6C3D3,1.0,28.0,4.0,,,,,
F5D6C3D3C4,1.0,28.0,5.0,,,,,
F5D6C3D3C4F4,1.0,28.0,6.0,,,,,
F5D6C3D3C4F4F6,1.0,28.0,7.0,,,,,
F5D6C3D3C4F4F6F3,1.0,28.0,8.0,,,,,
F5D6C3D3C4F4F6F3E6,1.0,28.0,9.0,,,,,
F5D6C3D3C4F4F6F3E6E7,1.0,28.0,10.0,,,,,
F5D6C3D3C4F4F6F3E6E7F7,1.0,28.0,11.0,,,,,
F5D6C3D3C4F4F6F3E6E7F7C5,1.0,28.0,12.0,,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6,1.0,28.0,13.0,,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6,1.0,28.0,14.0,,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6E3,1.0,28.0,15.0,,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6E3E2,1.0,28.0,16.0,,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6E3E2G5,1.0,28.0,17.0,,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6E3E2G5C6,1.0,28.0,18.0,,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6E3E2G5C6D8,1.0,28.0,19.0,,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6E3E2G5C6D8H6,1.0,28.0,20.0,40.0,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6E3E2G5C6D8H6D7,1.0,8.0,21.0,,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6E3E2G5C6D8H6D7A6,1.0,8.0,22.0,326.0,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6E3E2G5C6D8H6D7A6H4,2.0,3.0,23.0,,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6E3E2G5C6D8H6D7A6H4G4,2.0,3.0,24.0,714.0,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6E3E2G5C6D8H6D7A6H4G4H3,7.0,1.0,25.0,,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6E3E2G5C6D8H6D7A6H4G4H3B4,7.0,1.0,26.0,,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6E3E2G5C6D8H6D7A6H4G4H3B4C7,7.0,1.0,27.0,77.0,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6E3E2G5C6D8H6D7A6H4G4H3B4C7B3,1.0,6.0,28.0,519.0,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6E3E2G5C6D8H6D7A6H4G4H3B4C7B3G3,4.0,1.0,29.0,,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6E3E2G5C6D8H6D7A6H4G4H3B4C7B3G3H5,4.0,1.0,30.0,,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6E3E2G5C6D8H6D7A6H4G4H3B4C7B3G3H5H7,4.0,1.0,31.0,,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6E3E2G5C6D8H6D7A6H4G4H3B4C7B3G3H5H7B5,4.0,1.0,32.0,,,,,
