,num4black,num4white,0,1,2
F5,1.0,7.0,1.0,,
F5D6,1.0,7.0,2.0,,
F5D6C3,1.0,7.0,3.0,,
F5D6C3D3,1.0,7.0,4.0,,
F5D6C3D3C4,1.0,7.0,5.0,,
F5D6C3D3C4F4,1.0,7.0,6.0,,
F5D6C3D3C4F4F6,1.0,7.0,7.0,,
F5D6C3D3C4F4F6F3,1.0,7.0,8.0,,
F5D6C3D3C4F4F6F3E6,1.0,7.0,9.0,,
F5D6C3D3C4F4F6F3E6E7,1.0,7.0,10.0,,
F5D6C3D3C4F4F6F3E6E7F7,1.0,7.0,11.0,,
F5D6C3D3C4F4F6F3E6E7F7C5,1.0,7.0,12.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6,1.0,7.0,13.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6,1.0,7.0,14.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8,1.0,7.0,15.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8,1.0,7.0,16.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7,1.0,7.0,17.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6,1.0,7.0,18.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5,1.0,7.0,19.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4,1.0,7.0,20.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5,1.0,7.0,21.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3,1.0,7.0,22.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3,1.0,7.0,23.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7,1.0,7.0,24.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4,1.0,7.0,25.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8,1.0,7.0,26.0,42.0,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8,1.0,5.0,27.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8,1.0,5.0,28.0,71.0,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3,2.0,3.0,29.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3,2.0,3.0,30.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5,2.0,3.0,31.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6,2.0,3.0,32.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7,2.0,3.0,33.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8,2.0,3.0,34.0,56.0,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8B8,2.0,1.0,35.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8B8B7,2.0,1.0,36.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8B8B7H7,2.0,1.0,37.0,86.0,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8B8B7H7G4,1.0,2.0,38.0,40.0,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8B8B7H7G4H4,1.0,1.0,39.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8B8B7H7G4H4F2,1.0,1.0,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8B8B7H7G4H8,2.0,1.0,41.0,85.0,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8B8B7H7G4H8C2,1.0,1.0,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2,1.0,2.0,43.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2F2,1.0,2.0,44.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2F2E8,1.0,2.0,45.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2F2E8G8,1.0,2.0,46.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2F2E8G8E2,1.0,2.0,47.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2F2E8G8E2E1,1.0,2.0,48.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2F2E8G8E2E1G5,1.0,2.0,49.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2F2E8G8E2E1G5H4,1.0,2.0,50.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2F2E8G8E2E1G5H4G4,1.0,2.0,51.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2F2E8G8E2E1G5H4G4G3,1.0,2.0,52.0,89.0,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2F2E8G8E2E1G5H4G4G3F1,4.0,1.0,53.0,67.0,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2F2E8G8E2E1G5H4G4G3F1D2,3.0,1.0,54.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2F2E8G8E2E1G5H4G4G3F1D2H3,3.0,1.0,55.0,93.0,94.0
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2F2E8G8E2E1G5H4G4G3F1D2H3A7,1.0,1.0,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8H7,2.0,2.0,57.0,62.0,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8H7C2,1.0,2.0,58.0,99.0,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8H7C2D2,1.0,1.0,59.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8H7C2D2D1,1.0,1.0,60.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8H7C2D2D1B8,1.0,1.0,61.0,,
