,num4black,num4white,0,1,2,3,4
F5,1.0,12.0,1.0,,,,
F5D6,1.0,12.0,2.0,,,,
F5D6C3,1.0,12.0,3.0,,,,
F5D6C3D3,1.0,12.0,4.0,,,,
F5D6C3D3C4,1.0,12.0,5.0,,,,
F5D6C3D3C4F4,1.0,12.0,6.0,,,,
F5D6C3D3C4F4F6,1.0,12.0,7.0,,,,
F5D6C3D3C4F4F6F3,1.0,12.0,8.0,,,,
F5D6C3D3C4F4F6F3E6,1.0,12.0,9.0,,,,
F5D6C3D3C4F4F6F3E6E7,1.0,12.0,10.0,,,,
F5D6C3D3C4F4F6F3E6E7F7,1.0,12.0,11.0,,,,
F5D6C3D3C4F4F6F3E6E7F7C5,1.0,12.0,12.0,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6,1.0,12.0,13.0,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6,1.0,12.0,14.0,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6G5,1.0,12.0,15.0,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6G5C6,1.0,12.0,16.0,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6G5C6E8,1.0,12.0,17.0,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6G5C6E8B5,1.0,12.0,18.0,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6G5C6E8B5E3,1.0,12.0,19.0,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6G5C6E8B5E3G3,1.0,12.0,20.0,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6G5C6E8B5E3G3G4,1.0,12.0,21.0,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6G5C6E8B5E3G3G4F2,1.0,12.0,22.0,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6G5C6E8B5E3G3G4F2H5,1.0,12.0,23.0,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6G5C6E8B5E3G3G4F2H5H4,1.0,12.0,24.0,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6G5C6E8B5E3G3G4F2H5H4F1,1.0,12.0,25.0,,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6G5C6E8B5E3G3G4F2H5H4F1H6,1.0,12.0,26.0,,,,
