,num4black,num4white,0,1,2,3,4
F5,4.0,12.0,1.0,,,,
F5D6,4.0,12.0,2.0,,,,
F5D6C3,4.0,12.0,3.0,,,,
F5D6C3D3,4.0,12.0,4.0,,,,
F5D6C3D3C4,4.0,12.0,5.0,,,,
F5D6C3D3C4F4,4.0,12.0,6.0,,,,
F5D6C3D3C4F4F6,4.0,12.0,7.0,,,,
F5D6C3D3C4F4F6G5,4.0,12.0,8.0,,,,
F5D6C3D3C4F4F6G5C6,4.0,12.0,9.0,,,,
F5D6C3D3C4F4F6G5C6E3,4.0,12.0,10.0,,,,
F5D6C3D3C4F4F6G5C6E3D7,4.0,12.0,11.0,44.0,129.0,,
F5D6C3D3C4F4F6G5C6E3D7C5,2.0,12.0,12.0,,,,
F5D6C3D3C4F4F6G5C6E3D7C5E6,2.0,12.0,13.0,,,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8,2.0,12.0,14.0,,,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4,2.0,12.0,15.0,30.0,,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4C7,1.0,12.0,16.0,,,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4C7F3,1.0,12.0,17.0,,,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4C7F3E7,1.0,12.0,18.0,179.0,502.0,799.0,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4C7F3E7H6,7.0,1.0,19.0,,,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4C7F3E7H6H4,7.0,1.0,20.0,,,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4C7F3E7H6H4G6,7.0,1.0,21.0,201.0,356.0,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4C7F3E7H6H4G6G3,3.0,5.0,22.0,,,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4C7F3E7H6H4G6G3B5,3.0,5.0,23.0,387.0,,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4C7F3E7H6H4G6G3B5D2,1.0,13.0,24.0,62.0,68.0,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4C7F3E7H6H4G6G3B5D2F2,1.0,9.0,25.0,,,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4C7F3E7H6H4G6G3B5D2F2E2,1.0,9.0,26.0,476.0,589.0,859.0,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4C7F3E7H6H4G6G3B5D2F2E2E1,2.0,1.0,27.0,171.0,,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4C7F3E7H6H4G6G3B5D2F2E2E1C1,1.0,1.0,28.0,,,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4C7F3E7H6H4G6G3B5D2F2E2E1C1F1,1.0,1.0,29.0,,,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4C7F3E7H6H4G6G3B5D2F2E2E1C1F1B6,1.0,1.0,,,,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4F3,1.0,14.0,31.0,,,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4F3B5,1.0,14.0,32.0,,,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4F3B5H5,1.0,14.0,33.0,191.0,,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4F3B5H5E7,4.0,1.0,34.0,334.0,,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4F3B5H5E7E8,1.0,5.0,35.0,345.0,,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4F3B5H5E7E8F7,1.0,4.0,36.0,,,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4F3B5H5E7E8F7G3,1.0,4.0,37.0,225.0,483.0,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4F3B5H5E7E8F7G3F8,4.0,1.0,38.0,1201.0,,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4F3B5H5E7E8F7G3F8G8,3.0,1.0,39.0,,,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4F3B5H5E7E8F7G3F8G8D2,3.0,1.0,40.0,841.0,,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4F3B5H5E7E8F7G3F8G8D2C7,1.0,2.0,41.0,,,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4F3B5H5E7E8F7G3F8G8D2C7E2,1.0,2.0,42.0,,,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4F3B5H5E7E8F7G3F8G8D2C7E2B6,1.0,2.0,43.0,169.0,,,
F5D6C3D3C4F4F6G5C6E3D7C5E6D8G4F3B5H5E7E8F7G3F8G8D2C7E2B6H6,1.0,1.0,,,,,
F5D6C3D3C4F4F6G5C6E3D7D8,1.0,20.0,45.0,99.0,,,
F5D6C3D3C4F4F6G5C6E3D7D8E2,1.0,12.0,46.0,,,,
F5D6C3D3C4F4F6G5C6E3D7D8E2D2,1.0,12.0,47.0,74.0,,,
F5D6C3D3C4F4F6G5C6E3D7D8E2D2H4,5.0,2.0,48.0,,,,
F5D6C3D3C4F4F6G5C6E3D7D8E2D2H4H6,5.0,2.0,49.0,,,,
F5D6C3D3C4F4F6G5C6E3D7D8E2D2H4H6C2,5.0,2.0,50.0,704.0,,,
F5D6C3D3C4F4F6G5C6E3D7D8E2D2H4H6C2B6,4.0,3.0,51.0,88.0,,,
F5D6C3D3C4F4F6G5C6E3D7D8E2D2H4H6C2B6F3,5.0,1.0,52.0,,,,
F5D6C3D3C4F4F6G5C6E3D7D8E2D2H4H6C2B6F3G6,5.0,1.0,53.0,,,,
F5D6C3D3C4F4F6G5C6E3D7D8E2D2H4H6C2B6F3G6E6,5.0,1.0,54.0,,,,
F5D6C3D3C4F4F6G5C6E3D7D8E2D2H4H6C2B6F3G6E6C5,5.0,1.0,55.0,,,,
F5D6C3D3C4F4F6G5C6E3D7D8E2D2H4H6C2B6F3G6E6C5G4,5.0,1.0,56.0,,,,
F5D6C3D3C4F4F6G5C6E3D7D8E2D2H4H6C2B6F3G6E6C5G4F2,5.0,1.0,57.0,,,,
F5D6C3D3C4F4F6G5C6E3D7D8E2D2H4H6C2B6F3G6E6C5G4F2H5,5.0,1.0,58.0,629.0,,,
F5D6C3D3C4F4F6G5C6E3D7D8E2D2H4H6C2B6F3G6E6C5G4F2H5E7,3.0,1.0,59.0,,,,
F5D6C3D3C4F4F6G5C6E3D7D8E2D2H4H6C2B6F3G6E6C5G4F2H5E7B5,3.0,1.0,60.0,741.0,902.0,,
F5D6C3D3C4F4F6G5C6E3D7D8E2D2H4H6C2B6F3G6E6C5G4F2H5E7B5D1,1.0,2.0,61.0,1175.0,,,
F5D6C3D3C4F4F6G5C6E3D7D8E2D2H4H6C2B6F3G6E6C5G4F2H5E7B5D1C7,1.0,1.0,,,,,
