,num4black,num4white,0,1,2,3,4
F5,1.0,26.0,1.0,,,,
F5D6,1.0,26.0,2.0,,,,
F5D6C3,1.0,26.0,3.0,,,,
F5D6C3D3,1.0,26.0,4.0,,,,
F5D6C3D3C4,1.0,26.0,5.0,,,,
F5D6C3D3C4F4,1.0,26.0,6.0,,,,
F5D6C3D3C4F4F6,1.0,26.0,7.0,,,,
F5D6C3D3C4F4F6G5,1.0,26.0,8.0,,,,
F5D6C3D3C4F4F6G5E6,1.0,26.0,9.0,,,,
F5D6C3D3C4F4F6G5E6B4,1.0,26.0,10.0,30.0,50.0,120.0,377.0
F5D6C3D3C4F4F6G5E6B4E3,1.0,10.0,11.0,,,,
F5D6C3D3C4F4F6G5E6B4E3C5,1.0,10.0,12.0,101.0,,,
F5D6C3D3C4F4F6G5E6B4E3C5B3,1.0,9.0,13.0,,,,
F5D6C3D3C4F4F6G5E6B4E3C5B3E2,1.0,9.0,14.0,286.0,,,
F5D6C3D3C4F4F6G5E6B4E3C5B3E2C6,1.0,8.0,15.0,,,,
F5D6C3D3C4F4F6G5E6B4E3C5B3E2C6D2,1.0,8.0,16.0,216.0,305.0,,
F5D6C3D3C4F4F6G5E6B4E3C5B3E2C6D2B5,1.0,4.0,17.0,,,,
F5D6C3D3C4F4F6G5E6B4E3C5B3E2C6D2B5B6,1.0,4.0,18.0,,,,
F5D6C3D3C4F4F6G5E6B4E3C5B3E2C6D2B5B6C2,1.0,4.0,19.0,,,,
F5D6C3D3C4F4F6G5E6B4E3C5B3E2C6D2B5B6C2A4,1.0,4.0,20.0,,,,
F5D6C3D3C4F4F6G5E6B4E3C5B3E2C6D2B5B6C2A4A3,1.0,4.0,21.0,,,,
F5D6C3D3C4F4F6G5E6B4E3C5B3E2C6D2B5B6C2A4A3A5,1.0,4.0,22.0,,,,
F5D6C3D3C4F4F6G5E6B4E3C5B3E2C6D2B5B6C2A4A3A5G4,1.0,4.0,23.0,,,,
F5D6C3D3C4F4F6G5E6B4E3C5B3E2C6D2B5B6C2A4A3A5G4C1,1.0,4.0,24.0,230.0,433.0,,
F5D6C3D3C4F4F6G5E6B4E3C5B3E2C6D2B5B6C2A4A3A5G4C1G3,1.0,2.0,25.0,,,,
F5D6C3D3C4F4F6G5E6B4E3C5B3E2C6D2B5B6C2A4A3A5G4C1G3C7,1.0,2.0,26.0,198.0,,,
F5D6C3D3C4F4F6G5E6B4E3C5B3E2C6D2B5B6C2A4A3A5G4C1G3C7A6,4.0,1.0,27.0,411.0,,,
F5D6C3D3C4F4F6G5E6B4E3C5B3E2C6D2B5B6C2A4A3A5G4C1G3C7A6F7,2.0,1.0,28.0,,,,
F5D6C3D3C4F4F6G5E6B4E3C5B3E2C6D2B5B6C2A4A3A5G4C1G3C7A6F7D7,2.0,1.0,29.0,119.0,,,
F5D6C3D3C4F4F6G5E6B4E3C5B3E2C6D2B5B6C2A4A3A5G4C1G3C7A6F7D7F3,1.0,1.0,,,,,
F5D6C3D3C4F4F6G5E6B4C6,1.0,4.0,31.0,,,,
F5D6C3D3C4F4F6G5E6B4C6C5,1.0,4.0,32.0,73.0,,,
F5D6C3D3C4F4F6G5E6B4C6C5G3,1.0,2.0,33.0,,,,
F5D6C3D3C4F4F6G5E6B4C6C5G3F3,1.0,2.0,34.0,,,,
F5D6C3D3C4F4F6G5E6B4C6C5G3F3B5,1.0,2.0,35.0,,,,
F5D6C3D3C4F4F6G5E6B4C6C5G3F3B5A6,1.0,2.0,36.0,,,,
F5D6C3D3C4F4F6G5E6B4C6C5G3F3B5A6D2,1.0,2.0,37.0,,,,
F5D6C3D3C4F4F6G5E6B4C6C5G3F3B5A6D2E2,1.0,2.0,38.0,,,,
F5D6C3D3C4F4F6G5E6B4C6C5G3F3B5A6D2E2B3,1.0,2.0,39.0,,,,
F5D6C3D3C4F4F6G5E6B4C6C5G3F3B5A6D2E2B3D1,1.0,2.0,40.0,,,,
F5D6C3D3C4F4F6G5E6B4C6C5G3F3B5A6D2E2B3D1H4,1.0,2.0,41.0,,,,
F5D6C3D3C4F4F6G5E6B4C6C5G3F3B5A6D2E2B3D1H4E7,1.0,2.0,42.0,,,,
F5D6C3D3C4F4F6G5E6B4C6C5G3F3B5A6D2E2B3D1H4E7F7,1.0,2.0,43.0,,,,
F5D6C3D3C4F4F6G5E6B4C6C5G3F3B5A6D2E2B3D1H4E7F7C2,1.0,2.0,44.0,,,,
F5D6C3D3C4F4F6G5E6B4C6C5G3F3B5A6D2E2B3D1H4E7F7C2A5,1.0,2.0,45.0,,,,
F5D6C3D3C4F4F6G5E6B4C6C5G3F3B5A6D2E2B3D1H4E7F7C2A5D7,1.0,2.0,46.0,,,,
F5D6C3D3C4F4F6G5E6B4C6C5G3F3B5A6D2E2B3D1H4E7F7C2A5D7E8,1.0,2.0,47.0,,,,
F5D6C3D3C4F4F6G5E6B4C6C5G3F3B5A6D2E2B3D1H4E7F7C2A5D7E8B6,1.0,2.0,48.0,196.0,,,
F5D6C3D3C4F4F6G5E6B4C6C5G3F3B5A6D2E2B3D1H4E7F7C2A5D7E8B6A3,1.0,1.0,49.0,,,,
F5D6C3D3C4F4F6G5E6B4C6C5G3F3B5A6D2E2B3D1H4E7F7C2A5D7E8B6A3C7,1.0,1.0,,,,,
F5D6C3D3C4F4F6G5E6B4G4,1.0,8.0,51.0,,,,
F5D6C3D3C4F4F6G5E6B4G4C5,1.0,8.0,52.0,330.0,,,
F5D6C3D3C4F4F6G5E6B4G4C5F3,6.0,2.0,53.0,,,,
F5D6C3D3C4F4F6G5E6B4G4C5F3E3,6.0,2.0,54.0,,,,
F5D6C3D3C4F4F6G5E6B4G4C5F3E3E2,6.0,2.0,55.0,165.0,,,
F5D6C3D3C4F4F6G5E6B4G4C5F3E3E2C2,5.0,2.0,56.0,151.0,,,
F5D6C3D3C4F4F6G5E6B4G4C5F3E3E2C2G6,14.0,1.0,57.0,,,,
F5D6C3D3C4F4F6G5E6B4G4C5F3E3E2C2G6D2,14.0,1.0,58.0,,,,
F5D6C3D3C4F4F6G5E6B4G4C5F3E3E2C2G6D2G3,14.0,1.0,59.0,140.0,,,
F5D6C3D3C4F4F6G5E6B4G4C5F3E3E2C2G6D2G3F1,12.0,1.0,60.0,,,,
F5D6C3D3C4F4F6G5E6B4G4C5F3E3E2C2G6D2G3F1C7,12.0,1.0,61.0,348.0,,,
F5D6C3D3C4F4F6G5E6B4G4C5F3E3E2C2G6D2G3F1C7H6,11.0,1.0,62.0,,,,
F5D6C3D3C4F4F6G5E6B4G4C5F3E3E2C2G6D2G3F1C7H6C6,11.0,1.0,63.0,269.0,,,
F5D6C3D3C4F4F6G5E6B4G4C5F3E3E2C2G6D2G3F1C7H6C6D7,7.0,1.0,64.0,,,,
F5D6C3D3C4F4F6G5E6B4G4C5F3E3E2C2G6D2G3F1C7H6C6D7C8,7.0,1.0,65.0,91.0,456.0,,
F5D6C3D3C4F4F6G5E6B4G4C5F3E3E2C2G6D2G3F1C7H6C6D7C8F2,4.0,1.0,66.0,,,,
F5D6C3D3C4F4F6G5E6B4G4C5F3E3E2C2G6D2G3F1C7H6C6D7C8F2H5,4.0,1.0,67.0,70.0,,,
F5D6C3D3C4F4F6G5E6B4G4C5F3E3E2C2G6D2G3F1C7H6C6D7C8F2H5B6,2.0,1.0,68.0,,,,
F5D6C3D3C4F4F6G5E6B4G4C5F3E3E2C2G6D2G3F1C7H6C6D7C8F2H5B6B5,2.0,1.0,69.0,455.0,,,
F5D6C3D3C4F4F6G5E6B4G4C5F3E3E2C2G6D2G3F1C7H6C6D7C8F2H5B6B5H3,1.0,1.0,,,,,
F5D6C3D3C4F4F6G5E6B4G4C5F3E3E2C2G6D2G3F1C7H6C6D7C8F2H5H3,2.0,1.0,71.0,,,,
F5D6C3D3C4F4F6G5E6B4G4C5F3E3E2C2G6D2G3F1C7H6C6D7C8F2H5H3H7,2.0,1.0,72.0,244.0,,,
F5D6C3D3C4F4F6G5E6B4G4C5F3E3E2C2G6D2G3F1C7H6C6D7C8F2H5H3H7B6,1.0,1.0,,,,,
F5D6C3D3C4F4F6G5E6B4C6C5G4,2.0,2.0,74.0,,,,
F5D6C3D3C4F4F6G5E6B4C6C5G4G6,2.0,2.0,75.0,,,,
F5D6C3D3C4F4F6G5E6B4C6C5G4G6F3,2.0,2.0,76.0,,,,
F5D6C3D3C4F4F6G5E6B4C6C5G4G6F3B3,2.0,2.0,77.0,,,,
F5D6C3D3C4F4F6G5E6B4C6C5G4G6F3B3B5,2.0,2.0,78.0,,,,
F5D6C3D3C4F4F6G5E6B4C6C5G4G6F3B3B5E3,2.0,2.0,79.0,,,,
F5D6C3D3C4F4F6G5E6B4C6C5G4G6F3B3B5E3G3,2.0,2.0,80.0,,,,
F5D6C3D3C4F4F6G5E6B4C6C5G4G6F3B3B5E3G3A5,2.0,2.0,81.0,,,,
F5D6C3D3C4F4F6G5E6B4C6C5G4G6F3B3B5E3G3A5H4,2.0,2.0,82.0,,,,
F5D6C3D3C4F4F6G5E6B4C6C5G4G6F3B3B5E3G3A5H4H5,2.0,2.0,83.0,,,,
