,num4black,num4white,0,1,2,3,4,5
F5,9.0,5.0,1.0,,,,,
F5D6,9.0,5.0,2.0,,,,,
F5D6C3,9.0,5.0,3.0,,,,,
F5D6C3D3,9.0,5.0,4.0,,,,,
F5D6C3D3C4,9.0,5.0,5.0,,,,,
F5D6C3D3C4F4,9.0,5.0,6.0,,,,,
F5D6C3D3C4F4F6,9.0,5.0,7.0,,,,,
F5D6C3D3C4F4F6G5,9.0,5.0,8.0,,,,,
F5D6C3D3C4F4F6G5E6,9.0,5.0,9.0,,,,,
F5D6C3D3C4F4F6G5E6C5,9.0,5.0,10.0,,,,,
F5D6C3D3C4F4F6G5E6C5F3,9.0,5.0,11.0,,,,,
F5D6C3D3C4F4F6G5E6C5F3B5,9.0,5.0,12.0,,,,,
F5D6C3D3C4F4F6G5E6C5F3B5B4,9.0,5.0,13.0,,,,,
F5D6C3D3C4F4F6G5E6C5F3B5B4F7,9.0,5.0,14.0,,,,,
F5D6C3D3C4F4F6G5E6C5F3B5B4F7E3,9.0,5.0,15.0,,,,,
F5D6C3D3C4F4F6G5E6C5F3B5B4F7E3E7,9.0,5.0,16.0,,,,,
F5D6C3D3C4F4F6G5E6C5F3B5B4F7E3E7H5,9.0,5.0,17.0,,,,,
F5D6C3D3C4F4F6G5E6C5F3B5B4F7E3E7H5G4,9.0,5.0,18.0,189.0,,,,
F5D6C3D3C4F4F6G5E6C5F3B5B4F7E3E7H5G4H4,10.0,4.0,19.0,,,,,
F5D6C3D3C4F4F6G5E6C5F3B5B4F7E3E7H5G4H4A3,10.0,4.0,20.0,,,,,
F5D6C3D3C4F4F6G5E6C5F3B5B4F7E3E7H5G4H4A3B6,10.0,4.0,21.0,37.0,,,,
F5D6C3D3C4F4F6G5E6C5F3B5B4F7E3E7H5G4H4A3B6C2,8.0,4.0,22.0,,,,,
F5D6C3D3C4F4F6G5E6C5F3B5B4F7E3E7H5G4H4A3B6C2C6,8.0,4.0,23.0,74.0,175.0,,,
F5D6C3D3C4F4F6G5E6C5F3B5B4F7E3E7H5G4H4A3B6C2C6D7,6.0,4.0,24.0,217.0,,,,
F5D6C3D3C4F4F6G5E6C5F3B5B4F7E3E7H5G4H4A3B6C2C6D7D2,10.0,2.0,25.0,,,,,
F5D6C3D3C4F4F6G5E6C5F3B5B4F7E3E7H5G4H4A3B6C2C6D7D2A6,10.0,2.0,26.0,879.0,,,,
F5D6C3D3C4F4F6G5E6C5F3B5B4F7E3E7H5G4H4A3B6C2C6D7D2A6C7,15.0,1.0,27.0,648.0,,,,
F5D6C3D3C4F4F6G5E6C5F3B5B4F7E3E7H5G4H4A3B6C2C6D7D2A6C7D8,7.0,1.0,28.0,,,,,
