,num4black,num4white,0,1,2,3
F5,3.0,4.0,1.0,,,
F5D6,3.0,4.0,2.0,,,
F5D6C3,3.0,4.0,3.0,,,
F5D6C3D3,3.0,4.0,4.0,,,
F5D6C3D3C4,3.0,4.0,5.0,,,
F5D6C3D3C4F4,3.0,4.0,6.0,,,
F5D6C3D3C4F4F6,3.0,4.0,7.0,,,
F5D6C3D3C4F4F6G5,3.0,4.0,8.0,,,
F5D6C3D3C4F4F6G5E6,3.0,4.0,9.0,,,
F5D6C3D3C4F4F6G5E6C5,3.0,4.0,10.0,,,
F5D6C3D3C4F4F6G5E6C5F3,3.0,4.0,11.0,,,
F5D6C3D3C4F4F6G5E6C5F3E3,3.0,4.0,12.0,,,
F5D6C3D3C4F4F6G5E6C5F3E3G4,3.0,4.0,13.0,,,
F5D6C3D3C4F4F6G5E6C5F3E3G4E7,3.0,4.0,14.0,,,
F5D6C3D3C4F4F6G5E6C5F3E3G4E7E2,3.0,4.0,15.0,,,
F5D6C3D3C4F4F6G5E6C5F3E3G4E7E2D2,3.0,4.0,16.0,,,
F5D6C3D3C4F4F6G5E6C5F3E3G4E7E2D2C6,3.0,4.0,17.0,,,
F5D6C3D3C4F4F6G5E6C5F3E3G4E7E2D2C6H4,3.0,4.0,18.0,,,
F5D6C3D3C4F4F6G5E6C5F3E3G4E7E2D2C6H4H3,3.0,4.0,19.0,,,
F5D6C3D3C4F4F6G5E6C5F3E3G4E7E2D2C6H4H3H2,3.0,4.0,20.0,,,
F5D6C3D3C4F4F6G5E6C5F3E3G4E7E2D2C6H4H3H2F2,3.0,4.0,21.0,,,
F5D6C3D3C4F4F6G5E6C5F3E3G4E7E2D2C6H4H3H2F2G3,3.0,4.0,22.0,,,
F5D6C3D3C4F4F6G5E6C5F3E3G4E7E2D2C6H4H3H2F2G3D1,3.0,4.0,23.0,,,
F5D6C3D3C4F4F6G5E6C5F3E3G4E7E2D2C6H4H3H2F2G3D1F1,3.0,4.0,24.0,,,
F5D6C3D3C4F4F6G5E6C5F3E3G4E7E2D2C6H4H3H2F2G3D1F1H6,3.0,4.0,25.0,,,
F5D6C3D3C4F4F6G5E6C5F3E3G4E7E2D2C6H4H3H2F2G3D1F1H6E1,3.0,4.0,26.0,,,
F5D6C3D3C4F4F6G5E6C5F3E3G4E7E2D2C6H4H3H2F2G3D1F1H6E1G1,3.0,4.0,27.0,,,
F5D6C3D3C4F4F6G5E6C5F3E3G4E7E2D2C6H4H3H2F2G3D1F1H6E1G1B6,3.0,4.0,28.0,40.0,,
F5D6C3D3C4F4F6G5E6C5F3E3G4E7E2D2C6H4H3H2F2G3D1F1H6E1G1B6D7,3.0,3.0,29.0,,,
F5D6C3D3C4F4F6G5E6C5F3E3G4E7E2D2C6H4H3H2F2G3D1F1H6E1G1B6D7G6,3.0,3.0,30.0,,,
F5D6C3D3C4F4F6G5E6C5F3E3G4E7E2D2C6H4H3H2F2G3D1F1H6E1G1B6D7G6C7,3.0,3.0,31.0,,,
F5D6C3D3C4F4F6G5E6C5F3E3G4E7E2D2C6H4H3H2F2G3D1F1H6E1G1B6D7G6C7B5,3.0,3.0,32.0,67.0,145.0,
