,num4black,num4white,0,1,2,3,4
F5,1.0,10.0,1.0,,,,
F5D6,1.0,10.0,2.0,,,,
F5D6C3,1.0,10.0,3.0,,,,
F5D6C3D3,1.0,10.0,4.0,,,,
F5D6C3D3C4,1.0,10.0,5.0,,,,
F5D6C3D3C4F4,1.0,10.0,6.0,,,,
F5D6C3D3C4F4F6,1.0,10.0,7.0,,,,
F5D6C3D3C4F4F6G5,1.0,10.0,8.0,,,,
F5D6C3D3C4F4F6G5E6,1.0,10.0,9.0,,,,
F5D6C3D3C4F4F6G5E6D7,1.0,10.0,10.0,,,,
F5D6C3D3C4F4F6G5E6D7C7,1.0,10.0,11.0,,,,
F5D6C3D3C4F4F6G5E6D7C7G6,1.0,10.0,12.0,,,,
F5D6C3D3C4F4F6G5E6D7C7G6E3,1.0,10.0,13.0,,,,
F5D6C3D3C4F4F6G5E6D7C7G6E3C6,1.0,10.0,14.0,,,,
F5D6C3D3C4F4F6G5E6D7C7G6E3C6C5,1.0,10.0,15.0,,,,
F5D6C3D3C4F4F6G5E6D7C7G6E3C6C5B6,1.0,10.0,16.0,37.0,375.0,,
F5D6C3D3C4F4F6G5E6D7C7G6E3C6C5B6F7,1.0,6.0,17.0,,,,
F5D6C3D3C4F4F6G5E6D7C7G6E3C6C5B6F7F3,1.0,6.0,18.0,77.0,,,
F5D6C3D3C4F4F6G5E6D7C7G6E3C6C5B6F7F3E7,4.0,2.0,19.0,111.0,1295.0,,
F5D6C3D3C4F4F6G5E6D7C7G6E3C6C5B6F7F3E7B4,1.0,5.0,20.0,358.0,,,
F5D6C3D3C4F4F6G5E6D7C7G6E3C6C5B6F7F3E7B4B5,5.0,3.0,21.0,188.0,,,
F5D6C3D3C4F4F6G5E6D7C7G6E3C6C5B6F7F3E7B4B5F2,1.0,13.0,22.0,96.0,,,
F5D6C3D3C4F4F6G5E6D7C7G6E3C6C5B6F7F3E7B4B5F2H6,3.0,3.0,23.0,,,,
F5D6C3D3C4F4F6G5E6D7C7G6E3C6C5B6F7F3E7B4B5F2H6C2,3.0,3.0,24.0,,,,
F5D6C3D3C4F4F6G5E6D7C7G6E3C6C5B6F7F3E7B4B5F2H6C2B3,3.0,3.0,25.0,,,,
F5D6C3D3C4F4F6G5E6D7C7G6E3C6C5B6F7F3E7B4B5F2H6C2B3A3,3.0,3.0,26.0,,,,
F5D6C3D3C4F4F6G5E6D7C7G6E3C6C5B6F7F3E7B4B5F2H6C2B3A3A5,3.0,3.0,27.0,,,,
F5D6C3D3C4F4F6G5E6D7C7G6E3C6C5B6F7F3E7B4B5F2H6C2B3A3A5A4,3.0,3.0,28.0,,,,
F5D6C3D3C4F4F6G5E6D7C7G6E3C6C5B6F7F3E7B4B5F2H6C2B3A3A5A4A2,3.0,3.0,29.0,129.0,,,
F5D6C3D3C4F4F6G5E6D7C7G6E3C6C5B6F7F3E7B4B5F2H6C2B3A3A5A4A2F8,1.0,5.0,30.0,137.0,351.0,,
F5D6C3D3C4F4F6G5E6D7C7G6E3C6C5B6F7F3E7B4B5F2H6C2B3A3A5A4A2F8E8,1.0,3.0,31.0,,,,
F5D6C3D3C4F4F6G5E6D7C7G6E3C6C5B6F7F3E7B4B5F2H6C2B3A3A5A4A2F8E8D8,1.0,3.0,32.0,,,,
F5D6C3D3C4F4F6G5E6D7C7G6E3C6C5B6F7F3E7B4B5F2H6C2B3A3A5A4A2F8E8D8C8,1.0,3.0,33.0,,,,
F5D6C3D3C4F4F6G5E6D7C7G6E3C6C5B6F7F3E7B4B5F2H6C2B3A3A5A4A2F8E8D8C8B8,1.0,3.0,34.0,1505.0,1894.0,,
