,num4black,num4white,0,1,2,3,4,5
F5,1.0,13.0,1.0,,,,,
F5D6,1.0,13.0,2.0,,,,,
F5D6C3,1.0,13.0,3.0,,,,,
F5D6C3D3,1.0,13.0,4.0,,,,,
F5D6C3D3C4,1.0,13.0,5.0,,,,,
F5D6C3D3C4F4,1.0,13.0,6.0,,,,,
F5D6C3D3C4F4F6,1.0,13.0,7.0,,,,,
F5D6C3D3C4F4F6G5,1.0,13.0,8.0,,,,,
F5D6C3D3C4F4F6G5E6,1.0,13.0,9.0,,,,,
F5D6C3D3C4F4F6G5E6D7,1.0,13.0,10.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3,1.0,13.0,11.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5,1.0,13.0,12.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6,1.0,13.0,13.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3,1.0,13.0,14.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4,1.0,13.0,15.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6,1.0,13.0,16.0,38.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3,1.0,10.0,17.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5,1.0,10.0,18.0,84.0,369.0,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7,5.0,2.0,19.0,59.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3,4.0,3.0,20.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6,4.0,3.0,21.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2,4.0,3.0,22.0,30.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2A5,8.0,2.0,23.0,52.0,77.0,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2A5B4,1.0,5.0,24.0,111.0,425.0,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2A5B4A4,3.0,1.0,25.0,837.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2A5B4A4F2,2.0,2.0,26.0,225.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2A5B4A4F2D2,7.0,1.0,27.0,363.0,727.0,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2A5B4A4F2D2D8,1.0,3.0,28.0,403.0,790.0,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2A5B4A4F2D2D8F8,1.0,1.0,29.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2A5B4A4F2D2D8F8H5,1.0,1.0,,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2B4,4.0,1.0,31.0,100.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2B4F2,3.0,1.0,32.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2B4F2D2,3.0,1.0,33.0,604.0,842.0,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2B4F2D2H5,1.0,1.0,34.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2B4F2D2H5H3,1.0,1.0,35.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2B4F2D2H5H3H4,1.0,1.0,36.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2B4F2D2H5H3H4F7,1.0,1.0,37.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2B4F2D2H5H3H4F7H2,1.0,1.0,,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6C6,3.0,3.0,39.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6C6G3,3.0,3.0,40.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6C6G3H3,3.0,3.0,41.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6C6G3H3F2,3.0,3.0,42.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6C6G3H3F2C7,3.0,3.0,43.0,140.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6C6G3H3F2C7E2,1.0,6.0,44.0,158.0,177.0,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6C6G3H3F2C7E2H5,5.0,1.0,45.0,277.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6C6G3H3F2C7E2H5H6,1.0,8.0,46.0,349.0,800.0,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6C6G3H3F2C7E2H5H6H4,1.0,6.0,47.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6C6G3H3F2C7E2H5H6H4H2,1.0,6.0,48.0,70.0,107.0,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6C6G3H3F2C7E2H5H6H4H2E8,2.0,1.0,49.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6C6G3H3F2C7E2H5H6H4H2E8C2,2.0,1.0,50.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6C6G3H3F2C7E2H5H6H4H2E8C2D2,2.0,1.0,51.0,815.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6C6G3H3F2C7E2H5H6H4H2E8C2D2B4,1.0,1.0,,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2A5F2,4.0,3.0,53.0,195.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2A5F2D2,8.0,1.0,54.0,233.0,312.0,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2A5F2D2H4,5.0,3.0,55.0,270.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2A5F2D2H4H5,5.0,2.0,56.0,74.0,242.0,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2A5F2D2H4H5A4,1.0,2.0,57.0,849.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2A5F2D2H4H5A4D8,2.0,1.0,58.0,787.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2A5F2D2H4H5A4D8C8,1.0,1.0,,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7F8,1.0,2.0,60.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7F8C6,1.0,2.0,61.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7F8C6F2,1.0,2.0,62.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7F8C6F2C8,1.0,2.0,63.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7F8C6F2C8H5,1.0,2.0,64.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7F8C6F2C8H5H4,1.0,2.0,65.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7F8C6F2C8H5H4D2,1.0,2.0,66.0,566.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7F8C6F2C8H5H4D2E8,2.0,1.0,67.0,717.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7F8C6F2C8H5H4D2E8C7,1.0,2.0,68.0,400.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7F8C6F2C8H5H4D2E8C7A6,2.0,1.0,69.0,663.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7F8C6F2C8H5H4D2E8C7A6D8,1.0,1.0,,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6C6G3H3F2C7E2H5H6H4H2D8,1.0,3.0,71.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6C6G3H3F2C7E2H5H6H4H2D8C2,1.0,3.0,72.0,595.0,833.0,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6C6G3H3F2C7E2H5H6H4H2D8C2E7,2.0,1.0,73.0,251.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6C6G3H3F2C7E2H5H6H4H2D8C2E7B3,1.0,1.0,,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2A5F2D2H4H5E8,1.0,6.0,75.0,170.0,492.0,590.0,592.0,807.0
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2A5F2D2H4H5E8H3,3.0,1.0,76.0,517.0,780.0,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2A5F2D2H4H5E8H3H6,1.0,1.0,,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2A5E2,3.0,2.0,78.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2A5E2F7,3.0,2.0,79.0,300.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5B6F3G4G6G3B5E7B3C6C2A5E2F7D8,1.0,4.0,80.0,96.0,432.0,,,
