,num4black,num4white,0,1,2,3,4
F5,2.0,15.0,1.0,,,,
F5D6,2.0,15.0,2.0,,,,
F5D6C3,2.0,15.0,3.0,,,,
F5D6C3D3,2.0,15.0,4.0,,,,
F5D6C3D3C4,2.0,15.0,5.0,,,,
F5D6C3D3C4F4,2.0,15.0,6.0,,,,
F5D6C3D3C4F4F6,2.0,15.0,7.0,,,,
F5D6C3D3C4F4F6G5,2.0,15.0,8.0,,,,
F5D6C3D3C4F4F6G5E6,2.0,15.0,9.0,,,,
F5D6C3D3C4F4F6G5E6D7,2.0,15.0,10.0,,,,
F5D6C3D3C4F4F6G5E6D7E3,2.0,15.0,11.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5,2.0,15.0,12.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F7,2.0,15.0,13.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7,2.0,15.0,14.0,30.0,76.0,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7C6,2.0,12.0,15.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7C6B6,2.0,12.0,16.0,46.0,216.0,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7C6B6E8,2.0,2.0,17.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7C6B6E8B5,2.0,2.0,18.0,379.0,,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7C6B6E8B5G4,13.0,1.0,19.0,112.0,135.0,234.0,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7C6B6E8B5G4D8,6.0,3.0,20.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7C6B6E8B5G4D8C8,6.0,3.0,21.0,146.0,,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7C6B6E8B5G4D8C8C7,4.0,3.0,22.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7C6B6E8B5G4D8C8C7B8,4.0,3.0,23.0,92.0,,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7C6B6E8B5G4D8C8C7B8G8,1.0,3.0,24.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7C6B6E8B5G4D8C8C7B8G8H5,1.0,3.0,25.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7C6B6E8B5G4D8C8C7B8G8H5B3,1.0,3.0,26.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7C6B6E8B5G4D8C8C7B8G8H5B3B4,1.0,3.0,27.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7C6B6E8B5G4D8C8C7B8G8H5B3B4F2,1.0,3.0,28.0,73.0,775.0,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7C6B6E8B5G4D8C8C7B8G8H5B3B4F2A3,5.0,1.0,29.0,276.0,525.0,736.0,958.0
F5D6C3D3C4F4F6G5E6D7E3C5F7E7C6B6E8B5G4D8C8C7B8G8H5B3B4F2A3C2,1.0,1.0,,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7G6,30.0,1.0,31.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7G6G4,30.0,1.0,32.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7G6G4B5,30.0,1.0,33.0,60.0,,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7G6G4B5H6,8.0,2.0,34.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7G6G4B5H6E8,8.0,2.0,35.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7G6G4B5H6E8D8,8.0,2.0,36.0,163.0,,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7G6G4B5H6E8D8C8,10.0,1.0,37.0,282.0,,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7G6G4B5H6E8D8C8C7,5.0,1.0,38.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7G6G4B5H6E8D8C8C7B6,5.0,1.0,39.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7G6G4B5H6E8D8C8C7B6F8,5.0,1.0,40.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7G6G4B5H6E8D8C8C7B6F8G8,5.0,1.0,41.0,344.0,,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7G6G4B5H6E8D8C8C7B6F8G8B7,4.0,1.0,42.0,,,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7G6G4B5H6E8D8C8C7B6F8G8B7G7,4.0,1.0,43.0,250.0,374.0,,
F5D6C3D3C4F4F6G5E6D7E3C5F7E7G6G4B5H6E8D8C8C7B6F8G8B7G7E2,2.0,1.0,44.0,,,,
