,num4black,num4white,0,1,2,3
F5,2.0,9.0,1.0,,,
F5D6,2.0,9.0,2.0,,,
F5D6C3,2.0,9.0,3.0,,,
F5D6C3D3,2.0,9.0,4.0,,,
F5D6C3D3C4,2.0,9.0,5.0,,,
F5D6C3D3C4F4,2.0,9.0,6.0,,,
F5D6C3D3C4F4F6,2.0,9.0,7.0,,,
F5D6C3D3C4F4F6G5,2.0,9.0,8.0,,,
F5D6C3D3C4F4F6G5E6,2.0,9.0,9.0,,,
F5D6C3D3C4F4F6G5E6D7,2.0,9.0,10.0,,,
F5D6C3D3C4F4F6G5E6D7F7,2.0,9.0,11.0,56.0,,
F5D6C3D3C4F4F6G5E6D7F7E7,1.0,36.0,12.0,75.0,,
F5D6C3D3C4F4F6G5E6D7F7E7C6,1.0,12.0,13.0,,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3,1.0,12.0,14.0,30.0,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3F8,1.0,11.0,15.0,,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3F8E8,1.0,11.0,16.0,132.0,189.0,350.0
F5D6C3D3C4F4F6G5E6D7F7E7C6E3F8E8F2,8.0,1.0,17.0,45.0,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3F8E8F2E2,7.0,1.0,18.0,,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3F8E8F2E2G6,7.0,1.0,19.0,,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3F8E8F2E2G6C7,7.0,1.0,20.0,,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3F8E8F2E2G6C7H4,7.0,1.0,21.0,224.0,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3F8E8F2E2G6C7H4G8,6.0,1.0,22.0,,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3F8E8F2E2G6C7H4G8G4,6.0,1.0,23.0,102.0,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3F8E8F2E2G6C7H4G8G4C5,2.0,1.0,24.0,,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3F8E8F2E2G6C7H4G8G4C5C2,2.0,1.0,25.0,,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3F8E8F2E2G6C7H4G8G4C5C2F3,2.0,1.0,26.0,,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3F8E8F2E2G6C7H4G8G4C5C2F3F1,2.0,1.0,27.0,346.0,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3F8E8F2E2G6C7H4G8G4C5C2F3F1D2,1.0,1.0,28.0,,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3F8E8F2E2G6C7H4G8G4C5C2F3F1D2E1,1.0,1.0,29.0,,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3F8E8F2E2G6C7H4G8G4C5C2F3F1D2E1H3,1.0,1.0,,,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3D8,3.0,1.0,31.0,93.0,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3D8F8,1.0,6.0,32.0,,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3D8F8D2,1.0,6.0,33.0,,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3D8F8D2C5,1.0,6.0,34.0,254.0,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3D8F8D2C5F3,1.0,5.0,35.0,,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3D8F8D2C5F3C8,1.0,5.0,36.0,,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3D8F8D2C5F3C8E8,1.0,5.0,37.0,,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3D8F8D2C5F3C8E8B6,1.0,5.0,38.0,551.0,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3D8F8D2C5F3C8E8B6C7,1.0,4.0,39.0,,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3D8F8D2C5F3C8E8B6C7B5,1.0,4.0,40.0,394.0,509.0,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3D8F8D2C5F3C8E8B6C7B5A4,1.0,2.0,41.0,,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3D8F8D2C5F3C8E8B6C7B5A4A5,1.0,2.0,42.0,,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3D8F8D2C5F3C8E8B6C7B5A4A5A6,1.0,2.0,43.0,,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3D8F8D2C5F3C8E8B6C7B5A4A5A6E2,1.0,2.0,44.0,344.0,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3D8F8D2C5F3C8E8B6C7B5A4A5A6E2B4,1.0,1.0,,,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3F8E8F2C5,1.0,2.0,46.0,,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3F8E8F2C5C7,1.0,2.0,47.0,,,
F5D6C3D3C4F4F6G5E6D7F7E7C6E3F8E8F2C5C7D8,1.0,2.0,48.0,,,
