,num4black,num4white,0,1,2,3,4
F5,6.0,6.0,1.0,,,,
F5D6,6.0,6.0,2.0,,,,
F5D6C4,6.0,6.0,3.0,,,,
F5D6C4D3,6.0,6.0,4.0,,,,
F5D6C4D3E6,6.0,6.0,5.0,,,,
F5D6C4D3E6F4,6.0,6.0,6.0,,,,
F5D6C4D3E6F4E3,6.0,6.0,7.0,,,,
F5D6C4D3E6F4E3F3,6.0,6.0,8.0,,,,
F5D6C4D3E6F4E3F3C6,6.0,6.0,9.0,,,,
F5D6C4D3E6F4E3F3C6F6,6.0,6.0,10.0,,,,
F5D6C4D3E6F4E3F3C6F6G5,6.0,6.0,11.0,,,,
F5D6C4D3E6F4E3F3C6F6G5G6,6.0,6.0,12.0,30.0,,,
F5D6C4D3E6F4E3F3C6F6G5G6E7,6.0,5.0,13.0,48.0,,,
F5D6C4D3E6F4E3F3C6F6G5G6E7G4,3.0,9.0,14.0,65.0,303.0,842.0,
F5D6C4D3E6F4E3F3C6F6G5G6E7G4C3,3.0,5.0,15.0,,,,
F5D6C4D3E6F4E3F3C6F6G5G6E7G4C3F7,3.0,5.0,16.0,,,,
F5D6C4D3E6F4E3F3C6F6G5G6E7G4C3F7D2,3.0,5.0,17.0,,,,
F5D6C4D3E6F4E3F3C6F6G5G6E7G4C3F7D2C5,3.0,5.0,18.0,104.0,,,
F5D6C4D3E6F4E3F3C6F6G5G6E7G4C3F7D2C5E2,5.0,2.0,19.0,,,,
F5D6C4D3E6F4E3F3C6F6G5G6E7G4C3F7D2C5E2F2,5.0,2.0,20.0,,,,
F5D6C4D3E6F4E3F3C6F6G5G6E7G4C3F7D2C5E2F2G3,5.0,2.0,21.0,,,,
F5D6C4D3E6F4E3F3C6F6G5G6E7G4C3F7D2C5E2F2G3H4,5.0,2.0,22.0,203.0,,,
F5D6C4D3E6F4E3F3C6F6G5G6E7G4C3F7D2C5E2F2G3H4F1,6.0,1.0,23.0,,,,
F5D6C4D3E6F4E3F3C6F6G5G6E7G4C3F7D2C5E2F2G3H4F1D8,6.0,1.0,24.0,,,,
F5D6C4D3E6F4E3F3C6F6G5G6E7G4C3F7D2C5E2F2G3H4F1D8E8,6.0,1.0,25.0,,,,
F5D6C4D3E6F4E3F3C6F6G5G6E7G4C3F7D2C5E2F2G3H4F1D8E8F8,6.0,1.0,26.0,,,,
F5D6C4D3E6F4E3F3C6F6G5G6E7G4C3F7D2C5E2F2G3H4F1D8E8F8B5,6.0,1.0,27.0,749.0,977.0,1028.0,
F5D6C4D3E6F4E3F3C6F6G5G6E7G4C3F7D2C5E2F2G3H4F1D8E8F8B5C1,2.0,2.0,28.0,1082.0,,,
F5D6C4D3E6F4E3F3C6F6G5G6E7G4C3F7D2C5E2F2G3H4F1D8E8F8B5C1C2,2.0,1.0,29.0,351.0,,,
F5D6C4D3E6F4E3F3C6F6G5G6E7G4C3F7D2C5E2F2G3H4F1D8E8F8B5C1C2B1,1.0,1.0,,,,,
F5D6C4D3E6F4E3F3C6F6G5G6C3,21.0,1.0,31.0,78.0,116.0,,
F5D6C4D3E6F4E3F3C6F6G5G6C3H6,15.0,1.0,32.0,,,,
F5D6C4D3E6F4E3F3C6F6G5G6C3H6D2,15.0,1.0,33.0,232.0,,,
F5D6C4D3E6F4E3F3C6F6G5G6C3H6D2E7,4.0,1.0,34.0,,,,
F5D6C4D3E6F4E3F3C6F6G5G6C3H6D2E7F8,4.0,1.0,35.0,131.0,,,
F5D6C4D3E6F4E3F3C6F6G5G6C3H6D2E7F8C5,3.0,1.0,36.0,,,,
F5D6C4D3E6F4E3F3C6F6G5G6C3H6D2E7F8C5F7,3.0,1.0,37.0,,,,
