,num4black,num4white,0,1,2,3,4
F5,2.0,16.0,1.0,,,,
F5D6,2.0,16.0,2.0,,,,
F5D6C5,2.0,16.0,3.0,,,,
F5D6C5F4,2.0,16.0,4.0,,,,
F5D6C5F4D3,2.0,16.0,5.0,,,,
F5D6C5F4D3E3,2.0,16.0,6.0,,,,
F5D6C5F4D3E3G4,2.0,16.0,7.0,,,,
F5D6C5F4D3E3G4G5,2.0,16.0,8.0,30.0,,,
F5D6C5F4D3E3G4G5E2,4.0,5.0,9.0,,,,
F5D6C5F4D3E3G4G5E2C4,4.0,5.0,10.0,,,,
F5D6C5F4D3E3G4G5E2C4F3,4.0,5.0,11.0,,,,
F5D6C5F4D3E3G4G5E2C4F3E6,4.0,5.0,12.0,99.0,719.0,,
F5D6C5F4D3E3G4G5E2C4F3E6F6,6.0,2.0,13.0,67.0,150.0,,
F5D6C5F4D3E3G4G5E2C4F3E6F6H3,2.0,5.0,14.0,,,,
F5D6C5F4D3E3G4G5E2C4F3E6F6H3G6,2.0,5.0,15.0,316.0,,,
F5D6C5F4D3E3G4G5E2C4F3E6F6H3G6G3,1.0,5.0,16.0,,,,
F5D6C5F4D3E3G4G5E2C4F3E6F6H3G6G3H6,1.0,5.0,17.0,,,,
F5D6C5F4D3E3G4G5E2C4F3E6F6H3G6G3H6H5,1.0,5.0,18.0,,,,
F5D6C5F4D3E3G4G5E2C4F3E6F6H3G6G3H6H5C7,1.0,5.0,19.0,,,,
F5D6C5F4D3E3G4G5E2C4F3E6F6H3G6G3H6H5C7D7,1.0,5.0,20.0,,,,
F5D6C5F4D3E3G4G5E2C4F3E6F6H3G6G3H6H5C7D7C6,1.0,5.0,21.0,,,,
F5D6C5F4D3E3G4G5E2C4F3E6F6H3G6G3H6H5C7D7C6E7,1.0,5.0,22.0,827.0,1112.0,,
F5D6C5F4D3E3G4G5E2C4F3E6F6H3G6G3H6H5C7D7C6E7B3,1.0,3.0,23.0,,,,
F5D6C5F4D3E3G4G5E2C4F3E6F6H3G6G3H6H5C7D7C6E7B3B5,1.0,3.0,24.0,605.0,,,
F5D6C5F4D3E3G4G5E2C4F3E6F6H3G6G3H6H5C7D7C6E7B3B5F8,1.0,2.0,25.0,,,,
F5D6C5F4D3E3G4G5E2C4F3E6F6H3G6G3H6H5C7D7C6E7B3B5F8E8,1.0,2.0,26.0,1474.0,,,
F5D6C5F4D3E3G4G5E2C4F3E6F6H3G6G3H6H5C7D7C6E7B3B5F8E8D8,4.0,1.0,27.0,817.0,1187.0,,
F5D6C5F4D3E3G4G5E2C4F3E6F6H3G6G3H6H5C7D7C6E7B3B5F8E8D8F7,1.0,2.0,28.0,486.0,,,
