,num4black,num4white,0,1,2,3
F5,6.0,3.0,1.0,,,
F5D6,6.0,3.0,2.0,,,
F5D6C5,6.0,3.0,3.0,,,
F5D6C5F4,6.0,3.0,4.0,,,
F5D6C5F4D3,6.0,3.0,5.0,,,
F5D6C5F4D3E3,6.0,3.0,6.0,,,
F5D6C5F4D3E3G4,6.0,3.0,7.0,,,
F5D6C5F4D3E3G4G3,6.0,3.0,8.0,29.0,,
F5D6C5F4D3E3G4G3E2,14.0,1.0,9.0,47.0,92.0,
F5D6C5F4D3E3G4G3E2H4,5.0,2.0,10.0,523.0,,
F5D6C5F4D3E3G4G3E2H4F3,22.0,1.0,11.0,683.0,,
F5D6C5F4D3E3G4G3E2H4F3G5,21.0,1.0,12.0,,,
F5D6C5F4D3E3G4G3E2H4F3G5E6,21.0,1.0,13.0,202.0,,
F5D6C5F4D3E3G4G3E2H4F3G5E6F6,14.0,1.0,14.0,,,
F5D6C5F4D3E3G4G3E2H4F3G5E6F6G6,14.0,1.0,15.0,657.0,,
F5D6C5F4D3E3G4G3E2H4F3G5E6F6G6F2,7.0,1.0,16.0,,,
F5D6C5F4D3E3G4G3E2H4F3G5E6F6G6F2H3,7.0,1.0,17.0,441.0,728.0,
F5D6C5F4D3E3G4G3E2H4F3G5E6F6G6F2H3C2,2.0,2.0,18.0,,,
F5D6C5F4D3E3G4G3E2H4F3G5E6F6G6F2H3C2C3,2.0,2.0,19.0,,,
F5D6C5F4D3E3G4G3E2H4F3G5E6F6G6F2H3C2C3D1,2.0,2.0,20.0,,,
F5D6C5F4D3E3G4G3E2H4F3G5E6F6G6F2H3C2C3D1H5,2.0,2.0,21.0,230.0,,
F5D6C5F4D3E3G4G3E2H4F3G5E6F6G6F2H3C2C3D1H5C6,1.0,2.0,22.0,,,
F5D6C5F4D3E3G4G3E2H4F3G5E6F6G6F2H3C2C3D1H5C6F7,1.0,2.0,23.0,,,
F5D6C5F4D3E3G4G3E2H4F3G5E6F6G6F2H3C2C3D1H5C6F7D2,1.0,2.0,24.0,,,
F5D6C5F4D3E3G4G3E2H4F3G5E6F6G6F2H3C2C3D1H5C6F7D2D7,1.0,2.0,25.0,,,
F5D6C5F4D3E3G4G3E2H4F3G5E6F6G6F2H3C2C3D1H5C6F7D2D7B5,1.0,2.0,26.0,,,
F5D6C5F4D3E3G4G3E2H4F3G5E6F6G6F2H3C2C3D1H5C6F7D2D7B5C7,1.0,2.0,27.0,,,
F5D6C5F4D3E3G4G3E2H4F3G5E6F6G6F2H3C2C3D1H5C6F7D2D7B5C7C4,1.0,2.0,28.0,741.0,,
F5D6C5F4D3E3G4G3E2H4F3G5E6F6G6F2H3C2C3D1H5C6F7D2D7B5C7C4B6,1.0,1.0,,,,
F5D6C5F4D3E3G4G3E6,6.0,2.0,30.0,182.0,,
F5D6C5F4D3E3G4G3E6H4,5.0,2.0,31.0,111.0,,
F5D6C5F4D3E3G4G3E6H4F2,12.0,1.0,32.0,,,
F5D6C5F4D3E3G4G3E6H4F2F6,12.0,1.0,33.0,,,
F5D6C5F4D3E3G4G3E6H4F2F6G6,12.0,1.0,34.0,131.0,,
F5D6C5F4D3E3G4G3E6H4F2F6G6C3,2.0,4.0,35.0,148.0,,
F5D6C5F4D3E3G4G3E6H4F2F6G6C3E7,7.0,1.0,36.0,,,
F5D6C5F4D3E3G4G3E6H4F2F6G6C3E7F3,7.0,1.0,37.0,,,
F5D6C5F4D3E3G4G3E6H4F2F6G6C3E7F3C4,7.0,1.0,38.0,,,
F5D6C5F4D3E3G4G3E6H4F2F6G6C3E7F3C4B4,7.0,1.0,39.0,,,
F5D6C5F4D3E3G4G3E6H4F2F6G6C3E7F3C4B4A3,7.0,1.0,40.0,159.0,,
F5D6C5F4D3E3G4G3E6H4F2F6G6C3E7F3C4B4A3C7,2.0,2.0,41.0,789.0,,
F5D6C5F4D3E3G4G3E6H4F2F6G6C3E7F3C4B4A3C7C6,3.0,1.0,42.0,,,
F5D6C5F4D3E3G4G3E6H4F2F6G6C3E7F3C4B4A3C7C6G5,3.0,1.0,43.0,,,
F5D6C5F4D3E3G4G3E6H4F2F6G6C3E7F3C4B4A3C7C6G5H5,3.0,1.0,44.0,,,
F5D6C5F4D3E3G4G3E6H4F2F6G6C3E7F3C4B4A3C7C6G5H5D7,3.0,1.0,45.0,,,
F5D6C5F4D3E3G4G3E6H4F2F6G6C3E7F3C4B4A3C7C6G5H5D7F7,3.0,1.0,46.0,262.0,,
F5D6C5F4D3E3G4G3E6H4F2F6G6C3E7F3C4B4A3C7C6G5H5D7F7E8,1.0,1.0,,,,
F5D6C5F4D3E3G4G3E2F6,8.0,1.0,48.0,,,
F5D6C5F4D3E3G4G3E2F6E6,8.0,1.0,49.0,66.0,,
F5D6C5F4D3E3G4G3E2F6E6C3,6.0,1.0,50.0,,,
F5D6C5F4D3E3G4G3E2F6E6C3F3,6.0,1.0,51.0,,,
F5D6C5F4D3E3G4G3E2F6E6C3F3H4,6.0,1.0,52.0,,,
F5D6C5F4D3E3G4G3E2F6E6C3F3H4G5,6.0,1.0,53.0,,,
F5D6C5F4D3E3G4G3E2F6E6C3F3H4G5C6,6.0,1.0,54.0,,,
F5D6C5F4D3E3G4G3E2F6E6C3F3H4G5C6C4,6.0,1.0,55.0,399.0,,
F5D6C5F4D3E3G4G3E2F6E6C3F3H4G5C6C4B5,4.0,2.0,56.0,544.0,,
F5D6C5F4D3E3G4G3E2F6E6C3F3H4G5C6C4B5G6,5.0,1.0,57.0,424.0,,
F5D6C5F4D3E3G4G3E2F6E6C3F3H4G5C6C4B5G6H5,2.0,2.0,58.0,,,
F5D6C5F4D3E3G4G3E2F6E6C3F3H4G5C6C4B5G6H5D7,2.0,2.0,59.0,,,
F5D6C5F4D3E3G4G3E2F6E6C3F3H4G5C6C4B5G6H5D7C7,2.0,2.0,60.0,324.0,,
F5D6C5F4D3E3G4G3E2F6E6C3F3H4G5C6C4B5G6H5D7C7B6,2.0,1.0,61.0,,,
F5D6C5F4D3E3G4G3E2F6E6C3F3H4G5C6C4B5G6H5D7C7B6F2,2.0,1.0,62.0,,,
F5D6C5F4D3E3G4G3E2F6E6C3F3H4G5C6C4B5G6H5D7C7B6F2H6,2.0,1.0,63.0,,,
F5D6C5F4D3E3G4G3E2F6E6C3F3H4G5C6C4B5G6H5D7C7B6F2H6E8,2.0,1.0,64.0,,,
F5D6C5F4D3E3G4G3E2F6E6C3F3H4G5C6C4B5G6H5D7C7B6F2H6E8A6,2.0,1.0,65.0,928.0,,
F5D6C5F4D3E3G4G3E2F6E6C3F3H4G5C6C4B5G6H5D7C7B6F2H6E8A6D1,1.0,1.0,,,,
F5D6C5F4D3E3G4G3E2F6E6C4,2.0,6.0,67.0,,,
F5D6C5F4D3E3G4G3E2F6E6C4F3,2.0,6.0,68.0,275.0,,
F5D6C5F4D3E3G4G3E2F6E6C4F3C6,1.0,6.0,69.0,265.0,,
F5D6C5F4D3E3G4G3E2F6E6C4F3C6C3,4.0,2.0,70.0,82.0,,
F5D6C5F4D3E3G4G3E2F6E6C4F3C6C3D2,2.0,2.0,71.0,,,
F5D6C5F4D3E3G4G3E2F6E6C4F3C6C3D2E1,2.0,2.0,72.0,174.0,,
F5D6C5F4D3E3G4G3E2F6E6C4F3C6C3D2E1G6,1.0,2.0,73.0,1065.0,,
F5D6C5F4D3E3G4G3E2F6E6C4F3C6C3D2E1G6G5,2.0,1.0,74.0,169.0,,
F5D6C5F4D3E3G4G3E2F6E6C4F3C6C3D2E1G6G5C2,1.0,4.0,75.0,,,
