,num4black,num4white,0,1,2,3,4,5
F5,8.0,6.0,1.0,,,,,
F5D6,8.0,6.0,2.0,,,,,
F5D6C5,8.0,6.0,3.0,,,,,
F5D6C5F4,8.0,6.0,4.0,,,,,
F5D6C5F4D3,8.0,6.0,5.0,,,,,
F5D6C5F4D3E3,8.0,6.0,6.0,,,,,
F5D6C5F4D3E3G4,8.0,6.0,7.0,,,,,
F5D6C5F4D3E3G4G5,8.0,6.0,8.0,,,,,
F5D6C5F4D3E3G4G5E2,8.0,6.0,9.0,,,,,
F5D6C5F4D3E3G4G5E2C4,8.0,6.0,10.0,,,,,
F5D6C5F4D3E3G4G5E2C4F3,8.0,6.0,11.0,,,,,
F5D6C5F4D3E3G4G5E2C4F3E6,8.0,6.0,12.0,98.0,466.0,,,
F5D6C5F4D3E3G4G5E2C4F3E6B5,8.0,2.0,13.0,,,,,
F5D6C5F4D3E3G4G5E2C4F3E6B5B6,8.0,2.0,14.0,583.0,,,,
F5D6C5F4D3E3G4G5E2C4F3E6B5B6C6,19.0,1.0,15.0,40.0,400.0,,,
F5D6C5F4D3E3G4G5E2C4F3E6B5B6C6A5,4.0,6.0,16.0,,,,,
F5D6C5F4D3E3G4G5E2C4F3E6B5B6C6A5E7,4.0,6.0,17.0,,,,,
F5D6C5F4D3E3G4G5E2C4F3E6B5B6C6A5E7F6,4.0,6.0,18.0,,,,,
F5D6C5F4D3E3G4G5E2C4F3E6B5B6C6A5E7F6B4,4.0,6.0,19.0,,,,,
F5D6C5F4D3E3G4G5E2C4F3E6B5B6C6A5E7F6B4C3,4.0,6.0,20.0,,,,,
F5D6C5F4D3E3G4G5E2C4F3E6B5B6C6A5E7F6B4C3A3,4.0,6.0,21.0,79.0,,,,
F5D6C5F4D3E3G4G5E2C4F3E6B5B6C6A5E7F6B4C3A3C2,1.0,6.0,22.0,175.0,,,,
F5D6C5F4D3E3G4G5E2C4F3E6B5B6C6A5E7F6B4C3A3C2G3,8.0,2.0,23.0,,,,,
F5D6C5F4D3E3G4G5E2C4F3E6B5B6C6A5E7F6B4C3A3C2G3D2,8.0,2.0,24.0,,,,,
F5D6C5F4D3E3G4G5E2C4F3E6B5B6C6A5E7F6B4C3A3C2G3D2F2,8.0,2.0,25.0,,,,,
F5D6C5F4D3E3G4G5E2C4F3E6B5B6C6A5E7F6B4C3A3C2G3D2F2A4,8.0,2.0,26.0,65.0,,,,
F5D6C5F4D3E3G4G5E2C4F3E6B5B6C6A5E7F6B4C3A3C2G3D2F2A4H6,8.0,1.0,27.0,126.0,244.0,4183.0,,
F5D6C5F4D3E3G4G5E2C4F3E6B5B6C6A5E7F6B4C3A3C2G3D2F2A4H6A2,2.0,8.0,28.0,1155.0,,,,
F5D6C5F4D3E3G4G5E2C4F3E6B5B6C6A5E7F6B4C3A3C2G3D2F2A4H6A2D7,2.0,6.0,29.0,,,,,
F5D6C5F4D3E3G4G5E2C4F3E6B5B6C6A5E7F6B4C3A3C2G3D2F2A4H6A2D7G6,2.0,6.0,30.0,,,,,
F5D6C5F4D3E3G4G5E2C4F3E6B5B6C6A5E7F6B4C3A3C2G3D2F2A4H6A2D7G6F7,2.0,6.0,31.0,2386.0,,,,
F5D6C5F4D3E3G4G5E2C4F3E6B5B6C6A5E7F6B4C3A3C2G3D2F2A4H6A2D7G6F7F1,1.0,6.0,32.0,,,,,
F5D6C5F4D3E3G4G5E2C4F3E6B5B6C6A5E7F6B4C3A3C2G3D2F2A4H6A2D7G6F7F1H5,1.0,6.0,33.0,,,,,
F5D6C5F4D3E3G4G5E2C4F3E6B5B6C6A5E7F6B4C3A3C2G3D2F2A4H6A2D7G6F7F1H5G1,1.0,6.0,34.0,1826.0,,,,
F5D6C5F4D3E3G4G5E2C4F3E6B5B6C6A5E7F6B4C3A3C2G3D2F2A4H6A2D7G6F7F1H5G1B3,1.0,5.0,35.0,,,,,
F5D6C5F4D3E3G4G5E2C4F3E6B5B6C6A5E7F6B4C3A3C2G3D2F2A4H6A2D7G6F7F1H5G1B3C7,1.0,5.0,36.0,3298.0,,,,
F5D6C5F4D3E3G4G5E2C4F3E6B5B6C6A5E7F6B4C3A3C2G3D2F2A4H6A2D7G6F7F1H5G1B3C7B8,2.0,2.0,37.0,,,,,
F5D6C5F4D3E3G4G5E2C4F3E6B5B6C6A5E7F6B4C3A3C2G3D2F2A4H6A2D7G6F7F1H5G1B3C7B8G7,2.0,2.0,38.0,4553.0,,,,
