,num4black,num4white,0,1,2
F5,1.0,8.0,1.0,,
F5D6,1.0,8.0,2.0,,
F5D6C5,1.0,8.0,3.0,,
F5D6C5F4,1.0,8.0,4.0,,
F5D6C5F4E3,1.0,8.0,5.0,,
F5D6C5F4E3C6,1.0,8.0,6.0,,
F5D6C5F4E3C6D3,1.0,8.0,7.0,,
F5D6C5F4E3C6D3F6,1.0,8.0,8.0,,
F5D6C5F4E3C6D3F6E6,1.0,8.0,9.0,,
F5D6C5F4E3C6D3F6E6D7,1.0,8.0,10.0,,
F5D6C5F4E3C6D3F6E6D7G3,1.0,8.0,11.0,,
F5D6C5F4E3C6D3F6E6D7G3C4,1.0,8.0,12.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7,1.0,8.0,13.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3,1.0,8.0,14.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4,1.0,8.0,15.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8,1.0,8.0,16.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8,1.0,8.0,17.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8,1.0,8.0,18.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7,1.0,8.0,19.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8,1.0,8.0,20.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4,1.0,8.0,21.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6,1.0,8.0,22.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5,1.0,8.0,23.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3,1.0,8.0,24.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7,1.0,8.0,25.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5,1.0,8.0,26.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2,1.0,8.0,27.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5,1.0,8.0,28.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6,1.0,8.0,29.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3,1.0,8.0,30.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5,1.0,8.0,31.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6,1.0,8.0,32.0,40.0,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6C8,2.0,1.0,33.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6C8B8,2.0,1.0,34.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6C8B8H6,2.0,1.0,35.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6C8B8H6H4,2.0,1.0,36.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6C8B8H6H4G7,2.0,1.0,37.0,82.0,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6C8B8H6H4G7C2,1.0,2.0,38.0,68.0,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6C8B8H6H4G7C2A4,1.0,1.0,39.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6C8B8H6H4G7C2A4A3,1.0,1.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7,1.0,7.0,41.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2,1.0,7.0,42.0,48.0,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4,1.0,5.0,43.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4A8,1.0,5.0,44.0,54.0,58.0
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4A8H2,4.0,1.0,45.0,70.0,74.0
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4A8H2A4,1.0,1.0,46.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4A8H2A4C8,1.0,1.0,47.0,,
