,num4black,num4white,0,1,2,3,4
F5,2.0,13.0,1.0,,,,
F5D6,2.0,13.0,2.0,,,,
F5D6C5,2.0,13.0,3.0,,,,
F5D6C5F4,2.0,13.0,4.0,,,,
F5D6C5F4E3,2.0,13.0,5.0,,,,
F5D6C5F4E3C6,2.0,13.0,6.0,,,,
F5D6C5F4E3C6D3,2.0,13.0,7.0,,,,
F5D6C5F4E3C6D3F6,2.0,13.0,8.0,,,,
F5D6C5F4E3C6D3F6E6,2.0,13.0,9.0,,,,
F5D6C5F4E3C6D3F6E6D7,2.0,13.0,10.0,,,,
F5D6C5F4E3C6D3F6E6D7G3,2.0,13.0,11.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4,2.0,13.0,12.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6,2.0,13.0,13.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3,2.0,13.0,14.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7,2.0,13.0,15.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2,2.0,13.0,16.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7,2.0,13.0,17.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2,2.0,13.0,18.0,79.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2,2.0,8.0,19.0,113.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1,1.0,8.0,20.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2,1.0,8.0,21.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3,1.0,8.0,22.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8,1.0,8.0,23.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4,1.0,8.0,24.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3,1.0,8.0,25.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8,1.0,8.0,26.0,626.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4,23.0,2.0,27.0,40.0,55.0,777.0,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4G5,1.0,8.0,28.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4G5B3,1.0,8.0,29.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4G5B3B5,1.0,8.0,30.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4G5B3B5C1,1.0,8.0,31.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4G5B3B5C1H6,1.0,8.0,32.0,233.0,296.0,353.0,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4G5B3B5C1H6D8,3.0,1.0,33.0,1004.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4G5B3B5C1H6D8F8,1.0,5.0,34.0,1229.0,2110.0,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4G5B3B5C1H6D8F8G8,7.0,1.0,35.0,905.0,1507.0,2892.0,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4G5B3B5C1H6D8F8G8H5,1.0,3.0,36.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4G5B3B5C1H6D8F8G8H5E1,1.0,3.0,37.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4G5B3B5C1H6D8F8G8H5E1A4,1.0,3.0,38.0,53.0,2713.0,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4G5B3B5C1H6D8F8G8H5E1A4A3,1.0,1.0,39.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4G5B3B5C1H6D8F8G8H5E1A4A3A2,1.0,1.0,,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4B3,16.0,2.0,41.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4B3C1,16.0,2.0,42.0,68.0,485.0,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4B3C1B5,4.0,2.0,43.0,800.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4B3C1B5A3,4.0,1.0,44.0,2345.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4B3C1B5A3D1,3.0,1.0,45.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4B3C1B5A3D1A4,3.0,1.0,46.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4B3C1B5A3D1A4A5,3.0,1.0,47.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4B3C1B5A3D1A4A5A6,3.0,1.0,48.0,2216.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4B3C1B5A3D1A4A5A6B6,2.0,2.0,49.0,835.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4B3C1B5A3D1A4A5A6B6F8,4.0,1.0,50.0,1253.0,2710.0,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4B3C1B5A3D1A4A5A6B6F8G5,1.0,2.0,51.0,1526.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4B3C1B5A3D1A4A5A6B6F8G5D8,1.0,1.0,52.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4B3C1B5A3D1A4A5A6B6F8G5D8H5,1.0,1.0,,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4G5B3B5C1H6D8F8G8H5E1A4H4,1.0,1.0,54.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4G5B3B5C1H6D8F8G8H5E1A4H4H2,1.0,1.0,,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4A3,2.0,5.0,56.0,101.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4A3B5,2.0,4.0,57.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4A3B5B3,2.0,4.0,58.0,198.0,334.0,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4A3B5B3F8,2.0,2.0,59.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4A3B5B3F8A6,2.0,2.0,60.0,569.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4A3B5B3F8A6C1,3.0,1.0,61.0,3228.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4A3B5B3F8A6C1B6,2.0,2.0,62.0,2012.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4A3B5B3F8A6C1B6D1,2.0,1.0,63.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4A3B5B3F8A6C1B6D1H6,2.0,1.0,64.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4A3B5B3F8A6C1B6D1H6D8,2.0,1.0,65.0,1809.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4A3B5B3F8A6C1B6D1H6D8H4,1.0,1.0,66.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4A3B5B3F8A6C1B6D1H6D8H4G5,1.0,1.0,67.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4A3B5B3F8A6C1B6D1H6D8H4G5G7,1.0,1.0,,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4B3C1A3,11.0,2.0,69.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4B3C1A3B5,11.0,2.0,70.0,287.0,371.0,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4B3C1A3B5E1,6.0,2.0,71.0,527.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4B3C1A3B5E1B6,8.0,1.0,72.0,418.0,671.0,1720.0,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4B3C1A3B5E1B6A6,3.0,1.0,73.0,,,,
F5D6C5F4E3C6D3F6E6D7G3C4G6C3F7D2E7F2E2F1C2F3C8G4H3E8B4B3C1A3B5E1B6A6F8,3.0,1.0,74.0,,,,
